ID,cooling,location,global_z_mm,probe_rmse_K,probe_final_bias_K,raw_gas_rmse_K,raw_gas_final_bias_K
E67,false,receiver_136,136.0,80.5974241646663,-61.58462149001538,87.8518707321792,-80.94925927891816
E67,false,receiver_exit,137.0,80.62730453803317,-60.92932447108548,87.76074353824806,-80.1950867975934
E67,false,rear_003,140.0,87.00018150872626,-98.84540209022191,87.83902890731787,-81.41188773581527
E72,false,receiver_136,136.0,64.53456125810547,-86.55257890504525,71.04110742126409,-93.46786062147939
E72,false,receiver_exit,137.0,64.25751811742671,-86.0627764431095,70.73827095378992,-92.93982766735697
E72,false,rear_003,140.0,73.87292276760839,-101.46774459663398,71.09696847602623,-93.57860055220691
E76,false,receiver_136,136.0,397.8447711250105,379.2875891110184,285.4551887415863,240.62268076013703
E76,false,receiver_exit,137.0,398.6100473886836,380.10748221609947,286.7372866682714,242.08896546774906
E76,false,rear_003,140.0,220.06692596793798,172.57797007561084,280.2269363915013,235.53872281648876
E80,false,receiver_136,136.0,115.15586816040508,78.87408658534828,101.61165586101605,57.26244285466613
E80,false,receiver_exit,137.0,115.62498843219655,79.42969937101653,102.13508313213734,57.91761828988277
E80,false,rear_003,140.0,83.40901645996342,38.73503674734259,100.19921580900865,55.77453901848203
C69,true,receiver_136,136.0,103.57312826809073,-5.855745616734948,115.69808968185805,-7.940890230571646
C69,true,receiver_exit,137.0,103.1048391844445,-5.464094902154492,115.18029701826303,-7.5378822850489655
C69,true,rear_003,140.0,93.96614294831349,9.41164842389434,114.20664655438449,-6.319976855342572
C81,true,receiver_136,136.0,38.18913681223405,27.000495585012004,43.563193261169594,25.322072533933536
C81,true,receiver_exit,137.0,38.01501919624591,27.21594250757702,43.34797504199549,25.54492863527009
C81,true,rear_003,140.0,38.81557114356819,29.96005992648371,43.03456530345442,26.270211612933565
