reynolds_exponent,Nu50_ratio,power_group,power_scale,flow_converged,objective,side_rmse_K,side_final_bias_K,T2_rmse_K,T2_final_bias_K,T3_diagnostic_rmse_K
0.25,2.0,456,0.85,true,4.552962454090675,142.22200435991647,-108.0855417385789,14.599543795425776,-16.260875383982125,60.93862046140039
0.25,2.0,456,0.95,true,3.454958483212792,108.47776078214083,-50.03087813760212,12.723840608466348,-12.79335892920929,100.6447381909909
0.25,2.0,456,1.05,true,2.7117307551123706,98.06423031338008,6.185409145549414,11.12109380081397,-9.31349135374522,148.5210711948197
0.25,2.0,304,0.9,true,4.847415264200891,149.4337988500513,-131.2219892184892,7.123767342802062,-12.559691045734823,61.21735189150268
0.25,2.0,304,1.05,true,3.1560320779294084,104.86337905174788,-64.18304526945106,5.931634026213436,-8.83019704580164,98.27987206938853
0.25,2.0,304,1.23,true,2.1966859071835274,91.60793364260468,12.915201732336849,6.126117639758339,-4.302646764626587,160.8915022766732
0.25,2.0,256,0.55,true,2.7828530175708472,91.97570647271709,-97.39517790918255,2.3212472097010903,-4.135372021695446,39.75744198762977
0.25,2.0,256,0.7,true,0.9166912818832337,44.955183461455384,-29.989545693622063,2.38744140761109,-1.0909571084801684,50.43873011799321
0.25,2.0,256,0.84,true,1.0393552721409618,56.93350108500134,30.377260838141677,3.863824532902654,1.7925070571065334,93.39298858775882
