mesh,source_model,deep_fraction,deep_length_m,nu_prefactor,reynolds_exponent,Nu50,Nu50_ratio,flow_converged,objective,side_rmse_K,side_final_bias_K,T2_rmse_K,T2_final_bias_K,T3_diagnostic_rmse_K
nominal,near_deep,0.9,0.12,0.0008856566075684829,1.25,0.11775459755334201,1.35,true,4.065078182251283,125.95521888334572,81.37200184318341,10.81145860192236,8.581571545828623,125.81393054290284
nominal,near_deep,0.9,0.12,0.0012792817664878085,1.25,0.17008997424371622,1.95,true,4.081974342911944,124.12903828464736,22.739323142486167,9.402394111885052,4.897092057469024,132.9498320052529
nominal,near_deep,0.9,0.12,0.0005989193804522632,1.35,0.11775459755334201,1.35,true,4.3182721166887905,131.6483509751142,81.10089106129267,10.848305868511225,8.611131425476335,124.66852454526334
nominal,near_deep,0.9,0.12,0.00086510577176438,1.35,0.17008997424371622,1.95,true,4.323534920724306,129.33319457519474,23.10276025600255,9.454355189259983,4.958275770382301,131.822949405814
nominal,near_deep,0.9,0.12,0.0005850220146533891,1.45,0.17008997424371622,1.95,true,4.562895947271283,134.49046580187917,23.635380243000288,9.514031483949749,5.029143569720588,130.68908931099858
nominal,near_deep,0.9,0.12,0.00040501524091388487,1.45,0.11775459755334201,1.35,true,4.574421847321554,137.34455815240503,80.94595441859035,10.891585438478016,8.649885888980345,123.54155999150635
nominal,near_deep,0.9,0.12,0.0003956172398793396,1.55,0.17008997424371622,1.95,true,4.799179329561398,139.58229940936712,24.319206563825635,9.581542503359195,5.1133044472261275,129.5545701946795
nominal,near_deep,0.9,0.12,0.0002738888583780044,1.55,0.11775459755334201,1.35,false,4.830043195368258,142.99023960940573,80.89624441357752,10.940279879810037,8.695941029510143,122.43898841991326
nominal,near_deep,0.9,0.12,0.00026753352278969725,1.65,0.17008997424371622,1.95,true,5.031536272556005,144.59306901658178,25.129323769306268,9.655651340710971,5.204613847510605,128.42480077344126
nominal,near_deep,0.9,0.12,0.00018521551577748273,1.65,0.11775459755334201,1.35,false,5.082852975309847,148.54207880759395,80.95048048228382,10.994767462149534,8.750917768416551,121.36236518257745
nominal,near_deep,0.9,0.12,0.00033273298914014617,1.35,0.06541922086296778,0.75,false,6.877977408255334,178.0884453796178,184.80982695532506,14.729382852591106,15.708503590014814,115.51021241556141
nominal,near_deep,0.9,0.12,0.0004920314486491572,1.25,0.06541922086296778,0.75,false,6.890631273840718,178.89763263838609,186.56417818512136,14.753109060770328,15.774488999224852,116.46752677941033
nominal,near_deep,0.9,0.12,0.00022500846717438046,1.45,0.06541922086296778,0.75,false,6.8965101526605315,177.97408367342544,183.11873006929093,14.709628464379785,15.647940522573279,114.5932806313499
nominal,near_deep,0.9,0.12,0.00015216047687666907,1.55,0.06541922086296778,0.75,false,6.949532325732728,178.91841064577685,181.49175270748393,14.694701185499403,15.595891034862873,113.72456038017462
nominal,near_deep,0.9,0.12,0.00010289750876526817,1.65,0.06541922086296778,0.75,false,7.037503250800493,181.19758277714402,179.92314015293994,14.683710659464575,15.54831847053805,112.90489574931189
