felt_conductivity_scale,felt_heat_capacity_scale,flow_converged,objective,side_rmse_K,side_final_bias_K,T2_rmse_K,T2_final_bias_K,T3_diagnostic_rmse_K
0.15,0.55,true,1.0645709808477584,50.282359802719355,53.27742236035854,13.093497976291786,-2.75232747547345,71.99340012703414
0.15,0.45,true,1.069417885719574,49.47460985177026,52.25522325620736,12.450575474535999,-6.584164071016289,72.73020967040586
0.15,0.3,true,1.1593801729561402,48.19692979104341,50.882843374932705,13.890024112775166,-11.220068121383932,74.16331895899746
0.15,0.75,true,1.228613010546849,51.73305026357551,55.27461305017366,16.117263171854432,5.0019237460032,70.86478575603353
