location,global_z_mm,capacity_areal_J_m2_K,stem_conductance_areal_W_m2_K,training_objective,training_T3_rmse_K,training_max_T3_rmse_K,training_final_bias_K,training_t90_mae_s,validation_T3_rmse_K,validation_final_bias_K,validation_t90_error_s,capacity_interior,stem_interior,observer_gate
receiver_exit,137.0,3000.0,0.0,2.373797076098371,69.93400651752023,94.95916910068277,14.314358591016562,1275.0,38.28344640778838,42.48944973858439,-1800.0,false,false,false
receiver_136,136.0,3000.0,0.0,2.384461974506653,70.30736749272808,95.4575267341353,13.938189726432523,1275.0,38.35927328996948,42.19851000918262,-1800.0,false,false,false
receiver_exit,137.0,2400.0,0.0,2.3891019722768605,70.3579082869176,95.49687979385138,14.288761286523748,1275.0,38.405170961800955,42.47074554009307,-1800.0,true,false,false
rear_003,140.0,3000.0,0.0,2.395586284187148,51.4134158749144,64.32677126529971,44.24768908344981,1100.0,40.18814635328628,54.607778646821664,-1300.0,false,false,false
receiver_136,136.0,2400.0,0.0,2.399815747057262,70.73196953701662,95.99596953877104,13.912671501786818,1275.0,38.482204883512125,42.17984793478169,-1800.0,true,false,false
rear_003,140.0,2400.0,0.0,2.4065883738125806,51.75857107421315,64.74938458738885,44.210050220125,1125.0,40.25918913882402,54.58505547868232,-1300.0,true,false,false
receiver_exit,137.0,1200.0,0.0,2.4067171493728035,70.85782823567449,96.07598971600372,14.25243052366778,1275.0,38.51351510742362,42.45004901707901,-1800.0,true,false,false
receiver_exit,137.0,600.0,0.0,2.4080920554360103,70.89975798852146,96.10957322904089,14.247070707366923,1275.0,38.51769867773287,42.44861048044341,-1800.0,true,false,false
receiver_exit,137.0,200.0,0.0,2.408103809269034,70.9002280380193,96.10971784596703,14.246868491839534,1275.0,38.51775625555941,42.448594128913435,-1800.0,false,false,false
receiver_136,136.0,1200.0,0.0,2.4174997646683765,71.23288259021483,96.5761048077575,13.876442350102728,1275.0,38.59167572955276,42.159191099043035,-1800.0,true,false,false
rear_003,140.0,1200.0,0.0,2.418561810451195,52.146536125283944,65.16791685062023,44.15915419684421,1125.0,40.31867086743542,54.560628873094934,-1300.0,true,false,false
receiver_136,136.0,600.0,0.0,2.418883125499928,71.27494123432798,96.60979837100594,13.871093127308566,1275.0,38.5959078110888,42.15775415620142,-1800.0,true,false,false
receiver_136,136.0,200.0,0.0,2.418895045158816,71.27541376672374,96.60994401954977,13.87089111260575,1275.0,38.59596603056226,42.157737803371184,-1800.0,false,false,false
rear_003,140.0,600.0,0.0,2.4193488557277365,52.17540190520596,65.18582730835935,44.15259599639601,1125.0,40.32044195339104,54.55905483896459,-1300.0,true,false,false
rear_003,140.0,200.0,0.0,2.419351982260478,52.175678545046566,65.18585842645706,44.152385997836085,1125.0,40.320460182025585,54.559038801083965,-1300.0,false,false,false
rear_003,140.0,3000.0,20.0,2.4627830508628206,65.28640406967362,80.75889312860677,29.08402243811796,1275.0,43.79042662807819,40.76176821200467,-1900.0,false,true,false
rear_003,140.0,2400.0,20.0,2.472279903501886,65.56935061683726,81.09516941598783,29.060005531556346,1275.0,43.86175656049516,40.75095260832751,-1900.0,true,true,false
rear_003,140.0,1200.0,20.0,2.4814853200896376,65.84962626587387,81.38665349070565,29.030839792670413,1275.0,43.90878720303263,40.74154711022986,-1900.0,true,true,false
rear_003,140.0,600.0,20.0,2.4818987213200407,65.86346658422677,81.39498547368669,29.028097997774516,1275.0,43.90965046869171,40.74119258091186,-1900.0,true,true,false
rear_003,140.0,200.0,20.0,2.4818992765959376,65.86352349193103,81.39499261979338,29.028044626998636,1275.0,43.909656792418,40.741191049361355,-1900.0,false,true,false
receiver_exit,137.0,3000.0,20.0,2.892626809391893,84.08739441115684,111.25639001857125,3.758774956110055,1400.0,46.417535983394046,31.15503470633643,-2200.0,false,true,false
receiver_exit,137.0,2400.0,20.0,2.904736895473202,84.40268492193393,111.64685428221343,3.7425697759465035,1400.0,46.50357085073537,31.146129916686164,-2200.0,true,true,false
receiver_136,136.0,3000.0,20.0,2.9092725834339332,84.44557413031143,111.7263094393283,3.43890932078668,1400.0,46.58609845930138,30.92149713719884,-2200.0,false,true,false
receiver_exit,137.0,1200.0,20.0,2.9170377004667603,84.7281980611823,112.01214712011883,3.72188368634399,1400.0,46.5626199830202,31.138181695337032,-2200.0,true,true,false
receiver_exit,137.0,600.0,20.0,2.91768108203905,84.74598725349715,112.02583195260408,3.7196634546879346,1400.0,46.56388414265686,31.13786227859263,-2200.0,true,true,false
receiver_exit,137.0,200.0,20.0,2.917683551659417,84.74607135422835,112.02585729570036,3.7196128991114104,1400.0,46.563894974703466,31.137860744313777,-2200.0,false,true,false
receiver_136,136.0,2400.0,20.0,2.921419373789528,84.761334902288,112.11728888262054,3.4227587875432013,1400.0,46.67247911456282,30.912614906062792,-2200.0,true,true,false
receiver_136,136.0,1200.0,20.0,2.933762810184068,85.08742826495651,112.48318651763503,3.4021362590221194,1400.0,46.731778945889616,30.904684553450714,-2200.0,true,true,false
receiver_136,136.0,600.0,20.0,2.9344094826940683,85.10526429001972,112.49691214821648,3.3999211523105854,1400.0,46.73304801038703,30.904365655372686,-2200.0,true,true,false
receiver_136,136.0,200.0,20.0,2.934411987625193,85.10534875700765,112.49693765841403,3.3998706715158784,1400.0,46.73305888135089,30.904364121669943,-2200.0,false,true,false
rear_003,140.0,3000.0,60.0,2.9887296080935024,88.57891241393338,109.48804760186421,9.870569230248043,1450.0,57.4334083181505,25.38943456093167,-2500.0,false,true,false
rear_003,140.0,2400.0,60.0,2.994869085163611,88.75060211989448,109.67890830920496,9.859867680721743,1450.0,57.46147996534719,25.386696185524897,-2500.0,true,true,false
rear_003,140.0,1200.0,60.0,2.999469872372713,88.88129276650551,109.80465813220027,9.849404806643768,1450.0,57.473183977390946,25.38505498379125,-2500.0,true,true,false
rear_003,140.0,600.0,60.0,2.999561145560048,88.88405041469828,109.80617601761095,9.84886119662745,1450.0,57.473277859117125,25.385030557020578,-2500.0,true,true,false
rear_003,140.0,200.0,60.0,2.9995611551994186,88.88405241716208,109.80617627657955,9.848856980352942,1450.0,57.473278070170075,25.385030540548833,-2500.0,false,true,false
receiver_exit,137.0,3000.0,60.0,3.9112969680483762,104.45231346475663,135.26672049354642,-9.470052744971072,1550.0,61.26162722424923,18.61326933420512,-2650.0,false,true,false
receiver_exit,137.0,2400.0,60.0,3.9184543957713234,104.63428573572158,135.4781180522999,-9.477234843293378,1550.0,61.29127918099975,18.6110118247526,-2650.0,true,true,false
receiver_exit,137.0,1200.0,60.0,3.9240147335755493,104.77726522731272,135.6268335596099,-9.484612061982022,1550.0,61.303989577810654,18.609631908906287,-2650.0,true,true,false
receiver_exit,137.0,600.0,60.0,3.9241415298177587,104.78053518694472,135.6291231798972,-9.485045855607916,1550.0,61.304104578359585,18.609610312870792,-2650.0,true,true,false
receiver_exit,137.0,200.0,60.0,3.924141651762147,104.78053790689532,135.6291239737458,-9.485049773219346,1550.0,61.304104872952934,18.609610296579106,-2650.0,false,true,false
receiver_136,136.0,3000.0,60.0,3.9299953047174476,104.75551133742874,135.66828919112805,-9.716030214670626,1550.0,61.43148582497901,18.446257926531885,-2650.0,false,true,false
receiver_136,136.0,2400.0,60.0,3.937165845507046,104.93774007256626,135.8799666512617,-9.723185720467264,1550.0,61.46119606561203,18.44400684910557,-2650.0,true,true,false
receiver_136,136.0,1200.0,60.0,3.9427380916901247,105.08095675682779,136.02892172035104,-9.730537730447882,1550.0,61.47393166489742,18.442630621819077,-2650.0,true,true,false
receiver_136,136.0,600.0,60.0,3.942865316637887,105.08423464101017,136.03121774054526,-9.730970315124736,1550.0,61.47404668495732,18.442609074033143,-2650.0,true,true,false
receiver_136,136.0,200.0,60.0,3.942865440095159,105.0842373721056,136.0312185393121,-9.730974224721775,1550.0,61.474046979867985,18.442609057753586,-2650.0,false,true,false
rear_003,140.0,3000.0,120.0,3.972818652143844,110.9148848766462,138.30787911031098,-6.071896488584554,1625.0,71.22984831259157,14.194203492069164,-2950.0,false,true,false
rear_003,140.0,2400.0,120.0,3.9755785186503703,110.99137749235737,138.3864121238299,-6.075493168227158,1625.0,71.23478794383986,14.193787693265406,-2950.0,true,true,false
rear_003,140.0,1200.0,120.0,3.977006910449839,111.03102171989033,138.4214447248986,-6.078087706314482,1625.0,71.23599218874233,14.193624572097164,-2950.0,true,true,false
rear_003,140.0,600.0,120.0,3.977015661754948,111.03125493759157,138.42155858953112,-6.0781489078681465,1625.0,71.23599689385796,14.19362390882874,-2950.0,true,true,false
rear_003,140.0,200.0,120.0,3.9770156630018754,111.03125495101494,138.4215585915351,-6.078149026826698,1625.0,71.23599689491932,14.19362390880729,-2950.0,false,true,false
receiver_exit,137.0,3000.0,120.0,4.9777008862382095,123.06359233317761,158.1470302564078,-20.338441005620087,1675.0,74.40885907722851,9.501159771464557,-2950.0,false,true,false
receiver_exit,137.0,2400.0,120.0,4.980697437001941,123.14291842251255,158.23196598559738,-20.340855164362644,1675.0,74.41391207371096,9.500817552889238,-2950.0,true,true,false
receiver_exit,137.0,1200.0,120.0,4.982280389702466,123.18496114204211,158.2719100750711,-20.342676216221122,1675.0,74.41517477109304,9.500681557462002,-2950.0,true,true,false
receiver_exit,137.0,600.0,120.0,4.9822909128374855,123.18522421589887,158.2720722608203,-20.34272426643644,1675.0,74.4151802651313,9.500680977234957,-2950.0,true,true,false
receiver_exit,137.0,200.0,120.0,4.982290915353099,123.18522423353821,158.27207226621888,-20.342724375802526,1675.0,74.4151802665303,9.500680977213875,-2950.0,false,true,false
receiver_136,136.0,3000.0,120.0,4.993887303993576,123.30244725943936,158.468573408558,-20.521027074373254,1675.0,74.54266096092022,9.384333502851263,-2950.0,false,true,false
rear_003,140.0,3000.0,200.0,4.996194459491306,128.24304632296617,161.4324552179848,-17.53582032812667,1800.0,81.32243043582721,6.893561972055771,-3250.0,false,false,false
receiver_136,136.0,2400.0,120.0,4.996887795873084,123.38187566669633,158.55361948879812,-20.52343166966107,1675.0,74.54772071547548,9.383992366813736,-2950.0,true,true,false
rear_003,140.0,2400.0,200.0,4.997032533994878,128.2670896896958,161.4555021144111,-17.536765452997443,1800.0,81.32288243437326,6.893517981587657,-3250.0,true,false,false
rear_003,140.0,1200.0,200.0,4.997307539807626,128.2748990471641,161.46193876697103,-17.537248610876784,1800.0,81.32295650566135,6.893506811991877,-3250.0,true,false,false
rear_003,140.0,600.0,200.0,4.997307920714968,128.2749075419765,161.46194246956975,-17.537253067644656,1800.0,81.32295662384982,6.893506805003291,-3250.0,true,false,false
rear_003,140.0,200.0,200.0,4.997307920737809,128.27490754200625,161.46194246958066,-17.537253068841707,1800.0,81.32295662385081,6.893506805003291,-3250.0,false,false,false
receiver_136,136.0,1200.0,120.0,4.998473183075929,123.42398225520915,158.59362622947435,-20.52524592802371,1675.0,74.54898459041621,9.38385679207591,-2950.0,true,true,false
receiver_136,136.0,600.0,120.0,4.998483730867548,123.42424592911222,158.5937888509383,-20.525293821384263,1675.0,74.5489900779875,9.383856213348906,-2950.0,true,true,false
receiver_136,136.0,200.0,120.0,4.9984837333979595,123.42424594682552,158.59378885636667,-20.525293930487635,1675.0,74.54899007938712,9.383856213327846,-2950.0,false,true,false
receiver_exit,137.0,3000.0,200.0,5.826599318376645,137.35785793825775,176.3811384139152,-28.100674366984933,1800.0,83.73206356839022,3.5667277097553765,-3250.0,false,false,false
receiver_exit,137.0,2400.0,200.0,5.827481915602583,137.38250651574333,176.40566161319452,-28.101309879129428,1800.0,83.73252323354438,3.5666917087156307,-3250.0,true,false,false
receiver_exit,137.0,1200.0,200.0,5.827774412678142,137.39063460339554,176.4127954229288,-28.101647230608226,1800.0,83.73260107677788,3.56668247326801,-3250.0,true,false,false
receiver_exit,137.0,600.0,200.0,5.827774821419767,137.3906438646161,176.41280043662854,-28.101650692344066,1800.0,83.73260121229437,3.56668246717431,-3250.0,true,false,false
receiver_exit,137.0,200.0,200.0,5.827774821446084,137.3906438646546,176.4128004366465,-28.101650693440636,1800.0,83.73260121229563,3.56668246717431,-3250.0,false,false,false
receiver_136,136.0,3000.0,200.0,5.839453039875011,137.542346288178,176.63285024618185,-28.236537176811854,1800.0,83.8327227397638,3.4833746275848654,-3250.0,false,false,false
receiver_136,136.0,2400.0,200.0,5.8403365994035195,137.56702405228714,176.6574044501571,-28.237170040464644,1800.0,83.83318271228663,3.4833387519019112,-3250.0,true,false,false
