mesh,source_model,deep_fraction,deep_length_m,nu_prefactor,reynolds_exponent,Nu50,Nu50_ratio,flow_converged,objective,side_rmse_K,side_final_bias_K,T2_rmse_K,T2_final_bias_K,T3_diagnostic_rmse_K
nominal,near_deep,0.9,0.12,0.00026753352278969725,1.65,0.17008997424371622,1.95,true,5.034787521788837,144.59306901658178,24.85111013990101,9.655651340710971,5.386585238181901,128.42480077344126
nominal,near_deep,0.9,0.12,0.00018521551577748273,1.65,0.11775459755334201,1.35,false,5.086264856593022,148.54207880759395,80.62424027676482,10.994767462149534,8.918322933191856,121.36236518257745
nominal,near_deep,0.9,0.12,0.00010289750876526817,1.65,0.06541922086296778,0.75,false,7.038101454230481,181.19758277714402,179.51367578289774,14.683710659464575,15.683547893533307,112.90489574931189
