location,training_T3_rmse_K,training_final_bias_K,validation_T3_rmse_K,validation_final_bias_K,validation_t90_error_s
rear_003,77.73162408971864,14.067586335476278,42.247799813183036,41.97855381419929,-1900.0
receiver_exit,79.1871968296249,12.107574767013059,42.60694012515497,40.08812796219292,-1900.0
receiver_136,79.60678165953914,11.71866767828795,42.74765430711057,39.78495111567321,-1900.0
