reynolds_exponent,Nu50_ratio,felt_conductivity_scale,felt_heat_capacity_scale,objective,side_rmse_K,side_final_bias_K,T2_rmse_K,T2_final_bias_K,T3_diagnostic_rmse_K
1.25,1.95,0.7,0.75,1.135104837992864,51.946043786461814,53.93818120680137,14.480784160930018,-4.410829435739878,67.81108796707558
1.25,1.95,1.0,0.75,1.2231403383239692,52.012405813964435,54.51528356270941,14.206294881035156,-8.995430443704834,67.28689111316095
1.25,1.95,1.0,1.0,1.2262871597309815,54.353687210437215,56.484506534065574,14.314330618413116,-5.187658533413256,65.14264176177699
1.25,1.95,0.7,1.0,1.2454466841670233,54.03433078134063,56.160005706358945,16.798154178690943,1.8751456616351376,66.0913948931541
1.25,1.95,1.3,1.0,1.2888602734310757,54.33603128526408,56.8287937137481,14.121565230768134,-8.429460946591838,64.73742777205368
1.25,1.95,1.3,0.75,1.2959415942332884,51.90128343925938,55.17849655610239,15.006714634602638,-10.727520220461507,67.1786348434216
1.25,1.95,1.3,1.5,1.3717528773690075,59.01048944732686,60.827795031981424,15.252401763532944,-2.039390845634543,61.04674184060113
1.25,1.95,1.0,1.5,1.443930690237423,58.650448896426155,60.77448367046249,17.678055544508762,3.6995754731081902,61.99019401454144
1.25,1.95,0.7,1.5,1.7291841682638247,57.64573232447951,60.36866039595704,22.385010690735037,13.537151841650676,63.62856627778447
