reynolds_exponent,Nu50_ratio,felt_conductivity_scale,felt_heat_capacity_scale,flow_converged,objective,side_rmse_K,side_final_bias_K,T2_rmse_K,T2_final_bias_K,T3_diagnostic_rmse_K
0.5,2.0,0.4,0.55,true,1.0970907023043739,50.814335526895974,54.15623713270939,13.55617490500238,-2.8744293866885755,71.42809323544327
0.5,2.0,0.4,0.4,true,1.1199984314781137,49.530114370520266,52.69899108545294,12.98533869087572,-8.287702522668553,72.65466681835971
0.5,2.0,0.55,0.55,true,1.1631043513017434,51.35075528236658,55.10750408221553,14.14816734664615,-5.717107230626311,70.78271304853139
0.5,2.0,0.55,0.4,true,1.2030729033535152,49.989595300311734,53.85554262847691,14.328786757569496,-9.650689731924572,72.22440594993103
0.5,2.0,0.7,0.75,true,1.217696842163325,53.285826690722146,57.18075795938909,14.45089606802556,-4.3013733286833755,68.72329177820181
0.5,2.0,0.7,0.55,true,1.2276843534203503,51.44707855959902,55.47716405007366,14.09968711553826,-8.726890199007912,70.48577336424619
0.5,2.0,0.55,0.75,true,1.2281385773154039,53.0591733453129,56.9391414177154,16.153658840435245,0.5276193780483212,69.26862573429591
0.5,2.0,0.4,0.75,true,1.2567604620478159,52.34590586591209,56.07425863906094,16.53733355193413,4.696700099557852,70.18681260590378
0.5,2.0,0.7,0.4,true,1.272779946992007,50.03887172028685,54.434800392482536,15.217807933576822,-11.096894101731522,72.12557012197374
