id,nominal_kW_m2,flow_L_min,receiver_front_T_K,outer_front_T_K,absorbed_power_W,receiver_front_radiation_W,outer_front_radiation_W,total_front_radiation_W,outer_front_convection_W,total_front_loss_W,front_radiation_share,total_front_loss_share,receiver_radiating_area_cm2,outer_radiating_area_cm2
E67,456.0,15.283000000000001,869.3935664057705,359.9287225183909,172.8468,3.6943832319053405,7.577760413947144,11.272143645852484,9.486695573572769,20.758839219425255,0.06521465046418264,0.1200996444216801,1.36,173.10458676442585
E68,456.0,12.500400000000003,930.0091644692891,361.67537213457217,172.8468,4.851601946806997,7.652229621287614,12.503831568094611,9.332040227211223,21.83587179530583,0.07234054415872675,0.12633078422803218,1.36,173.10458676442585
E69,456.0,10.4994,982.9240677774649,361.3497820555514,172.8468,6.0677053595218755,7.751402336620525,13.8191076961424,9.571173322979039,23.39028101912144,0.07995003492192161,0.13532377237600834,1.36,173.10458676442585
E70,456.0,9.105599999999999,1032.30278966385,362.7479959824069,172.8468,7.391707102395027,7.804917996837455,15.196625099232483,9.430533226176252,24.627158325408736,0.08791962072327912,0.14247968909698494,1.36,173.10458676442585
E71,456.0,7.1378,1119.4100843329825,364.481763478436,172.8468,10.239157101933705,7.915218331569842,18.15437543350355,9.336089428164195,27.490464861667743,0.10503159696045024,0.15904526356095539,1.36,173.10458676442585
E72,304.0,18.339199999999998,669.5596433094026,339.4722764462758,115.2312,1.266896587852612,4.648458755226479,5.91535534307909,6.670399391736007,12.5857547348151,0.051334667547323035,0.10922176229020526,1.36,173.10458676442585
E73,304.0,13.1784,738.1143654933845,340.50833031805786,115.2312,1.8947837968342445,4.742043317971903,6.636827114806147,6.727968399951401,13.36479551475755,0.057595747634374604,0.11598243804418898,1.36,173.10458676442585
E74,304.0,9.026799999999998,829.3533446444135,341.2614767623559,115.2312,3.0505660738833145,4.872076593296515,7.922642667179829,6.882908996363989,14.805551663543815,0.068754318857912,0.12848561555849297,1.36,173.10458676442585
E75,304.0,6.9494,901.4963899985817,342.18514515399846,115.2312,4.278495103771364,4.961029156550941,9.239524260322307,6.937005263362724,16.176529523685026,0.08018248755825078,0.14038324276485037,1.36,173.10458676442585
E76,304.0,4.5329999999999995,1036.1479953049118,343.34364577295844,115.2312,7.504769727301785,5.146932853665538,12.651702580967324,7.13656904188421,19.788271622851532,0.10979407123216042,0.17172668186091555,1.36,173.10458676442585
E77,256.0,13.8552,556.0199613714911,321.80799773871166,64.6912,0.5754846049044635,2.452722740459878,3.028207345364342,3.978689225203452,7.006896570567794,0.046810189722316826,0.10831297874467925,1.36,173.10458676442585
E78,256.0,10.011199999999999,605.8960062064161,323.0148485673546,64.6912,0.831652652430112,2.495106433464649,3.3267590858947607,3.9766189498615545,7.303378035756315,0.05142521835883027,0.11289600495517652,1.36,173.10458676442585
E79,256.0,8.041,641.268425098711,322.66138831507357,64.6912,1.0576327238743843,2.5707553908403593,3.628388114714743,4.1438657828309164,7.772253897545662,0.056087815880904106,0.12014391288993963,1.36,173.10458676442585
E80,256.0,6.605200000000001,677.723683209234,322.89219552715616,64.6912,1.3321753539960812,2.6164353746217777,3.948610728617859,4.212687113414501,8.161297842032358,0.06103783402716072,0.12615777481376692,1.36,173.10458676442585
E81,256.0,4.529999999999999,758.1799456112707,324.4700422093057,64.6912,2.1143479093123485,2.6719047158137816,4.78625262512613,4.198848538124199,8.985101163250329,0.07398614688127798,0.1388921702372244,1.36,173.10458676442585
