reynolds_exponent,Nu50_ratio,Nu50,nu_prefactor,felt_conductivity_scale,felt_heat_capacity_scale,power_scale_456,power_scale_304,power_scale_256,flow_converged,objective,side_rmse_K,side_final_bias_K,T2_rmse_K,T2_final_bias_K,T3_diagnostic_rmse_K
1.25,1.5,0.13083844172593556,0.0009840628972983144,0.7,0.75,1.05,1.23,0.84,true,3.922717996206488,123.39574206993898,63.82096460507423,10.322154140142638,7.465581605560824,127.8459413335612
1.25,2.0,0.17445125563458075,0.001312083863064419,0.7,0.75,1.05,1.23,0.84,true,4.1116306259901405,124.69075748704019,18.996637833122175,9.334595722744671,4.6662759772203515,133.45391004372394
1.25,2.5,0.21806406954322594,0.0016401048288305238,0.7,0.75,1.05,1.23,0.84,true,4.390274536211518,132.0441462738431,-12.071455200889204,8.867312677028014,2.7720393682574618,137.67062377671564
1.25,3.0,0.2616768834518711,0.0019681257945966288,0.7,0.75,1.05,1.23,0.84,true,4.622930827992772,139.80002761521834,-34.72917809215446,8.62473294677032,1.4154168400772182,140.88507674474909
1.25,4.0,0.3489025112691615,0.002624167726128838,0.7,0.75,1.05,1.23,0.84,true,4.992129015713292,152.70150419137278,-65.13738516399125,8.409139761858224,-0.3637171221515274,145.32976688909764
