power_group,simulation_id,power_scale,flow_converged,objective,side_rmse_K,side_final_bias_K,T2_rmse_K,T2_final_bias_K,T3_diagnostic_rmse_K
256,E79,0.4,true,5.580841764481567,154.50265714884708,-167.65970664694964,3.972804065134195,-7.296228307405897,80.28385206085693
256,E79,0.55,true,2.7404321694476934,91.00740506407533,-96.1322571781847,2.3024212458849895,-4.085128358384509,39.8031830884759
256,E79,0.65,true,1.297852695365321,55.3912539653093,-49.93332550020784,2.1206164318563894,-2.0054765262782865,39.39589868187802
256,E79,0.7,true,0.8695620216936025,43.70756938570158,-27.239191252957585,2.4161611243872563,-0.9813768838466501,50.03095722405897
256,E79,0.75,true,0.6871682822802475,40.954138078503874,-4.839388463775909,2.877353364898751,0.04409915422480992,64.02876689098596
256,E79,0.84,true,1.1248970569212429,59.06658168906195,34.73235205632442,3.9610632963736836,1.9877340276897684,92.71012223735572
256,E79,0.95,true,2.722276900279531,96.84302486350718,81.95042076262025,5.509130835624708,4.39995208345178,129.99518026151668
256,E79,1.1,true,5.311038925833189,153.11380168712793,144.45995815749112,7.778564533659259,7.71124497818154,182.09190214399618
304,E74,0.7,true,8.538647113416879,228.69841994466853,-224.85477585709918,9.757926591072453,-17.46844415090949,82.41219515310966
304,E74,0.9,true,4.768137090433324,147.7147181068818,-128.80079842342892,7.068752358197077,-12.447404085904239,61.013310458199115
304,E74,1.05,true,3.0660134800286736,102.41442438827477,-59.88021585727492,5.874877631923043,-8.610776157742933,97.80379064275282
304,E74,1.15,true,2.431260559816928,88.75034677899899,-15.308022157664064,5.785322077004396,-6.02030968424566,131.52556797194822
304,E74,1.23,true,2.116032122381738,91.80768516144803,19.61737594101699,6.182352764204004,-3.942534539556476,160.26294768134937
304,E74,1.35,true,2.6088258343048354,115.65818382674242,70.81593628295876,7.399667762981185,-0.8257033209517033,204.605863866567
304,E74,1.5,true,4.80738980849702,161.28867556605618,132.95649481559903,9.570925651324671,3.134774382802277,260.890501333987
456,E69,0.7,true,8.024407172423306,218.12082343685958,-202.2621322347409,17.821970701925856,-21.627279467714516,67.18341464241536
456,E69,0.85,true,4.60161558646416,143.71785232354583,-109.41496536602847,14.655201150588407,-16.340125509814413,60.971754151085435
456,E69,0.95,true,3.4611931117279884,108.80305229875528,-49.891314084734915,12.740753586453073,-12.796408426588798,100.5595818901497
456,E69,1.05,true,2.691613313970746,98.06917991496736,7.879868325668402,11.102361978327593,-9.226886759900836,148.36531125051113
456,E69,1.15,true,2.717692698468448,116.01563667702081,64.01297219949343,9.886755199565261,-5.5762430343678915,198.3959157547029
456,E69,1.25,true,4.173292538892703,151.28813074681216,118.55842128082615,9.299480574327578,-1.8543468469399755,249.12144486912268
456,E69,1.4,true,7.326971596036902,215.73447605571212,197.53641225711382,9.953692277036827,4.124495222517822,325.29979035739166
