variant,simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
fitted_2D_model,E72,1.7625,4.566666666666666,1701.9358743226612,296.422,163.3368115346684
fitted_2D_model,E72,1.7625,13.700000000000001,1455.4950841085513,1451.121822721018,221.01038550681932
fitted_2D_model,E72,1.7625,22.833333333333336,1243.9077074076506,1455.0033459669564,207.34868854453075
fitted_2D_model,E72,1.7625,31.966666666666665,1110.0663617145408,1270.3269632537017,187.020519716677
fitted_2D_model,E72,1.7625,41.099999999999994,1028.0384593591887,1133.6908577454924,173.41086834284994
fitted_2D_model,E72,1.7625,50.233333333333334,975.7785319459125,1045.421780185318,164.74374750315457
fitted_2D_model,E72,1.7625,59.36666666666667,940.3170032778224,988.0661623314824,159.0250907542878
fitted_2D_model,E72,1.7625,68.5,914.6193736826532,949.139758887837,155.0357161897177
fitted_2D_model,E72,1.7625,77.63333333333333,894.9044583100462,921.2073313110996,152.08604828099757
fitted_2D_model,E72,1.7625,86.76666666666667,879.1473549503739,900.0460708500043,149.79380867731084
fitted_2D_model,E72,1.7625,95.9,866.306285246595,883.3097848008385,147.95213812884782
fitted_2D_model,E72,1.7625,105.03333333333335,855.9233966932716,869.7444241150519,146.45704357595312
fitted_2D_model,E72,1.7625,114.16666666666667,847.9190810930105,858.752622828747,145.2683404678335
fitted_2D_model,E72,1.7625,123.30000000000001,842.4944455250367,850.1586182256165,144.38941249730883
fitted_2D_model,E72,1.7625,132.4333333333333,840.1049044029722,844.0903660034525,143.85839925267604
fitted_2D_model,E72,5.2875,4.566666666666666,1605.861804606633,296.422,157.41513841362317
fitted_2D_model,E72,5.2875,13.700000000000001,1385.5186870135326,1108.1868879867798,194.17227105283678
fitted_2D_model,E72,5.2875,22.833333333333336,1202.820780097121,1296.7090473238904,194.54210328583383
fitted_2D_model,E72,5.2875,31.966666666666665,1087.7439579617485,1232.8347073349053,183.27575169974074
fitted_2D_model,E72,5.2875,41.099999999999994,1015.9000655185719,1136.6296873754309,172.84230990555497
fitted_2D_model,E72,5.2875,50.233333333333334,969.0014927304927,1058.6038792096244,165.1382683091665
fitted_2D_model,E72,5.2875,59.36666666666667,936.4324131471615,1001.8518476480218,159.63551628461911
fitted_2D_model,E72,5.2875,68.5,912.357681042187,961.0396520440693,155.6314024881764
fitted_2D_model,E72,5.2875,77.63333333333333,893.5897180757952,931.0151846605839,152.6124813271812
fitted_2D_model,E72,5.2875,86.76666666666667,878.4042352506079,908.1378004912797,150.25062202874588
fitted_2D_model,E72,5.2875,95.9,865.9171001048377,890.0916549447585,148.35062021288766
fitted_2D_model,E72,5.2875,105.03333333333335,855.7553628481617,875.5052085563824,146.80653724753586
fitted_2D_model,E72,5.2875,114.16666666666667,847.8850376726763,863.6461617649799,145.57267439108918
fitted_2D_model,E72,5.2875,123.30000000000001,842.5295952413535,854.2192954050079,144.64636344988622
