simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
E75,1.6949999999999998,2.7399999999999998,1639.3633327264101,296.71049999999997,214.20020295762495
E75,1.6949999999999998,8.22,1596.788777980174,1622.620108080124,202.7136017447478
E75,1.6949999999999998,13.700000000000001,1525.0446227244734,1597.2870988818684,198.84247201181375
E75,1.6949999999999998,19.18,1456.7999268677177,1526.5318301100933,193.18426480876005
E75,1.6949999999999998,24.66,1399.6283443791094,1458.3782489893833,187.9592073571698
E75,1.6949999999999998,30.14,1352.640030431993,1401.0797715611168,183.51629084382358
E75,1.6949999999999998,35.62,1312.9781702495395,1353.929331577395,179.7483021232052
E75,1.6949999999999998,41.099999999999994,1278.007694929154,1314.1393866346148,176.45031145272046
E75,1.6949999999999998,46.58,1245.8030573159733,1279.0907469277977,173.43970260193186
E75,1.6949999999999998,52.06,1215.0895913439701,1246.8528591043485,170.58261348018854
E75,1.6949999999999998,57.54,1185.0708913833453,1216.1409186232413,167.78918420998727
E75,1.6949999999999998,63.019999999999996,1155.2732942648654,1186.1491694354088,165.00212872580227
E75,1.6949999999999998,68.5,1125.4328970104007,1156.3968585866353,162.18644885529105
E75,1.6949999999999998,73.97999999999999,1095.4200744446023,1126.615129710773,159.3219009017668
E75,1.6949999999999998,79.46000000000001,1065.1909596012451,1096.6710156310414,156.39792552687686
E75,1.6949999999999998,84.93999999999998,1034.7567785665299,1066.5184059254143,153.4103748719944
E75,1.6949999999999998,90.42,1004.1645341835157,1036.1669847022486,150.3594450755547
E75,1.6949999999999998,95.90000000000002,973.4847657717891,1005.6626323482732,147.24838448612084
E75,1.6949999999999998,101.38,942.8037367351047,975.0749904264861,144.08269373345738
E75,1.6949999999999998,106.86000000000001,912.2185186976001,944.4895109665985,140.86964435966775
E75,1.6949999999999998,112.33999999999999,881.8341856882466,914.0024310014339,137.6180221405591
E75,1.6949999999999998,117.82000000000001,851.762778823401,883.7178607065235,134.3380553275007
E75,1.6949999999999998,123.30000000000001,822.1238063144795,853.7466237873412,131.04151422197998
E75,1.6949999999999998,128.78,793.0455967310904,824.2066049755366,127.74194780789416
E75,1.6949999999999998,134.26,764.6655391994235,795.2239505894788,124.45491936603949
E75,5.084999999999999,2.7399999999999998,1619.0228228040046,296.71049999999997,213.0831092051783
E75,5.084999999999999,8.22,1580.511516076423,1602.2287143924116,201.2589117096251
E75,5.084999999999999,13.700000000000001,1513.6563395669748,1580.9408299249815,197.72455746461887
E75,5.084999999999999,19.18,1449.4352867181742,1515.0676897613496,192.40692750584947
E75,5.084999999999999,24.66,1395.0823617939143,1450.940293534155,187.45314913178296
E75,5.084999999999999,30.14,1349.9101775739782,1396.4740987970704,183.20039282925273
E75,5.084999999999999,35.62,1311.3686997777315,1351.1561408390287,179.5563432862409
E75,5.084999999999999,41.099999999999994,1277.0741802028438,1312.5005660398906,176.33593408173937
E75,5.084999999999999,46.58,1245.272724220934,1278.1381397765813,173.37283840651415
E75,5.084999999999999,52.06,1214.7983061158318,1246.3103801892066,170.5445127164609
E75,5.084999999999999,57.54,1184.9209268300415,1215.8419924977757,167.7683975026006
E75,5.084999999999999,63.019999999999996,1155.2068348651508,1185.9944141477586,164.9917472235986
E75,5.084999999999999,68.5,1125.4158916476842,1156.327384297966,162.18233471590818
E75,5.084999999999999,73.97999999999999,1095.432525131235,1126.5962040416373,159.32158852142496
E75,5.084999999999999,79.46000000000001,1065.2211194261258,1096.6822148039307,156.3999498565806
E75,5.084999999999999,84.93999999999998,1034.7976968903904,1066.547719959893,153.41386396904616
E75,5.084999999999999,90.42,1004.2119984404251,1036.2073027065694,150.3638734969023
E75,5.084999999999999,95.90000000000002,973.5360622443595,1005.7096467876396,147.25342307482265
E75,5.084999999999999,101.38,942.8568766378283,975.1259353294652,144.0881156119679
E75,5.084999999999999,106.86000000000001,912.2717110540997,944.5423756936507,140.87526175267453
E75,5.084999999999999,112.33999999999999,881.8854277117008,914.0554282544683,137.62363804452704
E75,5.084999999999999,117.82000000000001,851.8095164077964,883.7690175441124,134.34342167424998
