variant,simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
initial_2D_model,E76,1.7625,4.566666666666666,1707.5018142628624,296.4675,168.90802566732273
initial_2D_model,E76,1.7625,13.700000000000001,1704.2445219140338,1706.436995889307,255.3611016344908
initial_2D_model,E76,1.7625,22.833333333333336,1687.7478926878762,1704.244648399123,254.0666690208424
initial_2D_model,E76,1.7625,31.966666666666665,1672.952964441731,1687.7488725782498,251.9014186437159
initial_2D_model,E76,1.7625,41.099999999999994,1661.637187091517,1672.9538885897869,250.0968367913086
initial_2D_model,E76,1.7625,50.233333333333334,1653.404585738292,1661.6379251214685,248.74729102673402
initial_2D_model,E76,1.7625,59.36666666666667,1647.628689000179,1653.4051407188963,247.78105756826432
initial_2D_model,E76,1.7625,68.5,1643.7604919365435,1647.6290878403624,247.116298921735
initial_2D_model,E76,1.7625,77.63333333333333,1641.3568718060208,1643.7607635480126,246.68418740943753
initial_2D_model,E76,1.7625,86.76666666666667,1640.0665940153942,1641.3570424378222,246.42976166899456
initial_2D_model,E76,1.7625,95.9,1639.613598810877,1640.0666862077153,246.3097073715682
initial_2D_model,E76,1.7625,105.03333333333335,1639.7830198547704,1639.6136312795572,246.2901763910372
initial_2D_model,E76,1.7625,114.16666666666667,1640.4098374994544,1639.783007710174,246.3450030359802
initial_2D_model,E76,1.7625,123.30000000000001,1641.3694218005244,1640.4097926206287,246.45424978203923
initial_2D_model,E76,1.7625,132.4333333333333,1642.5693194012338,1641.369353285346,246.60297970030308
initial_2D_model,E76,5.2875,4.566666666666666,1689.6053484387771,296.4675,168.05929923439547
initial_2D_model,E76,5.2875,13.700000000000001,1688.4913451415364,1667.3438416001957,251.56490834882536
initial_2D_model,E76,5.2875,22.833333333333336,1675.0765859622,1688.4119407420421,252.09413972821537
initial_2D_model,E76,5.2875,31.966666666666665,1662.9303750339463,1675.1262971377582,250.33622528363472
initial_2D_model,E76,5.2875,41.099999999999994,1653.7620616150673,1662.9769527182543,248.8643556056738
initial_2D_model,E76,5.2875,50.233333333333334,1647.2572625319217,1653.7979922891377,247.7825347662681
initial_2D_model,E76,5.2875,59.36666666666667,1642.8701033201273,1647.2831650509145,247.03110939389842
initial_2D_model,E76,5.2875,68.5,1640.1155523834218,1642.8877716052534,246.53855637684404
