variant,simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
initial_2D_model,E79,1.7625,4.566666666666666,1237.897503631152,296.70399999999995,176.30519751404276
initial_2D_model,E79,1.7625,13.700000000000001,1230.322258096806,1226.8248178892918,191.85600429004
initial_2D_model,E79,1.7625,22.833333333333336,1218.5706828255177,1230.2816069902512,191.33167640323964
initial_2D_model,E79,1.7625,31.966666666666665,1208.1508178132071,1218.7081218090236,189.94354595203654
initial_2D_model,E79,1.7625,41.099999999999994,1199.696608300849,1208.2779289867806,188.75402548472755
initial_2D_model,E79,1.7625,50.233333333333334,1192.9981887953902,1199.8022189678961,187.7997656919948
initial_2D_model,E79,1.7625,59.36666666666667,1187.7519038903088,1193.0834123169693,187.04826441889296
initial_2D_model,E79,1.7625,68.5,1183.6875392429292,1187.8196149322705,186.4629522519628
initial_2D_model,E79,1.7625,77.63333333333333,1180.5826913857852,1183.740586527689,186.01252122502524
initial_2D_model,E79,1.7625,86.76666666666667,1178.2580750616862,1180.6235701886144,185.67152017228088
initial_2D_model,E79,1.7625,95.9,1176.570669686179,1178.2888893408783,185.41957986661498
initial_2D_model,E79,1.7625,105.03333333333335,1175.4075023927987,1176.5931563579184,185.24055421004942
initial_2D_model,E79,1.7625,114.16666666666667,1174.6803311408305,1175.4230705548289,185.12177153629108
initial_2D_model,E79,1.7625,123.30000000000001,1174.321074070733,1174.6901050106312,185.0533989290076
initial_2D_model,E79,1.7625,132.4333333333333,1174.27779250587,1174.3259363520287,185.0278943865575
initial_2D_model,E79,5.2875,4.566666666666666,1228.6000924147083,296.70399999999995,175.72171054891191
initial_2D_model,E79,5.2875,13.700000000000001,1221.8724687353294,1156.4923627968851,186.89320131397432
initial_2D_model,E79,5.2875,22.833333333333336,1211.6801151284806,1216.6074958091097,190.03362613890982
initial_2D_model,E79,5.2875,31.966666666666665,1202.6356873090403,1212.063867779192,189.17738304314264
initial_2D_model,E79,5.2875,41.099999999999994,1195.3121938164718,1203.3766916654529,188.16991432991037
initial_2D_model,E79,5.2875,50.233333333333334,1189.533424217654,1195.952852742317,187.34028278458317
initial_2D_model,E79,5.2875,59.36666666666667,1185.0327802847207,1190.0479184696821,186.68712236957722
initial_2D_model,E79,5.2875,68.5,1181.5710436895442,1185.4375293706498,186.1808562447969
initial_2D_model,E79,5.2875,77.63333333333333,1178.9509694991527,1181.8847759279276,185.79395547305737
initial_2D_model,E79,5.2875,86.76666666666667,1177.0137860190155,1179.1900048970815,185.50377165516312
initial_2D_model,E79,5.2875,95.9,1175.6333975733337,1177.1916443998002,185.2921729173316
initial_2D_model,E79,5.2875,105.03333333333335,1174.7110098224796,1175.761037286459,185.14485001202922
initial_2D_model,E79,5.2875,114.16666666666667,1174.170486807002,1174.797155004983,185.05067365011348
initial_2D_model,E79,5.2875,123.30000000000001,1173.9543263170842,1174.2219507630355,185.0011387963533
initial_2D_model,E79,5.2875,132.4333333333333,1174.0200844573496,1173.9763160615855,184.98988003361941
initial_2D_model,E79,8.8125,4.566666666666666,1211.3426770144358,296.70399999999995,174.63469243011664
initial_2D_model,E79,8.8125,13.700000000000001,1206.6798503375642,1084.2571302808242,181.42684556020768
initial_2D_model,E79,8.8125,22.833333333333336,1199.2320464095205,1188.483806712177,187.48031466763467
initial_2D_model,E79,8.8125,31.966666666666665,1192.656201546848,1197.712239812196,187.6469519896729
initial_2D_model,E79,8.8125,41.099999999999994,1187.3880750441533,1193.3701465176237,187.0434249484107
initial_2D_model,E79,8.8125,50.233333333333334,1183.2907697754265,1188.2369949281192,186.46424495357041
initial_2D_model,E79,8.8125,59.36666666666667,1180.157062988435,1183.9960512122323,186.00185540074725
initial_2D_model,E79,8.8125,68.5,1177.8008433678147,1180.7065540357216,185.64807384657385
initial_2D_model,E79,8.8125,77.63333333333333,1176.069169766374,1178.2179649123234,185.38373083433598
initial_2D_model,E79,8.8125,86.76666666666667,1174.8399336168181,1176.3783071203495,185.19156655472787
initial_2D_model,E79,8.8125,95.9,1174.0175611986183,1175.0616031942432,185.05765458916096
initial_2D_model,E79,8.8125,105.03333333333335,1173.5289863266648,1174.1681669587454,184.97115005368872
initial_2D_model,E79,8.8125,114.16666666666667,1173.3201690853825,1173.6212555451843,184.92385089381287
initial_2D_model,E79,8.8125,123.30000000000001,1173.353064957483,1173.363649507775,184.90978743879407
initial_2D_model,E79,8.8125,132.4333333333333,1173.6028813979094,1173.354593668079,184.92485541847068
initial_2D_model,E79,12.3375,4.566666666666666,1189.0241323010202,296.70399999999995,173.22100246292337
initial_2D_model,E79,12.3375,13.700000000000001,1187.340557094901,1019.1172265659447,176.1788218294169
initial_2D_model,E79,12.3375,22.833333333333336,1183.4311665628309,1152.5028484690015,184.2352690233923
initial_2D_model,E79,12.3375,31.966666666666665,1180.0303156122422,1177.375337154363,185.57905489163596
initial_2D_model,E79,12.3375,41.099999999999994,1177.421620684754,1179.5153082561249,185.54969363388417
initial_2D_model,E79,12.3375,50.233333333333334,1175.5069644277414,1177.827833042128,185.32409307143294
initial_2D_model,E79,12.3375,59.36666666666667,1174.1487143220725,1175.9579620980753,185.12197654212451
initial_2D_model,E79,12.3375,68.5,1173.2262117050307,1174.5007877227602,184.97301811169967
initial_2D_model,E79,12.3375,77.63333333333333,1172.6422755380052,1173.4744972947935,184.87224149770117
initial_2D_model,E79,12.3375,86.76666666666667,1172.321346158399,1172.8045049834984,184.81023119947284
initial_2D_model,E79,12.3375,95.9,1172.2067190224047,1172.4155715849388,184.77872119325815
initial_2D_model,E79,12.3375,105.03333333333335,1172.2581302575481,1172.2474582995517,184.77141882362508
initial_2D_model,E79,12.3375,114.16666666666667,1172.449806334403,1172.25604845418,184.7839500794957
initial_2D_model,E79,12.3375,123.30000000000001,1172.7688492615282,1172.4120128383122,184.8136735599774
initial_2D_model,E79,12.3375,132.4333333333333,1173.2137486548183,1172.699260844053,184.85948988493627
initial_2D_model,E79,15.862499999999999,4.566666666666666,1165.3264450063878,296.70399999999995,171.7098776484644
initial_2D_model,E79,15.862499999999999,13.700000000000001,1167.0525657966105,962.3297924619266,171.4127017394643
initial_2D_model,E79,15.862499999999999,22.833333333333336,1166.998814484382,1114.4795649183457,180.83774482208347
initial_2D_model,E79,15.862499999999999,31.966666666666665,1167.0371113942472,1154.2690662803998,183.3211849171411
initial_2D_model,E79,15.862499999999999,41.099999999999994,1167.3131074363896,1163.9891876897505,183.94571648910423
initial_2D_model,E79,15.862499999999999,50.233333333333334,1167.7661394097745,1166.522675509077,184.13240634743474
initial_2D_model,E79,15.862499999999999,59.36666666666667,1168.3294117776802,1167.470781127917,184.22690154821206
initial_2D_model,E79,15.862499999999999,68.5,1168.9510873096904,1168.1255807485404,184.3067193281126
initial_2D_model,E79,15.862499999999999,77.63333333333333,1169.593356907721,1168.755215684631,184.3862598063904
initial_2D_model,E79,15.862499999999999,86.76666666666667,1170.2301505233688,1169.394584534819,184.46607511059514
initial_2D_model,E79,15.862499999999999,95.9,1170.845648516887,1170.0320860140823,184.54445008207264
initial_2D_model,E79,15.862499999999999,105.03333333333335,1171.4335864197922,1170.6528925817652,184.6200647749446
initial_2D_model,E79,15.862499999999999,114.16666666666667,1171.9971951250864,1171.248703890078,184.69260118549974
initial_2D_model,E79,15.862499999999999,123.30000000000001,1172.549594507624,1171.8200177188492,184.76291050057532
initial_2D_model,E79,15.862499999999999,132.4333333333333,1173.1143480547994,1172.376968961561,184.8331008602908
initial_2D_model,E79,19.3875,4.566666666666666,1144.0445022945746,296.70399999999995,170.3436122269038
initial_2D_model,E79,19.3875,13.700000000000001,1149.1412673795546,914.8461599123964,167.379677701036
initial_2D_model,E79,19.3875,22.833333333333336,1152.784197652202,1079.0882013166074,177.75460210285806
initial_2D_model,E79,19.3875,31.966666666666665,1156.0883878133957,1131.9807526426698,181.24818694744067
initial_2D_model,E79,19.3875,41.099999999999994,1159.0908355017627,1149.4137849293656,182.52211316407644
initial_2D_model,E79,19.3875,50.233333333333334,1161.769569217485,1156.4304685591994,183.1272248138405
initial_2D_model,E79,19.3875,59.36666666666667,1164.1258949315636,1160.3066949141023,183.51646018665983
initial_2D_model,E79,19.3875,68.5,1166.1741729360247,1163.081722288235,183.8178209911384
initial_2D_model,E79,19.3875,77.63333333333333,1167.9330943481234,1165.330108445579,184.0682892479964
initial_2D_model,E79,19.3875,86.76666666666667,1169.4223505941573,1167.2236140091777,184.27978655849805
initial_2D_model,E79,19.3875,95.9,1170.6621059787594,1168.8237578452286,184.4573892410692
initial_2D_model,E79,19.3875,105.03333333333335,1171.6739674037942,1170.1621204046871,184.60440056992655
initial_2D_model,E79,19.3875,114.16666666666667,1172.4830904966523,1171.2631178424099,184.72390407766295
initial_2D_model,E79,19.3875,123.30000000000001,1173.1214478222503,1172.151778837022,184.81945339224055
initial_2D_model,E79,19.3875,132.4333333333333,1173.6322933670199,1172.858251652487,184.89563292789413
initial_2D_model,E79,22.912499999999998,4.566666666666666,1128.6573910300183,296.70399999999995,169.35018674201888
initial_2D_model,E79,22.912499999999998,13.700000000000001,1136.7053512508414,877.5109807693755,164.3135797176605
initial_2D_model,E79,22.912499999999998,22.833333333333336,1143.462305511958,1049.9902266582412,175.37334941606574
initial_2D_model,E79,22.912499999999998,31.966666666666665,1149.4541580456382,1113.904837742623,179.71036286345822
initial_2D_model,E79,22.912499999999998,41.099999999999994,1154.6606649093858,1138.458898761045,181.56284031538442
initial_2D_model,E79,22.912499999999998,50.233333333333334,1159.109977495321,1149.6967059985955,182.5409585498061
initial_2D_model,E79,22.912499999999998,59.36666666666667,1162.870279701632,1156.2402778080454,183.1840763620566
initial_2D_model,E79,22.912499999999998,68.5,1166.0163678249453,1160.8557090060217,183.66886477995783
initial_2D_model,E79,22.912499999999998,77.63333333333333,1168.6153728950133,1164.4521465284543,184.05605654113407
initial_2D_model,E79,22.912499999999998,86.76666666666667,1170.722915315914,1167.355972666716,184.36939396062874
initial_2D_model,E79,22.912499999999998,95.9,1172.383314775574,1169.7060252141973,184.6202437572251
initial_2D_model,E79,22.912499999999998,105.03333333333335,1173.6314486455212,1171.5757509314074,184.81532165717093
initial_2D_model,E79,22.912499999999998,114.16666666666667,1174.4958967946209,1173.0119964882292,184.95930445770685
initial_2D_model,E79,22.912499999999998,123.30000000000001,1175.0042959879017,1174.0490757280336,185.05604004825415
initial_2D_model,E79,22.912499999999998,132.4333333333333,1175.193387411357,1174.716809317913,185.10967653098942
initial_2D_model,E79,26.4375,4.566666666666666,1122.393488670941,296.70399999999995,168.94439745301173
initial_2D_model,E79,26.4375,13.700000000000001,1132.588453809394,851.1297240841842,162.43506524377563
initial_2D_model,E79,26.4375,22.833333333333336,1141.4058581869203,1030.1190269282251,174.0165227124135
initial_2D_model,E79,26.4375,31.966666666666665,1149.0664651778134,1103.0569661245997,179.01200712008114
initial_2D_model,E79,26.4375,41.099999999999994,1155.580392803329,1133.5835380134674,181.3163848729897
