% Model:              Cav_Hex_Unif_flux_v5.2.1 - Lin. Distn.mph
% Version:            COMSOL 5.5.0.359
% Date:               Apr 1 2022, 15:29
% Dimension:          3
% Nodes:              28457
% Expressions:        1
% Description:        Surface
% x                       y                        z                        Color
-7.999999999999998        -7.991451918551809       0.004                    0
-7.999999999999998        -7.991451918551811       0                        0
-8                        -7.981005922909429       0.004000000000000002     0
-8                        -7.981005922909432       0                        0
-8                        -8                       0.004000000000000001     0
-8                        -8                       0                        0
-8                        -7.968240622809989       0.004                    0
-8                        -7.968240622809993       0                        0
-7.999999999999998        -7.952641067515559       0.004                    0
-8                        -7.952641067515566       0                        0
-8                        -7.9335779727596         0.004000000000000001     0
-8.000000000000002        -7.933577972759611       0                        0
-8                        -7.910282335492015       0.004                    0
-7.999999999999998        -7.910282335492029       0                        0
-8.000000000000002        -7.881814412384553       0.004000000000000001     0
-8.000000000000002        -7.881814412384572       0                        0
-7.999999999999998        -7.847025810693019       0.004                    0
-7.999999999999998        -7.847025810693045       0                        0
-8                        -7.804513162226057       0.004                    0
-8.000000000000002        -7.804513162226092       0                        0
-8                        -7.689075135305761       0                        0
-7.999999999999998        -7.689075135305702       0.004                    0
-7.999999999999998        -7.752561511633723       0                        0
-8                        -7.611493000122319       0.004000000000000001     0
-7.999999999999998        -7.611493000122391       0                        0
-7.999999999999998        -7.752561511633723       0                        6.808783561947678E-4
-7.999999999999998        -7.752561511633679       0.004000000000000001     6.808783561947678E-4
-8.000000000000002        -7.804513162226092       0                        6.808783561947678E-4
-7.999999999999998        -7.752561511633679       0.004000000000000001     0
-8                        -7.5166854516725685      0.004000000000000001     0
-7.999999999999998        -7.516685451672657       0                        0
-8.000000000000002        -7.400827964355336       0.004000000000000002     0
-8.000000000000002        -7.400827964355448       0                        0
-8.000000000000002        -7.259246860456258       0.004000000000000002     2.856187703347251E-20
-8                        -7.259246860456402       0                        0
-8                        -7.086230774546413       0.004                    2.856187703347251E-20
-7.999999999999998        -7.086230774546592       0                        0
-8                        8                        0.004000000000000001     0
-8                        7.991451918551808        0.004000000000000001     0
