simulation_id,flow_lpm,irradiance,T8_model,T8_experiment,T9_pair_model,T9_pair_experiment,T10_pair_model,T10_pair_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T9_minus_T8_model,T9_minus_T8_experiment,T10_minus_T8_model,T10_minus_T8_experiment,rear_tube_exit,receiver_to_tube_heat,receiver_to_cavity_heat,tube_to_cavity_heat,cavity_ambient_heat_loss,flange_heat_loss,mean_nu,max_effectiveness,mean_effectiveness,h_effective
E67,15.2805125,456000.0,669.8070799968042,931.6279999999999,636.3274481809383,978.8844999999999,591.3186747899847,851.525,555.7045367354447,763.414,312.4219413150731,326.43699999999995,-33.4796318158659,47.25649999999996,-78.4884052068195,-80.10299999999995,298.3791459465403,20.479254082379793,25.63376368253324,5.306939575870044,17.31247819289113,22.151208017343425,11.375281802507681,0.9999999492243703,0.8746187419630438,356.1324961732913
E68,12.499871559633025,456000.0,736.762266583559,1012.649,690.5442628801959,1034.3225,633.0073698436712,874.425,590.5747996466351,773.207,319.97971518505096,338.52,-46.21800370336314,21.67349999999999,-103.75489673988784,-138.22400000000005,298.40568424999833,21.405336705220197,29.279055251011787,6.176753830439122,22.976939723981427,25.40179715049603,9.57772375065232,0.9999999629089503,0.9100360528545464,319.3700991573928
E69,10.499733944954128,456000.0,790.7699193317143,1058.429,732.7324834818842,1057.554,663.9344313889252,874.796,615.843133384798,769.76,329.5408980934088,344.308,-58.0374358498301,-0.875,-126.83548794278909,-183.63300000000004,298.42086520801575,22.207973712357195,31.79727851500406,6.624529097166772,35.67395071589754,27.543886811596987,8.475575280492306,0.9999999723596249,0.9347089637154019,295.66508728721885
E70,9.107139705882352,456000.0,840.6373359918408,1152.474,768.4294849599289,1107.001,686.9693657019353,891.828,632.929748594933,779.518,327.59698579669396,352.421,-72.2078510319119,-45.472999999999956,-153.6679702899055,-260.64599999999996,298.4254860908043,23.308086085174608,34.72406992229417,7.162323165417619,31.060880103423166,28.658933704392762,7.65755429748022,0.999999979936375,0.9534942626876728,277.3154495917591
E71,7.126846153846151,456000.0,920.1754900265954,1203.298,822.7884569114939,1107.827,720.1965568436544,865.1495,657.3431476756319,753.56,332.93083823531265,356.00399999999996,-97.38703311510153,-95.471,-199.97893318294098,-338.1485,298.4233700368284,24.70388295991694,38.50706229654006,7.64656016204606,35.11521034420983,30.031025443750224,6.620094849314588,0.9999999894681171,0.9765415641317001,252.86781250297528
E72,18.707575757575754,304000.0,512.5798839170589,737.656,495.03377177167835,784.5055,470.5646584313085,709.0819999999999,451.7676010961124,652.9549999999999,303.95213100861724,309.928,-17.546112145380505,46.849500000000035,-42.01522548575036,-28.57400000000007,298.27917786002956,13.228514052932764,15.155212538932227,3.0631306870770985,8.0675840250895,12.985024754499678,14.483433220152033,0.99999992788039,0.8258603125729864,376.38522089750535
E73,13.170870967741934,304000.0,581.051596516155,837.694,551.6422086810053,881.0165,515.221890859913,769.5799999999999,489.7076425472889,694.626,313.18613705304716,325.12,-29.409387835149687,43.32249999999999,-65.82970565624203,-68.11400000000003,298.3080724637218,14.574398188596533,18.862474031382128,3.912635216995028,17.457242785797913,16.728894541770167,10.866428158542822,0.9999999515912381,0.8833351521568289,307.5549827924544
E74,9.023245901639344,304000.0,668.6686996182112,948.538,617.462879714515,949.0,561.4024123022754,785.9005,526.1980219836852,697.672,316.00194284232765,333.964,-51.20581990369624,0.4619999999999891,-107.26628731593587,-162.63750000000005,298.32672420908887,16.75644260239566,23.777966859293123,4.815575982629299,20.987016163849837,19.662044202375018,8.208303782019662,0.9999999748246344,0.9403992962080017,254.00900342773343
E75,6.944410852713178,304000.0,732.0801219173334,1008.725,661.0851843595755,966.9335,589.1891840896334,773.0355,547.1651192740953,681.066,319.29119409404876,336.517,-70.99493755775791,-41.79150000000004,-142.8909378277,-235.68950000000007,298.32925406337364,18.179092306463293,26.924129985908305,5.242750523091364,24.407680798421033,21.03169022684203,6.980978784729115,0.9999999865972932,0.9688277320729212,227.9813841374733
E76,4.526673611111114,304000.0,825.4031730584718,1067.693,718.1561269667154,958.9124999999999,621.5001937004675,738.733,570.7708969007676,647.019,323.69793770121714,338.123,-107.24704609175637,-108.78050000000007,-203.90297935800425,-328.96000000000004,298.31333178206347,19.590399687811967,31.093901896026395,5.736023606677414,29.506091980447152,22.046278872449935,5.681995622032456,0.9999999968743004,0.9929091794256775,198.01661888154692
E77,13.84748387096774,256000.0,527.519906781547,565.544,503.9664815772711,612.8895,473.96150966590943,559.0129999999999,452.787508550681,525.356,310.2266519258893,308.37,-23.553425204275868,47.345500000000015,-53.55839711563755,-6.531000000000063,298.2747554686087,13.011225817277353,15.300468614430429,2.9305217413181404,14.078562531243602,13.126086087863042,11.682307158528907,0.9999999446823864,0.8677152576031265,308.97464038343196
E78,10.009137614678897,256000.0,592.1697871698923,631.689,553.887753845464,674.727,510.93814737054885,597.8979999999999,483.6317543058309,554.4549999999999,311.8253643467088,312.95899999999995,-38.28203332442831,43.03800000000001,-81.23163979934344,-33.791000000000054,298.29347467851863,14.110199921161739,19.11002084126973,3.85526426952641,14.719388747332887,16.039350556039935,9.050795129499706,0.9999999666577514,0.9207061757113573,258.2444203430079
E79,8.033490566037736,256000.0,635.7656815368985,676.213,584.9826830157442,705.0854999999999,531.4499325658657,609.0455,499.2484038693884,560.0329999999999,314.52111102594245,314.96,-50.78299852115424,28.872499999999945,-104.3157489710328,-67.16750000000002,298.2981024762466,15.301258090235642,21.316685853825767,4.141371146925142,19.205505356927816,17.143284706827366,7.8327771334942655,0.9999999783344202,0.9490140995574632,233.41879125157777
E80,6.605050847457628,256000.0,676.0180618936879,710.3340000000001,611.8168841588638,724.2919999999999,548.2571129820988,614.1274999999999,511.9985961691163,561.2539999999999,315.0958905998168,316.11899999999997,-64.20117773482411,13.957999999999856,-127.76094891158914,-96.20650000000012,298.2984327408688,16.129110989366623,23.3859436355718,4.464834300923696,19.976232340077985,17.98084703402483,6.967011449283203,0.9999999867422583,0.969063747344096,215.21210708496375
E81,4.527140495867768,256000.0,750.7974637528308,760.0609999999999,657.9017380673916,739.203,574.889314268198,608.3705,531.497704800029,550.499,319.9493867182599,319.315,-92.89572568543917,-20.857999999999947,-175.90814948463287,-151.69049999999993,298.28738240548495,17.511872983059675,26.651721923457828,4.7872266396948016,23.9171693689283,18.867267528119317,5.774175099231726,0.9999999964037057,0.9916845327281627,188.89680802847556
