simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,added_absorbed_W,front_cell_source_fraction,downstream_source_fraction,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,G_core_perim_W_m_K,C_perim_eff_J_K,C_participating_eff_J_K
E67,15.2805125,456000.0,1.228675515158076,131.6928,161.80771888260946,30.11491888260946,1.0,0.0,810.6572545175196,931.6279999999999,736.9956200051096,991.103,671.2872256432476,878.055,747.2725484754205,966.6659999999999,681.508504083458,824.995,635.9595135024933,763.414,316.83419300245674,326.43699999999995,-73.66163451241005,59.47500000000002,-139.37002887427207,-53.57299999999998,-10.276928470310963,24.437000000000012,-10.221278440210426,53.059999999999945,3.6099999999999994,0.7884714612701917,88.79740012512652,25.300830858102508,81.8584715380532,154.38540410387407
E68,12.499871559633025,456000.0,1.228675515158076,131.6928,161.80771888260946,30.11491888260946,1.0,0.0,877.9373924908639,1012.649,796.7476728573165,1047.717,718.4142900538891,898.751,808.0755754081076,1020.928,729.1298256938215,850.0989999999999,677.6765552930718,773.207,325.78455004002205,338.52,-81.18971963354738,35.0680000000001,-159.5231024369748,-113.89800000000002,-11.327902550791123,26.7890000000001,-10.715535639932455,48.652000000000044,3.6099999999999994,0.8628306010813942,81.09867686208723,25.300830858102508,81.8584715380532,154.38540410387407
E69,10.499733944954128,456000.0,1.228675515158076,131.6928,161.80771888260946,30.11491888260946,1.0,0.0,934.4168088053665,1058.429,844.7451436876436,1070.73,753.4393064608083,896.755,856.8021731843081,1044.378,764.4445471548329,852.837,706.855809608275,769.76,335.403406065386,344.308,-89.67166511772291,12.30099999999993,-180.97750234455816,-161.6740000000001,-12.05702949666454,26.35200000000009,-11.005240694024565,43.918000000000006,3.6099999999999994,0.9126000562826312,73.84414207152012,25.300830858102508,81.8584715380532,154.38540410387407
E70,9.107139705882352,456000.0,1.228675515158076,131.6928,161.80771888260946,30.11491888260946,1.0,0.0,979.5328455779456,1152.474,881.450370177252,1120.277,779.0651771513918,912.173,894.147540969767,1093.725,790.3563882565571,871.483,728.3040260905509,779.518,334.42360925928307,352.421,-98.08247540069362,-32.19699999999989,-200.46766842655381,-240.30099999999993,-12.697170792514953,26.552000000000135,-11.291211105165303,40.690000000000055,3.61,0.9437510062111091,66.96923861228764,25.300830858102508,81.8584715380532,154.38540410387407
E71,7.126846153846151,456000.0,1.228675515158076,131.6928,161.80771888260946,30.11491888260946,1.0,0.0,1050.4770686377728,1203.298,937.4500813891942,1120.348,815.7072579749207,882.823,950.804262496781,1095.306,827.1628110461961,847.476,757.2844697245878,753.56,339.8885802841691,356.00399999999996,-113.02698724857862,-82.95000000000005,-234.76981066285214,-320.475,-13.354181107586783,25.041999999999916,-11.455553071275403,35.34699999999998,3.6099999999999994,0.9772801701903379,55.91274882425148,25.300830858102508,81.8584715380532,154.38540410387407
E72,18.707575757575754,304000.0,1.3000343322153118,87.7952,114.13677420370973,26.34157420370974,1.0,0.0,632.7570751714221,737.656,574.5174698398009,797.899,535.1603741349194,733.977,581.0800118813816,771.112,541.9831730713519,684.1869999999999,515.6217886135876,652.9549999999999,307.1503969040986,309.928,-58.23960533162119,60.24300000000005,-97.59670103650274,-3.6789999999999736,-6.5625420415806275,26.787000000000035,-6.822798936432491,49.79000000000008,3.6099999999999994,0.6728308414743184,67.66330023399703,25.300830858102508,81.8584715380532,154.38540410387407
E73,13.170870967741934,304000.0,1.3000343322153118,87.7952,114.13677420370973,26.34157420370974,1.0,0.0,713.2419239790066,837.694,645.5571266248736,894.482,591.0397695626687,791.76,653.4748381877863,867.5509999999999,598.6133198857394,747.4,564.2926912129252,694.626,317.93625647261615,325.12,-67.68479735413302,56.78800000000001,-122.20215441633798,-45.93399999999997,-7.9177115629127,26.93100000000004,-7.573550323070776,44.360000000000014,3.6099999999999994,0.8114040901043925,59.56732219150914,25.300830858102508,81.8584715380532,154.38540410387407
E74,9.023245901639344,304000.0,1.3000343322153118,87.7952,114.13677420370973,26.34157420370974,1.0,0.0,809.846603667851,948.538,723.0357609501457,962.509,645.8170126828139,804.0,732.4258062351936,935.491,654.1608398393236,767.8009999999999,609.5930834450676,697.672,322.0721274279209,333.964,-86.81084271770533,13.971000000000004,-164.0295909850371,-144.538,-9.390045285047904,27.01800000000003,-8.343827156509633,36.19900000000007,3.61,0.9257898976673877,47.71975084923029,25.300830858102508,81.8584715380532,154.38540410387407
E75,6.944410852713178,304000.0,1.3000343322153118,87.7952,114.13677420370973,26.34157420370974,1.0,0.0,873.2580333595668,1008.725,770.4571957185574,979.689,676.3884694375004,788.678,780.5383389245582,954.178,685.020842235888,757.393,633.6155255601576,681.066,325.56588484696323,336.517,-102.80083764100937,-29.036000000000058,-196.8695639220664,-220.04700000000003,-10.081143206000775,25.510999999999967,-8.632372798387678,31.284999999999968,3.61,0.9695676536199203,39.49832507518562,25.300830858102508,81.8584715380532,154.38540410387407
E76,4.526673611111114,304000.0,1.3000343322153118,87.7952,114.13677420370973,26.34157420370974,1.0,0.0,959.9017071622561,1067.693,831.8575541973339,970.472,713.7216464213985,751.1579999999999,842.4363844730259,947.353,722.45734773025,726.308,662.6465190345544,647.019,330.42193536321787,338.123,-128.0441529649222,-97.221,-246.18006074085758,-316.5350000000001,-10.578830275691985,23.119000000000028,-8.735701308851503,24.84999999999991,3.6099999999999994,0.9960668905477916,28.08234186254782,25.300830858102508,81.8584715380532,154.38540410387407
