irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-37.33126071904672,-34.14928244526689
456000.0,T12_perim,-33.70080904324958,-16.81065855368442
456000.0,T11_perim,-22.161328584819117,-1.3657133576718719
456000.0,T9_core,-34.35168673327846,-16.731949144758126
456000.0,T10_core,-22.13810183960018,-3.5441256722753445
456000.0,T3,-18.059032735046497,0.5430107656374393
304000.0,T8,-30.8990204368981,-23.65036823444102
304000.0,T12_perim,-25.529646577552736,-13.173548257550575
304000.0,T11_perim,-16.289474191526075,-1.9289615808695002
304000.0,T9_core,-26.15183713867483,-13.384545690629912
304000.0,T10_core,-16.48913337357933,-3.67897996265457
304000.0,T3,-12.953324728533726,-0.13175631351821884
256000.0,T8,-27.236033464835764,-20.88606484778701
256000.0,T12_perim,-19.14888386152338,-13.987976018518863
256000.0,T11_perim,-12.23559164011812,-5.174190237226035
256000.0,T9_core,-19.692092299558663,-13.924381477027032
256000.0,T10_core,-12.488720199358319,-6.148389808009175
256000.0,T3,-9.956034274768742,-3.039355302230513
