RunID,Case,T9_SS_sim,T9_SS_exp,dT_T09,T3_SS_sim,T3_SS_exp,dT_T03,T2_SS_sim,T2_SS_exp,dT_T02,R_leak_sim,R_leak_exp,t90_sim_T09_s,t90_exp_T09_s,dt90_T09_s,t90_sim_T03_s,t90_exp_T03_s,dt90_T03_s,Gap_ss_sim,Gap_ss_exp,dGap_ss
1.0,E67,870.2838416628608,966.722,-96.43815833713916,716.8377896569854,763.718,-46.880210343014596,324.42554940840984,326.238,-1.8124505915901636,0.7329914174292561,0.6975164053140701,450.0,600.0,-150.0,450.0,2000.0,-1550.0,-153.44605200587546,-203.00400000000002,49.55794799412456
1.0,E68,956.3434914289107,1020.827,-64.48350857108926,781.1246576268943,773.123,8.001657626894257,326.6942051319877,338.46999999999997,-11.77579486801227,0.7348164519093535,0.6584471939208169,500.0,800.0,-300.0,500.0,2550.0,-2050.0,-175.21883380201643,-247.70399999999995,72.48516619798352
1.0,E69,1032.6774382864962,1044.388,-11.710561713503694,838.2955556789548,769.736,68.55955567895478,332.81696441454824,344.269,-11.452035585451767,0.7362809589975471,0.6332055716556044,550.0,850.0,-300.0,550.0,2600.0,-2050.0,-194.38188260754146,-274.65199999999993,80.27011739245847
1.0,E70,1094.0313243642263,1093.714,0.31732436422635146,884.3974730957664,779.53,104.8674730957664,328.2785784482165,352.42199999999997,-24.14342155178349,0.7374435098442486,0.6063429376180907,600.0,1050.0,-450.0,600.0,3200.0,-2600.0,-209.63385126845992,-314.18399999999997,104.55014873154005
1.0,E71,1193.3033569885067,1095.307,97.9963569885067,959.3993733924092,753.444,205.95537339240923,329.0843673662565,355.88699999999994,-26.80263263374343,0.7394423662784356,0.5725157526050101,600.0,1350.0,-750.0,600.0,3600.0,-3000.0,-233.90398359609753,-341.86300000000006,107.95901640390252
1.0,E72,690.8294878462854,771.04,-80.2105121537146,584.3758312834057,652.896,-68.5201687165943,321.6355341921645,309.84499999999997,11.790534192164557,0.730654920378505,0.7515070187320431,400.0,700.0,-300.0,400.0,1750.0,-1350.0,-106.4536565628797,-118.144,11.690343437120305
1.0,E73,808.6670402395622,868.132,-59.46495976043775,672.4346836097759,694.575,-22.140316390224143,327.74197696100305,325.051,2.6909769610030594,0.7344755852620212,0.6968616710972625,500.0,800.0,-300.0,500.0,2250.0,-1750.0,-136.2323566297863,-173.5569999999999,37.32464337021361
1.0,E74,956.6294053752371,935.4069999999999,21.222405375237145,783.466840369833,697.613,85.85384036983294,327.3763130223067,333.92699999999996,-6.55068697769326,0.7380418485455957,0.6283359565120218,650.0,1150.0,-500.0,650.0,3000.0,-2350.0,-173.16256500540408,-237.79399999999987,64.63143499459579
1.0,E75,1058.247330021416,954.178,104.06933002141602,860.1471945876281,681.066,179.08119458762803,327.94895115705555,336.517,-8.56804884294445,0.7402474143283846,0.5853017097391358,700.0,1450.0,-750.0,700.0,3400.0,-2700.0,-198.10013543378795,-273.11199999999997,75.01186456621201
1.0,E76,1202.8976660114472,947.3489999999999,255.54866601144727,970.4687685290334,646.8340000000001,323.6347685290333,328.8336842425897,338.025,-9.19131575741028,0.7438234508514838,0.5389113327022131,750.0,1800.0,-1050.0,750.0,3900.0,-3150.0,-232.42889748241384,-300.5149999999999,68.08610251758603
