simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
E71,1.6949999999999998,0.9375,1647.317185647807,300.7835,1084.3243798323963
E71,1.6949999999999998,2.8125,1656.4234292988128,1646.1010833522707,984.7218645030769
E71,1.6949999999999998,4.6875,1659.7013527598021,1656.3990342536265,870.1390199473167
E71,1.6949999999999998,6.5625,1658.4578221392185,1659.6855491825834,808.4932356699445
E71,1.6949999999999998,8.4375,1653.6636039124735,1658.4664027017777,768.0547998359015
E71,1.6949999999999998,10.312499999999998,1646.0556802493575,1653.7065986137452,738.521645674726
E71,1.6949999999999998,12.1875,1636.2049072900938,1646.13767208379,715.44047050544
E71,1.6949999999999998,14.062499999999998,1624.5608282805276,1636.3273251035328,696.5397776627676
E71,1.6949999999999998,17.772727272727273,1598.400105889097,1624.7233184382521,668.0438417417267
E71,1.6949999999999998,23.31818181818182,1551.7824854453695,1598.4002437830272,636.2866331761645
E71,1.6949999999999998,28.863636363636363,1501.4488280794528,1551.782910778057,610.5985428424835
E71,1.6949999999999998,34.40909090909091,1449.930681740543,1501.4495391669084,589.1228261847394
E71,1.6949999999999998,39.95454545454545,1398.7379773575044,1449.9317239170764,570.4601893781402
E71,1.6949999999999998,45.5,1348.7355079974318,1398.7393855230757,553.835478912515
E71,1.6949999999999998,51.04545454545455,1300.3472415820488,1348.7373105137372,538.7676374442807
E71,1.6949999999999998,56.59090909090909,1253.6821237065449,1300.3494651010114,524.9242204084943
E71,1.6949999999999998,62.13636363636364,1208.6239263622906,1253.6847992175233,512.0509090037771
E71,1.6949999999999998,67.68181818181819,1164.9028177440846,1208.6270962395333,499.9358714855122
E71,1.6949999999999998,73.22727272727273,1122.154710767172,1164.9065434084962,488.3917941596392
E71,1.6949999999999998,78.77272727272727,1079.970313950153,1122.1590807547839,477.24722238713304
E71,1.6949999999999998,84.31818181818181,1037.9355115945682,1079.9754525315586,466.3428670490107
E71,1.6949999999999998,89.86363636363637,995.6657261688352,1037.9415883891854,455.5307161001443
E71,1.6949999999999998,95.40909090909092,952.8377131957138,995.6729672627888,444.67511889098074
E71,1.6949999999999998,100.95454545454547,909.2219166170539,952.8464139728284,433.65579741751384
E71,1.6949999999999998,106.50000000000001,864.7164657463758,909.2324557352285,422.3730491015887
E71,1.6949999999999998,112.04545454545456,819.3797808330826,864.7293183535865,410.75517639876534
E71,1.6949999999999998,117.59090909090911,773.453173217523,819.3955273252234,398.76732467964746
E71,1.6949999999999998,123.13636363636364,727.3604311938377,773.4724981914379,386.41956239932955
E71,1.6949999999999998,128.6818181818182,681.6727957171802,727.384107021048,373.7708350371534
E71,1.6949999999999998,134.22727272727275,637.0381426402037,681.7016478501325,360.92545890537065
E71,5.084999999999999,0.9375,1622.2848487163756,300.7835,1077.1094780434669
E71,5.084999999999999,2.8125,1631.3857986988758,1621.0626946500654,977.8174925229516
E71,5.084999999999999,4.6875,1634.7855950678213,1631.3608444943109,864.0790129336204
E71,5.084999999999999,6.5625,1633.7672282267813,1634.768878131761,802.9011895967728
E71,5.084999999999999,8.4375,1629.284657116307,1633.7743572819682,762.7829490806082
E71,5.084999999999999,10.312499999999998,1622.0623888659686,1629.3255412924757,733.4956892766122
E71,5.084999999999999,12.1875,1612.6616142991925,1622.14149603273,710.6180709387589
E71,5.084999999999999,14.062499999999998,1601.524065555268,1612.780268616528,691.8950179114499
