simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,core_absorbed_W,perim_absorbed_W,spill_capture,flux_receiver_fraction,flux_spillover_fraction,f_perim_source,beta_perim_1_m,core_front_cell_source_fraction,perim_front_cell_source_fraction,core_downstream_source_fraction,perim_downstream_source_fraction,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,rear_tube_gas_heat,active_flow_fraction,G_core_perim_W_m_K,C_perim_eff_J_K,C_participating_eff_J_K,f_core_tube,flange_scale,G_rear_core_W_m_K,G_rear_perim_W_m_K,rear_sink_shape,k_core_axial_scale
E67,15.2805125,456000.0,2.4155667071465876,131.6928,318.11274325091415,162.63078653633755,155.4819567145766,0.5251021463644217,0.06920265203911855,0.9307973479608814,0.48876368524457026,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,871.9027367882012,931.6279999999999,905.6024580639372,991.103,851.1256048422185,878.055,866.2663959226967,966.6659999999999,807.8585604917308,824.995,684.286174485961,763.414,323.9546814574754,326.43699999999995,33.69972127573601,59.47500000000002,-20.77713194598266,-53.57299999999998,39.33606214124052,24.437000000000012,43.26704435048771,53.059999999999945,11.40366600807679,0.9749420721267934,122.29620501477709,-19.76649399429597,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E68,12.499871559633025,456000.0,2.4155667071465876,131.6928,318.11274325091415,162.63078653633755,155.4819567145766,0.5251021463644217,0.06920265203911855,0.9307973479608814,0.48876368524457026,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,955.555964902406,1012.649,974.9816427273352,1047.717,893.4059300097917,898.751,940.4922022003235,1020.928,848.43806540768,850.0989999999999,705.5543929657698,773.207,334.52171115549396,338.52,19.425677824929153,35.0680000000001,-62.15003489261426,-113.89800000000002,34.48944052701165,26.7890000000001,44.96786460211172,48.652000000000044,10.019564318129719,0.9833132759277197,104.94907224329899,-20.35469831299987,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E69,10.499733944954128,456000.0,2.4155667071465876,131.6928,318.11274325091415,162.63078653633755,155.4819567145766,0.5251021463644217,0.06920265203911855,0.9307973479608814,0.48876368524457026,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,1027.0186994260575,1058.429,1029.37906401386,1070.73,922.1547581289834,896.755,998.2014953170988,1044.378,874.7639187514907,852.837,711.2456346434333,769.76,343.8896818201171,344.308,2.360364587802451,12.30099999999993,-104.86394129707412,-161.6740000000001,31.177568696761227,26.35200000000009,47.39083937749274,43.918000000000006,8.991860440440625,0.9884529989558277,90.0132734757747,-20.154537541435364,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E70,9.107139705882352,456000.0,2.4155667071465876,131.6928,318.11274325091415,162.63078653633755,155.4819567145766,0.5251021463644217,0.06920265203911855,0.9307973479608814,0.48876368524457026,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,1084.3863661451737,1152.474,1069.1432251647475,1120.277,939.9209117500928,912.173,1039.9244246862,1093.725,890.0653114818307,871.483,712.4152119267897,779.518,343.7514240307803,352.421,-15.243140980426233,-32.19699999999989,-144.46545439508088,-240.30099999999993,29.218800478547564,26.552000000000135,49.85560026826215,40.690000000000055,8.232716988287525,0.9916093256510156,77.90120677549758,-19.681318853882527,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E71,7.126846153846151,456000.0,2.4155667071465876,131.6928,318.11274325091415,162.63078653633755,155.4819567145766,0.5251021463644217,0.06920265203911855,0.9307973479608814,0.48876368524457026,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,1174.121777671537,1203.298,1125.5118624874142,1120.348,960.0017721403026,882.823,1096.787225781981,1095.306,905.1589014151141,847.476,702.3363971945136,753.56,348.7221782135887,356.00399999999996,-48.60991518412288,-82.95000000000005,-214.12000553123448,-320.475,28.724636705433113,25.041999999999916,54.842870725188504,35.34699999999998,7.119022379049827,0.9952548124350373,59.682938730032006,-18.203507927721656,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E72,18.707575757575754,304000.0,2.497550759733723,87.7952,219.27296846097417,112.10030432147201,107.17266413950216,0.5251021463644217,0.06920265203911855,0.9307973479608814,0.48876368524457026,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,653.2489206752876,737.656,681.4028812837374,797.899,655.0336320215047,733.977,650.7816960476051,771.112,625.7001116448523,684.1869999999999,550.2253764541506,652.9549999999999,310.968273144943,309.928,28.15396060844978,60.24300000000005,1.7847113462170228,-3.6789999999999736,30.621185236132305,26.787000000000035,29.33352037665236,49.79000000000008,13.623951664952047,0.9583334324533146,94.83997257114443,-11.908344179774467,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E73,13.170870967741934,304000.0,2.497550759733723,87.7952,219.27296846097417,112.10030432147201,107.17266413950216,0.5251021463644217,0.06920265203911855,0.9307973479608814,0.48876368524457026,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,754.1580346197084,837.694,769.946444185959,894.482,709.7418260219356,791.76,744.4379975874896,867.5509999999999,680.2781151526971,747.4,575.9313335509323,694.626,323.154226868377,325.12,15.788409566250607,56.78800000000001,-44.416208597772766,-45.93399999999997,25.50844659846939,26.93100000000004,29.463710869238525,44.360000000000014,11.04068385830458,0.9772177768128992,75.03343543819916,-12.738820982788415,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E74,9.023245901639344,304000.0,2.497550759733723,87.7952,219.27296846097417,112.10030432147201,107.17266413950216,0.5251021463644217,0.06920265203911855,0.9307973479608814,0.48876368524457026,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,884.1672096823472,948.538,865.7040340913182,962.509,752.7493894762694,804.0,845.3411473870763,935.491,720.7241695671281,767.8009999999999,580.0130630873873,697.672,328.197351131335,333.964,-18.46317559102897,13.971000000000004,-131.41782020607786,-144.538,20.362886704241987,27.01800000000003,32.02521990914124,36.19900000000007,8.728545172340484,0.9895608641502455,52.05587927438995,-12.241607773051694,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E75,6.944410852713178,304000.0,2.497550759733723,87.7952,219.27296846097417,112.10030432147201,107.17266413950216,0.5251021463644217,0.06920265203911855,0.9307973479608814,0.48876368524457026,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,972.9022670351098,1008.725,920.2225328037512,979.689,768.1699964279416,788.678,900.8209465854786,954.178,732.8783566532393,757.393,569.5855695764467,681.066,331.54456511866283,336.517,-52.67973423135868,-29.036000000000058,-204.7322706071683,-220.04700000000003,19.40158621827254,25.510999999999967,35.291639774702276,31.284999999999968,7.466382909349334,0.9942054049361552,38.55279614888278,-11.170780812304255,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E76,4.526673611111114,304000.0,2.497550759733723,87.7952,219.27296846097417,112.10030432147201,107.17266413950216,0.5251021463644217,0.06920265203911855,0.9307973479608814,0.48876368524457026,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,1092.96889240192,1067.693,979.2784163903797,970.472,771.5047213660182,751.1579999999999,956.1770600772471,947.353,730.1828751653728,726.308,543.1323088731914,647.019,335.5560793179307,338.123,-113.69047601154023,-97.221,-321.4641710359017,-316.5350000000001,23.101356313132555,23.119000000000028,41.32184620064538,24.84999999999991,5.854078364590048,0.9979869311017449,22.969234534969765,-8.96237330886986,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
