% Model:              Cav_Hex_Unif_flux_v5.1.1 - Lin. Distn.mph
% Version:            COMSOL 5.5.0.359
% Date:               May 16 2022, 14:37
% Dimension:          3
% Nodes:              18061
% Expressions:        1
% Description:        Surface
% x                       y                        z                        Color
-4                        -3.1091887578916704      0.9141057645898676       0.031134953077283162
-3.999999999999999        -3.999999999999999       1.3157894736842068       0.031134953077283162
-4                        -4                       0                        0.031134953077283162
-4                        -3.1091887578916704      0.9141057645898676       0.016914345763477615
-4                        -4                       0                        0.016914345763477615
-4                        -2.6666666666666665      0                        0.016914345763477615
-4                        3.0758370637793435       0.8833550143143354       0.01729418268646614
-4                        2.666666666666668        0                        0.01729418268646614
-4                        4                        0                        0.01729418268646614
-4                        3.0758370637793435       0.8833550143143354       0.04962586938641964
-4                        4                        0                        0.04962586938641964
-3.999999999999999        3.999999999999999        1.3157894736842068       0.04962586938641964
-4                        7.91033905045424E-16     0                        0.03367283430993725
-4                        -0.5689913898402228      1.1116586170553335       0.03367283430993725
-4                        -1.3333333333333326      0                        0.03367283430993725
-4                        -0.5689913898402228      1.1116586170553335       0.04923852562034803
-4                        7.91033905045424E-16     0                        0.04923852562034803
-4                        0.6666666666666679       1.1471949848797847       0.04923852562034803
-4                        3.0758370637793435       0.8833550143143354       0.02693502244606712
-4                        1.9773752169223693       1.0299452043621926       0.02693502244606712
-4                        2.666666666666668        0                        0.02693502244606712
-4                        0.6666666666666679       1.1471949848797847       0.03351848588774688
-4                        7.91033905045424E-16     0                        0.03351848588774688
-3.999999999999999        1.3333333333333344       0                        0.03351848588774688
-4                        1.9773752169223693       1.0299452043621926       0.027509417062578204
-3.999999999999999        1.3333333333333344       0                        0.027509417062578204
-4                        2.666666666666668        0                        0.027509417062578204
-4                        1.9773752169223693       1.0299452043621926       0.04303475155351455
-4                        0.6666666666666679       1.1471949848797847       0.04303475155351455
-3.999999999999999        1.3333333333333344       0                        0.04303475155351455
-4                        -2.960349857095676       2.0112046564970676       0.04839271910957842
-3.999999999999999        -3.999999999999999       2.6315789473684137       0.04839271910957842
-3.999999999999999        -3.999999999999999       1.3157894736842068       0.04839271910957842
-4                        -3.1091887578916704      0.9141057645898676       0.05483321293254935
-4                        -2.960349857095676       2.0112046564970676       0.05483321293254935
-3.999999999999999        -3.999999999999999       1.3157894736842068       0.05483321293254935
-4                        -1.3333333333333326      0                        0.032081752590189715
-4                        -1.9189272656960084      1.2435346927680335       0.032081752590189715
-4                        -2.6666666666666665      0                        0.032081752590189715
-4                        -3.1091887578916704      0.9141057645898676       0.062022541987516104
-4                        -2.6666666666666665      0                        0.062022541987516104
-4                        -1.9189272656960084      1.2435346927680335       0.062022541987516104
-4                        -0.5689913898402228      1.1116586170553335       0.062354548341692385
-4                        -1.9189272656960084      1.2435346927680335       0.062354548341692385
-4                        -1.3333333333333326      0                        0.062354548341692385
-4                        -3.1091887578916704      0.9141057645898676       0.052874081243714975
-4                        -1.9189272656960084      1.2435346927680335       0.052874081243714975
-4                        -2.960349857095676       2.0112046564970676       0.052874081243714975
-3.999999999999999        -3.999999999999999       2.6315789473684137       0.04968716122688816
-4                        -2.8581227149680184      3.289473684210531        0.04968716122688816
-3.999999999999999        -3.999999999999999       3.947368421052621        0.04968716122688816
-4                        -2.960349857095676       2.0112046564970676       0.0539597693907283
-4                        -2.8581227149680184      3.289473684210531        0.0539597693907283
-3.999999999999999        -3.999999999999999       2.6315789473684137       0.0539597693907283
-3.999999999999999        3.999999999999999        2.6315789473684137       0.03701949732776515
-4                        2.7487192587958154       2.0653144274501267       0.03701949732776515
-3.999999999999999        3.999999999999999        1.3157894736842068       0.03701949732776515
-4                        3.0758370637793435       0.8833550143143354       0.036072941805428006
-3.999999999999999        3.999999999999999        1.3157894736842068       0.036072941805428006
-4                        2.7487192587958154       2.0653144274501267       0.036072941805428006
-4                        3.0758370637793435       0.8833550143143354       0.04745637997661387
-4                        2.7487192587958154       2.0653144274501267       0.04745637997661387
-4                        1.9773752169223693       1.0299452043621926       0.04745637997661387
-4                        1.3730283122923892       2.0838067995287646       0.06188752884139271
-4                        0.6666666666666679       1.1471949848797847       0.06188752884139271
-4                        1.9773752169223693       1.0299452043621926       0.06188752884139271
-4                        1.9773752169223693       1.0299452043621926       0.05329938644620237
-4                        2.7487192587958154       2.0653144274501267       0.05329938644620237
-4                        1.3730283122923892       2.0838067995287646       0.05329938644620237
-4                        -2.8581227149680184      3.289473684210531        0.03928886318382576
-4                        -2.960349857095676       2.0112046564970676       0.03928886318382576
-4                        -1.837439504065812       2.6758917200519377       0.03928886318382576
-4                        -2.960349857095676       2.0112046564970676       0.07849916378607205
-4                        -1.9189272656960084      1.2435346927680335       0.07849916378607205
-4                        -1.837439504065812       2.6758917200519377       0.07849916378607205
-4                        0.6666666666666679       1.1471949848797847       0.05892053816348145
-4                        0.12648028973971837      2.1669050643517322       0.05892053816348145
-4                        -0.5689913898402228      1.1116586170553335       0.05892053816348145
-4                        0.6666666666666679       1.1471949848797847       0.03410115997774245
-4                        1.3730283122923892       2.0838067995287646       0.03410115997774245
-4                        0.12648028973971837      2.1669050643517322       0.03410115997774245
-4                        -0.9548346964183825      2.1123169603324725       0.08152797359251386
-4                        -1.9189272656960084      1.2435346927680335       0.08152797359251386
-4                        -0.5689913898402228      1.1116586170553335       0.08152797359251386
-4                        -0.9548346964183825      2.1123169603324725       0.05182185579419855
-4                        -1.837439504065812       2.6758917200519377       0.05182185579419855
-4                        -1.9189272656960084      1.2435346927680335       0.05182185579419855
-4                        -0.9548346964183825      2.1123169603324725       0.05825712873089397
-4                        -0.5689913898402228      1.1116586170553335       0.05825712873089397
-4                        0.12648028973971837      2.1669050643517322       0.05825712873089397
-4                        2.8599075272384544       3.355731830803621        0.049235719406015455
-4                        2.7487192587958154       2.0653144274501267       0.049235719406015455
-3.999999999999999        3.999999999999999        2.6315789473684137       0.049235719406015455
-3.999999999999999        3.999999999999999        3.947368421052621        0.03793384800272112
-4                        2.8599075272384544       3.355731830803621        0.03793384800272112
-3.999999999999999        3.999999999999999        2.6315789473684137       0.03793384800272112
-4                        2.8599075272384544       3.355731830803621        0.058899624681482035
-3.999999999999999        3.999999999999999        3.947368421052621        0.058899624681482035
-4                        2.8581227149680113       4.605263157894724        0.058899624681482035
-3.999999999999999        3.999999999999999        3.947368421052621        0.03980272864530317
-3.999999999999999        3.999999999999999        5.263157894736827        0.03980272864530317
-4                        2.8581227149680113       4.605263157894724        0.03980272864530317
-4                        -2.8581227149680184      3.289473684210531        0.08378082425511865
-4                        -1.837439504065812       2.6758917200519377       0.08378082425511865
-4                        -1.7424936699304212      4.027479320740534        0.08378082425511865
-3.999999999999999        -3.999999999999999       3.947368421052621        0.05742176767420014
-4                        -2.8581227149680117      4.605263157894745        0.05742176767420014
-3.999999999999999        -3.999999999999999       5.263157894736827        0.05742176767420014
-4                        -2.8581227149680184      3.289473684210531        0.04368939573459224
-4                        -2.8581227149680117      4.605263157894745        0.04368939573459224
-3.999999999999999        -3.999999999999999       3.947368421052621        0.04368939573459224
-4                        -2.8581227149680117      4.605263157894745        0.059225476822394964
-4                        -2.8581227149680184      3.289473684210531        0.059225476822394964
-4                        -1.7424936699304212      4.027479320740534        0.059225476822394964
-4                        0.8619532281962199       3.1579922234977635       0.04247470319486985
-4                        0.12648028973971837      2.1669050643517322       0.04247470319486985
-4                        1.3730283122923892       2.0838067995287646       0.04247470319486985
-4                        2.8599075272384544       3.355731830803621        0.07075218690385363
-4                        2.8581227149680113       4.605263157894724        0.07075218690385363
-4                        1.7812792745967423       3.966579199080833        0.07075218690385363
-4                        1.8573657331396822       2.9352509224546353       0.04587357579682817
-4                        2.7487192587958154       2.0653144274501267       0.04587357579682817
-4                        2.8599075272384544       3.355731830803621        0.04587357579682817
-4                        1.8573657331396822       2.9352509224546353       0.04699570618358589
-4                        1.3730283122923892       2.0838067995287646       0.04699570618358589
-4                        2.7487192587958154       2.0653144274501267       0.04699570618358589
-4                        1.8573657331396822       2.9352509224546353       0.035137845570503264
-4                        2.8599075272384544       3.355731830803621        0.035137845570503264
-4                        1.7812792745967423       3.966579199080833        0.035137845570503264
-4                        1.8573657331396822       2.9352509224546353       0.040857482550233686
-4                        1.7812792745967423       3.966579199080833        0.040857482550233686
-4                        0.8619532281962199       3.1579922234977635       0.040857482550233686
-4                        1.8573657331396822       2.9352509224546353       0.06551642830012704
-4                        0.8619532281962199       3.1579922234977635       0.06551642830012704
-4                        1.3730283122923892       2.0838067995287646       0.06551642830012704
-4                        -1.7424936699304212      4.027479320740534        0.0365673745159273
-4                        -1.837439504065812       2.6758917200519377       0.0365673745159273
-4                        -0.5750990887494896      3.36346599852021         0.0365673745159273
-4                        -0.9548346964183825      2.1123169603324725       0.03967950920984446
-4                        0.12648028973971837      2.1669050643517322       0.03967950920984446
-4                        -0.5750990887494896      3.36346599852021         0.03967950920984446
-4                        0.12648028973971837      2.1669050643517322       0.04590124495748118
-4                        0.8619532281962199       3.1579922234977635       0.04590124495748118
-4                        -0.5750990887494896      3.36346599852021         0.04590124495748118
-4                        -0.9548346964183825      2.1123169603324725       0.06250548576698292
-4                        -0.5750990887494896      3.36346599852021         0.06250548576698292
-4                        -1.837439504065812       2.6758917200519377       0.06250548576698292
-4                        1.7812792745967423       3.966579199080833        0.08490986222359014
-4                        0.611007966395122        4.43051753599315         0.08490986222359014
-4                        0.8619532281962199       3.1579922234977635       0.08490986222359014
-4                        0.8619532281962199       3.1579922234977635       0.0617612431699354
-4                        0.611007966395122        4.43051753599315         0.0617612431699354
-4                        -0.5750990887494896      3.36346599852021         0.0617612431699354
-4                        1.7812792745967423       3.966579199080833        0.06305901909973098
-4                        2.8581227149680113       4.605263157894724        0.06305901909973098
-4                        1.71624542993602         5.263157894736848        0.06305901909973098
-4                        1.7812792745967423       3.966579199080833        0.035349990867753305
-4                        1.71624542993602         5.263157894736848        0.035349990867753305
-4                        0.611007966395122        4.43051753599315         0.035349990867753305
-4                        2.8581227149680113       4.605263157894724        0.059768228052166104
-3.999999999999999        3.999999999999999        5.263157894736827        0.059768228052166104
-4                        2.8581227149680126       5.92105263157896         0.059768228052166104
-4                        2.8581227149680113       4.605263157894724        0.0630858802209192
-4                        2.8581227149680126       5.92105263157896         0.0630858802209192
-4                        1.71624542993602         5.263157894736848        0.0630858802209192
-3.999999999999999        3.999999999999999        5.263157894736827        0.047206128375039506
-4                        4                        6.578947368421037        0.047206128375039506
-4                        2.8581227149680126       5.92105263157896         0.047206128375039506
-4                        2.8581227149680126       5.92105263157896         0.02297757992855941
-4                        4                        6.578947368421037        0.02297757992855941
-4                        2.8581227149680126       7.236842105263152        0.02297757992855941
-4                        4                        6.578947368421037        0.03238652056830535
-3.999999999999999        3.999999999999999        7.894736842105244        0.03238652056830535
-4                        2.8581227149680126       7.236842105263152        0.03238652056830535
-3.999999999999999        -3.999999999999999       7.894736842105244        0.04818712190749115
-4                        -4                       6.578947368421037        0.04818712190749115
-4                        -2.8586275888115775      7.250002914604715        0.04818712190749115
-4                        -1.7424936699304212      4.027479320740534        0.08160354588565599
-4                        -0.5750990887494896      3.36346599852021         0.08160354588565599
-4                        -0.5717463669678458      4.880753105016545        0.08160354588565599
-4                        -0.5717463669678458      4.880753105016545        0.07864380369557702
-4                        -0.5750990887494896      3.36346599852021         0.07864380369557702
-4                        0.611007966395122        4.43051753599315         0.07864380369557702
-4                        -1.7424936699304212      4.027479320740534        0.05401272447899236
-4                        -1.7153511999615885      5.352932535046618        0.05401272447899236
-4                        -2.8581227149680117      4.605263157894745        0.05401272447899236
-4                        -1.7153511999615885      5.352932535046618        0.05307233621213841
-4                        -1.7424936699304212      4.027479320740534        0.05307233621213841
-4                        -0.5717463669678458      4.880753105016545        0.05307233621213841
-3.999999999999999        -3.999999999999999       5.263157894736827        0.04028416341295732
-4                        -2.8581227149680135      5.921052631578939        0.04028416341295732
-4                        -4                       6.578947368421037        0.04028416341295732
-4                        -4                       6.578947368421037        0.05016608424253042
-4                        -2.8581227149680135      5.921052631578939        0.05016608424253042
-4                        -2.8586275888115775      7.250002914604715        0.05016608424253042
-4                        -2.8581227149680117      4.605263157894745        0.0511812869427749
-4                        -2.8581227149680135      5.921052631578939        0.0511812869427749
-3.999999999999999        -3.999999999999999       5.263157894736827        0.0511812869427749
-4                        -2.8581227149680135      5.921052631578939        0.06456156387360643
-4                        -2.8581227149680117      4.605263157894745        0.06456156387360643
-4                        -1.7153511999615885      5.352932535046618        0.06456156387360643
-4                        0.5790826768682945       5.762404755957784        0.051737728891131304
-4                        0.611007966395122        4.43051753599315         0.051737728891131304
-4                        1.71624542993602         5.263157894736848        0.051737728891131304
-4                        0.611007966395122        4.43051753599315         0.04933357363915302
-4                        0.5790826768682945       5.762404755957784        0.04933357363915302
-4                        -0.5717463669678458      4.880753105016545        0.04933357363915302
-4                        2.8581227149680126       5.92105263157896         0.03909671661083003
-4                        2.8581227149680126       7.236842105263152        0.03909671661083003
-4                        1.7162454299360317       6.578947368421084        0.03909671661083003
-4                        1.71624542993602         5.263157894736848        0.05521831110075411
-4                        2.8581227149680126       5.92105263157896         0.05521831110075411
-4                        1.7162454299360317       6.578947368421084        0.05521831110075411
-4                        1.71624542993602         5.263157894736848        0.0761621202338966
-4                        1.7162454299360317       6.578947368421084        0.0761621202338966
-4                        0.5790826768682945       5.762404755957784        0.0761621202338966
-4                        -2.8586275888115775      7.250002914604715        0.033764616512911516
-4                        -2.8581227149680135      5.921052631578939        0.033764616512911516
-4                        -1.7149989508427785      6.699172966367439        0.033764616512911516
-4                        -1.7153511999615885      5.352932535046618        0.04337524738971012
-4                        -1.7149989508427785      6.699172966367439        0.04337524738971012
-4                        -2.8581227149680135      5.921052631578939        0.04337524738971012
-4                        -1.7149989508427785      6.699172966367439        0.07075841554291103
-4                        -1.7153511999615885      5.352932535046618        0.07075841554291103
-4                        -0.5716245429936047      6.184210526315825        0.07075841554291103
-4                        -0.5717463669678458      4.880753105016545        0.04390766624556216
-4                        -0.5716245429936047      6.184210526315825        0.04390766624556216
-4                        -1.7153511999615885      5.352932535046618        0.04390766624556216
-4                        -0.5716245429936047      6.184210526315825        0.07147023947816798
-4                        -0.5717463669678458      4.880753105016545        0.07147023947816798
