simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,core_absorbed_W,perim_absorbed_W,f_perim_source,beta_perim_1_m,core_front_cell_source_fraction,perim_front_cell_source_fraction,core_downstream_source_fraction,perim_downstream_source_fraction,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,rear_tube_gas_heat,active_flow_fraction,G_core_perim_W_m_K,C_perim_eff_J_K,C_participating_eff_J_K,f_core_tube,flange_scale,G_rear_core_W_m_K,G_rear_perim_W_m_K,cool_core_mult
E67,15.2805125,456000.0,2.4053684447462973,131.6928,316.7697055202852,162.9279008683626,153.84180465192262,0.4856581989090208,0.37121222436610385,1.0,0.04098404237402722,0.0,0.9590159576259728,876.0690415695312,931.6279999999999,921.1755120684415,991.103,819.1833825486864,878.055,899.6095696344976,966.6659999999999,791.5925605029389,824.995,689.1070883129212,763.414,323.6277192386555,326.43699999999995,45.10647049891031,59.47500000000002,-56.885659020844855,-53.57299999999998,21.565942433943974,24.437000000000012,27.590822045747473,53.059999999999945,9.190737937665867,0.9520610409326277,123.82715931645991,-19.996659523898604,1.0,28.162239066275774,208.18861322274748,280.7155457885683,0.9992576201178448,0.10139749224843751,8.858688184209326,0.0,1.0
E68,12.499871559633025,456000.0,2.4053684447462973,131.6928,316.7697055202852,162.9279008683626,153.84180465192262,0.4856581989090208,0.37121222436610385,1.0,0.04098404237402722,0.0,0.9590159576259728,962.2646449102056,1012.649,995.759435267261,1047.717,860.0324410194881,898.751,976.7003442780671,1020.928,831.6141809154201,850.0989999999999,717.5146697111257,773.207,334.35635617451356,338.52,33.49479035705542,35.0680000000001,-102.23220389071741,-113.89800000000002,19.05909098919392,26.7890000000001,28.418260104068054,48.652000000000044,8.188720143471192,0.9670708093239995,108.16308440413306,-21.043240741580632,1.0,28.162239066275774,208.18861322274748,280.7155457885683,0.9992576201178448,0.10139749224843751,8.858688184209326,0.0,1.0
E69,10.499733944954128,456000.0,2.4053684447462973,131.6928,316.7697055202852,162.9279008683626,153.84180465192262,0.4856581989090208,0.37121222436610385,1.0,0.04098404237402722,0.0,0.9590159576259728,1034.7125510141727,1058.429,1053.869930325445,1070.73,886.9064146281175,896.755,1036.7320977123352,1044.378,857.5394844822384,852.837,732.6177999511418,769.76,343.8489037964948,344.308,19.15737931127228,12.30099999999993,-147.8061363860552,-161.6740000000001,17.137832613109822,26.35200000000009,29.36693014587911,43.918000000000006,7.437414462529269,0.9766431506935896,94.88242044380107,-21.423004195128403,1.0,28.162239066275774,208.18861322274748,280.7155457885683,0.9992576201178448,0.10139749224843751,8.858688184209326,0.0,1.0
E70,9.107139705882352,456000.0,2.4053684447462973,131.6928,316.7697055202852,162.9279008683626,153.84180465192262,0.4856581989090208,0.37121222436610385,1.0,0.04098404237402722,0.0,0.9590159576259728,1092.3342097398831,1152.474,1097.1087354151807,1120.277,905.2229678256623,912.173,1081.4273939053949,1093.725,875.0347494025635,871.483,743.3710741177581,779.518,344.06243902700504,352.421,4.774525675297582,-32.19699999999989,-187.11124191422084,-240.30099999999993,15.681341509785852,26.552000000000135,30.18821842309876,40.690000000000055,6.8759204146928035,0.9827422151972489,84.00212583058911,-21.48957096159504,1.0,28.162239066275774,208.18861322274748,280.7155457885683,0.9992576201178448,0.10139749224843751,8.858688184209326,0.0,1.0
E71,7.126846153846151,456000.0,2.4053684447462973,131.6928,316.7697055202852,162.9279008683626,153.84180465192262,0.4856581989090208,0.37121222436610385,1.0,0.04098404237402722,0.0,0.9590159576259728,1182.158738005618,1203.298,1159.8206216729802,1120.348,927.0264307017579,882.823,1145.8573992454358,1095.306,895.2506620450413,847.476,752.7547723629805,753.56,349.5759198730417,356.00399999999996,-22.33811633263781,-82.95000000000005,-255.1323073038601,-320.475,13.963222427544451,25.041999999999916,31.77576865671665,35.34699999999998,6.041357783953799,0.9900194093773717,67.3623089355422,-21.015611352790753,1.0,28.162239066275774,208.18861322274748,280.7155457885683,0.9992576201178448,0.10139749224843751,8.858688184209326,0.0,1.0
E72,18.707575757575754,304000.0,2.5,87.7952,219.488,112.89185323785686,106.59614676214315,0.4856581989090208,0.37121222436610385,1.0,0.04098404237402722,0.0,0.9590159576259728,657.6908426519515,737.656,687.2159259352268,797.899,632.0129798322073,733.977,670.8321664639852,771.112,612.9287945345552,684.1869999999999,553.1159527125366,652.9549999999999,310.7154077339076,309.928,29.525083283275308,60.24300000000005,-25.677862819744178,-3.6789999999999736,16.383759471241547,26.787000000000035,19.084185297652084,49.79000000000008,10.778590361027266,0.9237609938670169,95.88616601367404,-12.019449776511761,1.0,28.162239066275774,208.18861322274748,280.7155457885683,0.9992576201178448,0.10139749224843751,8.858688184209326,0.0,1.0
E73,13.170870967741934,304000.0,2.5,87.7952,219.488,112.89185323785686,106.59614676214315,0.4856581989090208,0.37121222436610385,1.0,0.04098404237402722,0.0,0.9590159576259728,760.7082053681435,837.694,777.5356993295044,894.482,682.9434595639711,791.76,763.7390787709635,867.5509999999999,663.4171689655585,747.4,588.3172166391603,694.626,322.909707510466,325.12,16.827493961360915,56.78800000000001,-77.76474580417232,-45.93399999999997,13.796620558540894,26.93100000000004,19.52629059841263,44.360000000000014,8.939007152749753,0.9558353490994104,78.41722396230942,-13.387134914517112,1.0,28.162239066275774,208.18861322274748,280.7155457885683,0.9992576201178448,0.10139749224843751,8.858688184209326,0.0,1.0
E74,9.023245901639344,304000.0,2.5,87.7952,219.488,112.89185323785686,106.59614676214315,0.4856581989090208,0.37121222436610385,1.0,0.04098404237402722,0.0,0.9590159576259728,884.4101820080868,948.538,871.9480843983278,962.509,725.1162955051519,804.0,860.9254636190101,935.491,704.627382917573,767.8009999999999,613.4068458863708,697.672,328.1496085244983,333.964,-12.462097609759098,13.971000000000004,-159.29388650293492,-144.538,11.022620779317663,27.01800000000003,20.488912587578966,36.19900000000007,7.260176722925471,0.9785996751717251,58.40484393506629,-13.983353449662006,1.0,28.162239066275774,208.18861322274748,280.7155457885683,0.9992576201178448,0.10139749224843751,8.858688184209326,0.0,1.0
E75,6.944410852713178,304000.0,2.5,87.7952,219.488,112.89185323785686,106.59614676214315,0.4856581989090208,0.37121222436610385,1.0,0.04098404237402722,0.0,0.9590159576259728,964.9302154779864,1008.725,926.0906544912062,979.689,744.0595447502536,788.678,916.3436247526324,954.178,722.6578795299811,757.393,622.4767866892417,681.066,331.7694747383328,336.517,-38.83956098678016,-29.036000000000058,-220.87067072773277,-220.04700000000003,9.747029738573815,25.510999999999967,21.401665220272548,31.284999999999968,6.321799573024617,0.9878203620359174,46.29786456507982,-13.80036664068868,1.0,28.162239066275774,208.18861322274748,280.7155457885683,0.9992576201178448,0.10139749224843751,8.858688184209326,0.0,1.0
E76,4.526673611111114,304000.0,2.5,87.7952,219.488,112.89185323785686,106.59614676214315,0.4856581989090208,0.37121222436610385,1.0,0.04098404237402722,0.0,0.9590159576259728,1073.2777813242083,1067.693,990.4291851664691,970.472,761.1199402280855,751.1579999999999,981.4939463295027,947.353,738.192106440768,726.308,628.8975422978551,647.019,336.6499501296482,338.123,-82.84859615773917,-97.221,-312.15784109612275,-316.5350000000001,8.935238836966391,23.119000000000028,22.927833787317468,24.84999999999991,5.087205100552172,0.9957394912274082,31.01030226585436,-12.723185806745398,1.0,28.162239066275774,208.18861322274748,280.7155457885683,0.9992576201178448,0.10139749224843751,8.858688184209326,0.0,1.0
