simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
E69,1.6949999999999998,2.7399999999999998,1286.719864490497,296.73849999999993,226.0209780780835
E69,1.6949999999999998,8.22,1236.3149162038007,1235.5073098073892,195.16897302431738
E69,1.6949999999999998,13.700000000000001,1175.416461743078,1236.245051277379,168.27249447858014
E69,1.6949999999999998,19.18,1122.4980988745926,1182.7511084758837,163.29757620024347
E69,1.6949999999999998,24.66,1079.3834745210233,1130.1601191737298,158.71835908259482
E69,1.6949999999999998,30.14,1043.717797935284,1086.166236762599,154.82662972793312
E69,1.6949999999999998,35.62,1012.9534638971659,1049.6317256237294,151.47893543993445
E69,1.6949999999999998,41.099999999999994,985.2308964659039,1018.2528225887002,148.49172492991872
E69,1.6949999999999998,46.58,959.3596831747153,990.160193870567,145.72398053573096
E69,1.6949999999999998,52.06,934.6261214699477,964.0991456649998,143.08237883342153
E69,1.6949999999999998,57.54,910.6210745513171,939.295305226938,140.50957666359704
E69,1.6949999999999998,63.019999999999996,887.1202316842124,915.2949814336176,137.97212013282896
E69,1.6949999999999998,68.5,864.0082911677154,891.8441971859843,135.4515121590485
E69,1.6949999999999998,73.97999999999999,841.2330752265264,868.8087877368966,132.93834033837823
E69,1.6949999999999998,79.46000000000001,818.7784193853076,846.1248227627694,130.42862473305047
E69,1.6949999999999998,84.93999999999998,796.6483538587357,823.7688379515699,127.92161169511114
E69,1.6949999999999998,90.42,774.857916505221,801.7402745840843,125.41846070279436
E69,1.6949999999999998,95.90000000000002,753.4278077250276,780.0512051795105,122.92146633845314
E69,1.6949999999999998,101.38,732.3812604205694,758.7203286077413,120.43359550227983
E69,1.6949999999999998,106.86000000000001,711.742197770582,737.7694459761211,117.95820929691546
E69,1.6949999999999998,112.33999999999999,691.5341663040222,717.2213831669691,115.49889460409402
E69,1.6949999999999998,117.82000000000001,671.7797744320918,697.0987787113734,113.05936431753905
E69,1.6949999999999998,123.30000000000001,652.5004948811094,677.4234229594825,110.6434049767539
E69,1.6949999999999998,128.78,633.7167084983017,658.2159808657692,108.25485839257354
E69,1.6949999999999998,134.26,615.4477359285878,639.4959721083528,105.89761639639879
E69,5.084999999999999,2.7399999999999998,1272.482034817723,296.73849999999993,224.8258397741793
E69,5.084999999999999,8.22,1226.1103440976096,1221.6371376326617,194.1373019193862
E69,5.084999999999999,13.700000000000001,1168.9586096774892,1225.7211772920734,167.48650299424398
E69,5.084999999999999,19.18,1118.636536242115,1175.831498133949,162.78681239410832
E69,5.084999999999999,24.66,1077.1289406118997,1125.919534365636,158.40383259262344
E69,5.084999999999999,30.14,1042.4097077353308,1083.6422579430164,154.63750660716101
E69,5.084999999999999,35.62,1012.1907255714287,1048.1433547374445,151.365978440579
E69,5.084999999999999,41.099999999999994,984.7797432260182,1017.3715236930846,148.42385344624483
E69,5.084999999999999,46.58,959.0864254329583,989.6299280504949,145.68247113076535
E69,5.084999999999999,52.06,934.4550115101825,963.7708833918672,143.05622915340558
E69,5.084999999999999,57.54,910.50938720574,939.0835173986042,140.49241035440488
E69,5.084999999999999,63.019999999999996,887.0438974931326,915.1509585402617,137.9602699090554
E69,5.084999999999999,68.5,863.9537196566594,891.740296414575,135.442875916246
E69,5.084999999999999,73.97999999999999,841.1925375958995,868.7293188318087,132.931712427528
E69,5.084999999999999,79.46000000000001,818.7474562560424,846.0608385824169,130.42330988299676
E69,5.084999999999999,84.93999999999998,796.6243269945835,823.7151812576265,127.91720400122965
E69,5.084999999999999,90.42,774.8392028217676,801.6939141692637,125.41471788744211
E69,5.084999999999999,95.90000000000002,753.4133513437272,780.0103027801064,122.91823849494476
E69,5.084999999999999,101.38,732.3703219970662,758.6837168259607,120.43078467688356
E69,5.084999999999999,106.86000000000001,711.7342098595907,737.736334971998,117.9557462199782
E69,5.084999999999999,112.33999999999999,691.5286428756453,717.1911922246087,115.49672461576357
E69,5.084999999999999,117.82000000000001,671.7762471956113,697.0710334018737,113.05743797087811
E69,5.084999999999999,123.30000000000001,652.4984711125624,677.397685778817,110.64167140710018
E69,5.084999999999999,128.78,633.7156748784013,658.1918052040177,108.25326262098561
E69,5.084999999999999,134.26,615.4472664703607,639.4728960972188,105.8961057024016
E69,8.475,2.7399999999999998,1246.178682172424,296.73849999999993,222.58159749123126
E69,8.475,8.22,1207.2369385448794,1196.0502658014661,192.19823929667237
E69,8.475,13.700000000000001,1156.96334135842,1206.25374794424,166.02240291659663
E69,8.475,19.18,1111.4253765174265,1162.9747829408511,161.83269600671582
E69,8.475,24.66,1072.8971886251547,1118.0026686603317,157.81422284332464
E69,8.475,30.14,1039.943122360701,1078.90830376344,154.28165685014844
E69,8.475,35.62,1010.7462946537604,1045.339533464426,151.15263267255142
