% Model:              Cav_Hex_Unif_flux_v5.1.2 - Wall Distn.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 23 2021, 11:37
% Dimension:          1
% Nodes:              469
% Expressions:        5
% Description:        Line graph
% x                       Height                   Height                   Height                   Height                   Height
0                         1234.8459498473767       1239.9425097477936       1242.8544085937203       1244.6254733858273       1245.7302401073355
0.8547008547008556        1238.974351603974        1244.2778445456543       1247.3520244726483       1249.2587842030055       1250.481517534393
1.709401709401711         1243.1027533605711       1248.613179343515        1251.8496403515762       1253.8920950201837       1255.2327949614507
2.5641025641025665        1247.2311551171683       1252.9485141413757       1256.3472562305042       1258.5254058373619       1259.9840723885084
3.418803418803422         1252.9793679122506       1258.928794395516        1262.5086235942351       1264.8363265022942       1266.4231652684196
4.273504273504278         1258.7275807073327       1264.909074649656        1268.6699909579659       1271.1472471672264       1272.8622581483305
5.128205128205133         1264.4757935024147       1270.8893549037964       1274.8313583216968       1277.4581678321588       1279.3013510282417
5.982905982905989         1270.4692710828697       1277.1353750598146       1281.2646686322585       1284.0400984739354       1286.006622618913
6.837606837606845         1276.4627486633244       1283.381395215833        1287.6979789428199       1290.6220291157117       1292.7118942095844
7.692307692307701         1282.4562262437794       1289.6274153718512       1294.1312892533815       1297.2039597574883       1299.4171658002558
8.547008547008557         1288.3795344709079       1295.7735876256502       1300.436568717236        1303.6318635797566       1305.9447427232897
9.401709401709413         1294.302842698036        1301.919759879449        1306.7418481810903       1310.0597674020246       1312.4723196463233
10.256410256410268        1300.2261509251643       1308.065932133248        1313.0471276449448       1316.4876712242926       1318.9998965693571
11.111111111111125        1304.85129912436         1312.820252369495        1317.869139381549        1321.3458683868992       1323.877654746377
11.965811965811982        1309.4764473235552       1317.5745726057414       1322.6911511181531       1326.2040655495052       1328.7554129233963
12.820512820512837        1314.1015955227508       1322.3288928419881       1327.5131628547572       1331.0622627121115       1333.633171100416
13.675213675213692        1317.4964046965906       1325.8089304063094       1331.0258908957246       1334.5831984328072       1337.1515395197541
14.529914529914548        1320.8912138704304       1329.2889679706302       1334.5386189366918       1338.1041341535026       1340.669907939092
15.384615384615401        1324.2860230442702       1332.7690055349512       1338.0513469776593       1341.6250698741983       1344.18827635843
16.239316239316256        1326.9061133803211       1335.4462043304054       1340.7451238767928       1344.3173230261937       1346.87140570928
17.09401709401711         1329.5262037163718       1338.1234031258593       1343.4389007759262       1347.009576178189        1349.5545350601299
17.948717948717967        1332.1462940524225       1340.8006019213133       1346.1326776750598       1349.7018293301844       1352.2376644109797
18.803418803418825        1333.8780892969685       1342.565658903886        1347.9042727753758       1351.468637417744        1353.9943248919578
19.65811965811968         1335.609884541514        1344.3307158864588       1349.6758678756917       1353.2354455053035       1355.750985372936
20.51282051282054         1337.3416797860598       1346.0957728690316       1351.4474629760077       1355.002253592863        1357.507645853914
21.367521367521395        1337.211215991919        1345.963379139458        1351.3061688246223       1354.8525911108964       1357.351083016087
22.222222222222246        1337.080752197778        1345.8309854098843       1351.1648746732367       1354.7029286289294       1357.1945201782598
23.0769230769231          1336.9502884036374       1345.6985916803108       1351.023580521851        1354.5532661469626       1357.0379573404327
23.93162393162396         1336.1520073551624       1344.8981761926818       1350.2202956142091       1353.7513770627318       1356.2419275235695
24.786324786324816        1335.3537263066871       1344.0977607050527       1349.4170107065672       1352.9494879785007       1355.4458977067063
25.641025641025678        1334.555445258212        1343.2973452174238       1348.6137257989253       1352.1475988942695       1354.649867889843
26.495726495726533        1333.2727818254796       1342.0155084011565       1347.3329763627798       1350.8724222099188       1353.38648650958
27.350427350427385        1331.990118392747        1340.733671584889        1346.0522269266344       1349.5972455255678       1352.1231051293169
28.205128205128236        1330.7074549600145       1339.4518347686214       1344.771477490489        1348.322068841217        1350.8597237490537
29.05982905982909         1328.9598837158806       1337.7039447319669       1343.0250608720826       1346.5803925667105       1349.1282801316167
29.914529914529943        1327.2123124717464       1335.9560546953119       1341.278644253676        1344.8387162922036       1347.3968365141795
30.7692307692308          1325.4647412276124       1334.208164658657        1339.5322276352697       1343.0970400176968       1345.6653928967423
31.623931623931657        1323.0469464934426       1331.7288947729585       1337.0157512967623       1340.5574928383155       1343.1109942315254
32.47863247863251         1320.6291517592726       1329.2496248872596       1334.4992749582548       1338.017945658934        1340.5565955663083
33.33333333333337         1318.2113570251029       1326.7703550015608       1331.9827986197474       1335.4783984795524       1338.002196901091
34.18803418803423         1315.5714027178658       1324.0358016808086       1329.1868508805285       1332.6406077324157       1335.1339698164227
35.04273504273508         1312.9314484106287       1321.3012483600562       1326.3909031413093       1329.8028169852787       1332.265742731754
35.89743589743594         1310.2914941033916       1318.5666950393038       1323.5949554020901       1326.9650262381417       1329.3975156470854
36.7521367521368          1307.4376487581817       1315.6186981563164       1320.585734190926        1323.9138058180915       1326.3153331998851
37.60683760683765         1304.5838034129717       1312.670701273329        1317.5765129797614       1320.8625853980413       1323.2331507526847
38.4615384615385          1301.7299580677618       1309.7227043903417       1314.567291768597        1317.8113649779912       1320.1509683054842
39.31623931623936         1298.6221051101177       1306.5579495737231       1311.3703704320153       1314.5949048448454       1316.9207964606567
40.17094017094022         1295.5142521524733       1303.3931947571043       1308.1734490954336       1311.3784447116996       1313.690624615829
41.02564102564108         1292.4063991948292       1300.2284399404857       1304.976527758852        1308.1619845785538       1310.4604527710012
41.88034188034194         1289.0620074395924       1296.8172457125568       1301.5284807283126       1304.6888485285133       1306.9657146258678
42.73504273504279         1285.7176156843555       1293.4060514846276       1298.080433697773        1301.2157124784726       1303.4709764807342
