irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-40.78600793159686,-34.14928244526689
456000.0,T12_wall,-30.69355143996208,-16.81065855368442
456000.0,T11_wall,-20.733946762218007,-1.3657133576718719
456000.0,T3,-16.67454696520841,0.5430107656374393
304000.0,T8,-31.93161551388663,-23.65036823444102
304000.0,T12_wall,-23.186511899380765,-13.173548257550575
304000.0,T11_wall,-15.231851856961816,-1.9289615808695002
304000.0,T3,-12.008415620426057,-0.13175631351821884
256000.0,T8,-23.244393926998185,-20.88606484778701
256000.0,T12_wall,-16.30396089244274,-13.987976018518863
256000.0,T11_wall,-10.732412202982482,-5.174190237226035
256000.0,T3,-8.584251666561338,-3.039355302230513
