irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-21.827605550098262,-34.14928244526689
456000.0,T12_wall,-21.991445893990527,-16.81065855368442
456000.0,T11_wall,-14.255535234579023,-1.3657133576718719
456000.0,T3,-3.0730462116944413,0.5430107656374393
304000.0,T8,-21.120383523610016,-23.65036823444102
304000.0,T12_wall,-18.294457026438486,-13.173548257550575
304000.0,T11_wall,-11.69332460594286,-1.9289615808695002
304000.0,T3,-2.702360080406412,-0.13175631351821884
256000.0,T8,-19.49490462367398,-20.88606484778701
256000.0,T12_wall,-14.922125508564044,-13.987976018518863
256000.0,T11_wall,-10.014897781402295,-5.174190237226035
256000.0,T3,-2.742366419829958,-3.039355302230513
