irradiance,signal,slope_model_K_per_LPM,slope_experiment_K_per_LPM,error_K_per_LPM
456000.0,T8,-31.4686692578664,-34.14928244526689,2.6806131874004926
456000.0,T12_perim,-27.794227975852483,-16.81065855368442,-10.983569422168063
456000.0,T11_perim,-21.84273695019313,-1.3657133576718719,-20.47702359252126
456000.0,T9_core,-30.455172671892644,-16.731949144758126,-13.723223527134518
456000.0,T10_core,-20.863565178770386,-3.5441256722753445,-17.31943950649504
456000.0,T3,-14.947423324567463,0.5430107656374393,-15.490434090204902
456000.0,T2,-4.8001790657952625,-3.714704533708543,-1.0854745320867196
304000.0,T8,-27.504143609905075,-23.65036823444102,-3.8537753754640534
304000.0,T12_perim,-22.64257102586828,-13.173548257550575,-9.469022768317704
304000.0,T11_perim,-17.11175809420776,-1.9289615808695002,-15.18279651333826
304000.0,T9_core,-24.26434661070221,-13.384545690629912,-10.879800920072297
304000.0,T10_core,-16.040713422820197,-3.67897996265457,-12.361733460165627
304000.0,T3,-11.930804594300175,-0.13175631351821884,-11.799048280781957
304000.0,T2,-3.0810175887830207,-2.0439067897339482,-1.0371107990490724
256000.0,T8,-25.269273222352627,-20.88606484778701,-4.383208374565616
256000.0,T12_perim,-19.302132024547173,-13.987976018518863,-5.314156006028311
256000.0,T11_perim,-14.11547752879086,-5.174190237226035,-8.941287291564826
256000.0,T9_core,-20.124242277866745,-13.924381477027032,-6.199860800839714
256000.0,T10_core,-12.97965678780927,-6.148389808009175,-6.831266979800096
256000.0,T3,-10.256701610151014,-3.039355302230513,-7.217346307920501
256000.0,T2,-2.0711504813771087,-1.1393701213842518,-0.9317803599928569
