simulation_id,flow_lpm,irradiance,power_scale,delivered_power_W,core_solar_W,perim_solar_W,gas_heat_W,front_rad_loss_W,cavity_amb_loss_W,flange_loss_W,residual_W,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T9_minus_T10_model,T9_minus_T10_experiment,mean_htc
E67,15.2805125,456000.0,1.34,220.58544,99.26344800000001,121.32199200000001,120.989938180258,14.204630542995607,38.31695749464632,1.257493452363188,0.0,892.6521994031798,931.6279999999999,773.6140529175434,991.103,709.365789136408,878.055,794.4012392231052,966.6659999999999,720.8671479220961,824.995,677.6679899031951,763.414,331.536375310033,326.43699999999995,-119.03814648563639,59.47500000000002,73.53409130100908,141.67099999999994,55.19089846995229
E68,12.499871559633025,456000.0,1.34,220.58544,99.26344800000001,121.32199200000001,110.09178067943279,18.866067827160002,52.95787282417412,1.3143743305415865,-5.684341886080802e-14,962.2882944466635,1012.649,839.4572470194126,1047.717,765.7726618262625,898.751,867.1122092314081,1020.928,777.0128325477306,850.0989999999999,721.033140329668,773.207,346.86899674167364,338.52,-122.83104742725084,35.0680000000001,90.09937668367752,170.82900000000006,52.11479166749745
E69,10.499733944954128,456000.0,1.34,220.58544,99.26344800000001,121.32199200000001,99.67805983004072,23.63258388694557,68.81499632363358,1.3449700776813724,0.0,1021.6325668689188,1058.429,893.7165672126314,1070.73,809.7478313507956,896.755,926.9098974589479,1044.378,819.4774818901794,852.837,751.899267895893,769.76,358.8410631091275,344.308,-127.91599965628745,12.30099999999993,107.43241556876842,191.54099999999994,49.53556972457412
E70,9.107139705882352,456000.0,1.34,220.58544,99.26344800000001,121.32199200000001,89.28319852156613,28.251973145671627,70.19602828201646,1.3612497941256738,-2.842170943040401e-14,1070.8312385083746,1152.474,935.7818999745059,1120.277,841.37699524517,912.173,973.2087393602669,1093.725,849.3411954591961,871.483,772.350481677537,779.518,362.16032060340535,352.421,-135.04933853386865,-32.19699999999989,123.8675439010708,222.24199999999996,47.43288648819161
E71,7.126846153846151,456000.0,1.34,220.58544,99.26344800000001,121.32199200000001,72.27433659584099,37.22256608968415,78.15451669665626,1.376795800564059,-5.684341886080802e-14,1151.6228037609499,1203.298,1001.2410184456281,1120.348,887.4112895329803,882.823,1043.4324486600344,1095.306,890.4668111109185,847.476,798.866126050681,753.56,370.57888768134677,356.00399999999996,-150.38178531532174,-82.95000000000005,152.96563754911597,247.83000000000004,43.95578589459195
E72,18.707575757575754,304000.0,1.58,173.39552,78.027984,95.36753600000002,103.41001357165713,6.27409798512937,22.370026902367794,1.064162221868488,-2.842170943040401e-14,729.2039763940401,737.656,634.8052256018257,797.899,588.9307634265596,733.977,645.6261079764963,771.112,597.2392457184703,684.1869999999999,577.6624014067849,652.9549999999999,317.14671010116956,309.928,-94.3987507922144,60.24300000000005,48.386862258025985,86.92500000000007,55.08423007783078
E73,13.170870967741934,304000.0,1.58,173.39552,78.027984,95.36753600000002,90.85795920220433,9.967778907822092,41.44121558313407,1.1890952294062984,0.0,822.0524944337194,837.694,721.2897315128125,894.482,663.3847102520365,791.76,741.0398647252767,867.5509999999999,671.7690804684636,747.4,638.9147396974887,694.626,334.95504786406593,325.12,-100.76276292090688,56.78800000000001,69.27078425681316,120.15099999999995,49.92688060505891
E74,9.023245901639344,304000.0,1.58,173.39552,78.027984,95.36753600000002,71.30839212499025,16.48547317930637,54.76934267005112,1.2635847265439517,2.842170943040401e-14,936.417409068273,948.538,819.4660249104969,962.509,739.9357417588693,804.0,848.6187044489778,935.491,745.2063930949189,767.8009999999999,693.9219059494061,697.672,346.3858741767876,333.964,-116.95138415777603,13.971000000000004,103.41231135405894,167.69000000000005,44.43494360829917
E75,6.944410852713178,304000.0,1.58,173.39552,78.027984,95.36753600000002,57.10922249185784,22.542283124455498,61.87796536390661,1.2859870274749228,-5.684341886080802e-14,1015.1654478300209,1008.725,880.879997273985,979.689,782.8501881913542,788.678,913.7008534600493,954.178,783.580466169283,757.393,719.9512038197422,681.066,352.77901319761054,336.517,-134.2854505560358,-29.036000000000058,130.1203872907663,196.78499999999997,40.84069981203765
E76,4.526673611111114,304000.0,1.58,173.39552,78.027984,95.36753600000002,36.83111181056141,34.15141900934592,72.39526313171466,1.2916334181282316,-2.842170943040401e-14,1129.027459231615,1067.693,958.7511367822692,970.472,830.3566681049377,751.1579999999999,990.1721264626167,947.353,821.4299201995693,726.308,743.344387682102,647.019,361.6863435729172,338.123,-170.2763224493458,-97.221,168.74220626304736,221.04499999999996,35.17891523516407
E77,13.84748387096774,256000.0,1.11,102.58176,46.161792000000005,56.419968000000004,54.87338690689657,2.8373131549096593,21.172017551458406,0.8444261452206212,0.0,608.884669705377,565.544,545.7829617407818,623.3499999999999,510.5021778044454,574.299,555.9355699586202,602.429,514.4619130736979,543.727,504.249719652583,525.356,316.7485640534411,308.37,-63.10170796459511,57.805999999999926,41.47365688492232,58.702,45.23756127828719
