variant,simulation_id,z_mm,Tsolid_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,UA_over_mcp,effectiveness,Qgas_W
initial_apparent_nu,E67,2.74,1309.351102775044,296.33849999999995,334.606829969425,0.10244060430078064,3.9415444535657715,0.038508792919423995,0.03777675604883189,12.878872456193822
initial_apparent_nu,E67,8.220000000000002,1267.9946442315586,334.606829969425,369.8874486976358,0.10261192386078628,3.942557461054519,0.03853134561867555,0.03779845653556238,11.869484494489098
initial_apparent_nu,E67,13.700000000000001,1203.3131107609095,369.8874486976358,401.5636864400871,0.10427494156212476,3.9523315145683116,0.03874838998213484,0.03800727429490459,10.623438448992587
initial_apparent_nu,E67,19.180000000000003,1135.5447989520624,401.5636864400871,429.65259822869916,0.10639980872392246,3.9646763672860024,0.03902076036955053,0.03826925694651819,9.383799876624655
initial_apparent_nu,E67,24.66,1071.434976177708,429.65259822869916,454.3850952650459,0.10861971098092586,3.977422903664994,0.039299406163047335,0.0385372018399542,8.230297934800323
initial_apparent_nu,E67,30.14,1012.9713204060813,454.3850952650459,476.05504253065595,0.11079634521466454,3.9897925283153706,0.03956681836358475,0.03879427434885046,7.184703441106451
initial_apparent_nu,E67,35.620000000000005,960.4546501556514,476.05504253065595,494.9635034312997,0.11287682500023584,4.001513523929114,0.03981712397172106,0.03903483942390396,6.24801970296941
initial_apparent_nu,E67,41.1,913.5865983306495,494.9635034312997,511.3976520141325,0.11484284110402278,4.0125103380511105,0.04004898634249623,0.03925762525544385,5.413818028639193
initial_apparent_nu,E67,46.580000000000005,871.8661922335267,511.3976520141325,525.6228814796908,0.11669150605796456,4.022789463029233,0.040262947649385615,0.03946316495997219,4.673183418429163
initial_apparent_nu,E67,52.06,834.7413758098533,525.6228814796908,537.8802861103272,0.11842753701217129,4.032394662057396,0.040460362243776894,0.03965277023361962,4.016646356637634
initial_apparent_nu,E67,57.54,801.6704161599276,537.8802861103272,548.3865392714931,0.12005964033723279,4.041387349949788,0.040642922318181035,0.03982807529300036,3.4349879738614804
initial_apparent_nu,E67,63.02,772.1477406590923,548.3865392714931,557.3349310236789,0.12159857395719764,4.0498366972022595,0.04081242193860267,0.039990810277629026,2.9195904953198566
initial_apparent_nu,E67,68.50000000000001,745.7141433542264,557.3349310236789,564.8969774888252,0.12305598890827424,4.057814037609908,0.040970630709333794,0.040142680137536885,2.462581661580537
initial_apparent_nu,E67,73.98000000000002,721.9593299105652,564.8969774888252,571.224281470604,0.12444370989785987,4.065389572904042,0.041119226161104264,0.04028529997302517,2.056874265751777
initial_apparent_nu,E67,79.46000000000002,700.5204748662452,571.224281470604,576.4504548074108,0.12577330089751934,4.072630504818918,0.0412597611205684,0.04042016396271597,1.6961486827656642
initial_apparent_nu,E67,84.94000000000001,681.0787463003421,576.4504548074108,580.6929892107584,0.1270558262666744,4.0796001159292885,0.041393652686550056,0.040548635008860724,1.3748047554324152
initial_apparent_nu,E67,90.42000000000002,663.354931158864,580.6929892107584,584.0550113256178,0.12830174553793172,4.086357482103018,0.04152218429973736,0.040671946915668875,1.0878989053802623
initial_apparent_nu,E67,95.90000000000002,647.1048290895089,584.0550113256178,586.6268899153138,0.12952089676578912,4.092957591392937,0.04164651527403828,0.04079121369275212,0.8310762061397411
initial_apparent_nu,E67,101.38000000000001,632.1147940563593,586.6268899153138,588.4876837363589,0.13072253599439815,4.099451710267896,0.041767694110400204,0.04090744245492966,0.6005032186076373
initial_apparent_nu,E67,106.86000000000001,618.1976207431097,588.4876837363589,589.7064313344896,0.13191541034937093,4.105887888633124,0.041886673278646064,0.0410215477014889,0.392804811846787
initial_apparent_nu,E67,112.34,605.1888602163388,589.7064313344896,590.3432912253838,0.13310784985168678,4.112311533032693,0.042004324089847035,0.041134365657633905,0.20500653912001732
initial_apparent_nu,E67,117.82000000000002,592.9435829481615,590.3432912253838,590.4505445946656,0.1343078686066176,4.118766004813303,0.04212145090372883,0.04124666795739151,0.03448311973471177
initial_apparent_nu,E67,123.30000000000003,581.3335707623353,590.4505445946656,590.0734740845899,0.13552326993510078,4.125293219050947,0.04223880431314849,0.04135917432806696,-0.12108701812477878
initial_apparent_nu,E67,128.78,570.2449013229087,590.0734740845899,589.251132328336,0.13676175269625793,4.131934232832632,0.04235709319171889,0.04147256416977667,-0.26376149992569464
initial_apparent_nu,E67,134.26000000000002,559.5758819302523,589.251132328336,588.0170132363984,0.13803101785431293,4.138729819869547,0.042476995633739564,0.04158748706017124,-0.39536859024357945
