% Model:              Cav_Hex_Unif_flux_v5.1.1 - Lin. Distn.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 28 2021, 14:21
% Dimension:          1
% Nodes:              166
% Expressions:        3
% Description:        Line graph
% x                       Height                   Height                   Height
0                         941.0403649032243        942.3467679014516        945.531268831157
0.09018823332274664       940.1987214114928        941.5046343100053        944.6877528725385
0.18037646664549328       939.3570779197611        940.662500718559         943.8442369139199
0.27056469996823995       938.5154344280296        939.8203671271127        943.0007209553013
0.36075293329098657       937.6737909362981        938.9782335356665        942.1572049966827
0.45094116661373324       936.8321474445665        938.1360999442202        941.3136890380641
0.5738245737254319        935.8180181171637        937.1234299952596        940.3040989124488
0.6967079808371307        934.8038887897608        936.1107600462989        939.2945087868334
0.8195913879488294        933.7897594623578        935.0980900973383        938.2849186612181
0.9424747950605281        932.7756301349548        934.0854201483776        937.2753285356026
1.0653582021722268        931.7615008075519        933.072750199417         936.2657384099873
1.1885641689501274        930.8395656369108        932.1547050508301        935.3566484150068
1.3117701357280274        929.9176304662697        931.2366599022433        934.4475584200264
1.4349761025059278        928.9956952956286        930.3186147536564        933.538468425046
1.558182069283828         928.0737601249875        929.4005696050697        932.6293784300656
1.6813880360617284        927.1518249543465        928.4825244564828        931.7202884350851
1.8047763805412071        926.3103406499977        927.6481213703039        930.9005140753196
1.928164725020686         925.468856345649         926.8137182841249        930.0807397155542
2.0515530695001645        924.6273720413002        925.979315197946         929.2609653557887
2.174941413979643         923.7858877369515        925.144912111767         928.4411909960232
2.298329758459122         922.9444034326027        924.3105090255881        927.6214166362578
2.421881167917507         922.1690410969873        923.5457477679803        926.8727287783661
2.5454325773758915        921.3936787613718        922.7809865103725        926.1240409204744
2.6689839868342764        920.6183164257563        922.0162252527646        925.3753530625827
2.792535396292661         919.8429540901409        921.2514639951568        924.626665204691
2.916086805751046         919.0675917545254        920.486702737549         923.8779773467993
3.039781654917145         918.3503843815092        919.7797923431567        923.1683602345097
3.163476504083244         917.6331770084928        919.0728819487643        922.4587431222199
3.2871713532493425        916.9159696354766        918.365971554372         921.7491260099303
3.410866202415442         916.1987622624603        917.6590611599797        921.0395088976405
3.534561051581541         915.4815548894439        916.9521507655874        920.3298917853508
3.6582109349611733        914.8193013044075        916.2945627664091        919.6474367564438
3.781860818340805         914.157047719371         915.6369747672308        918.9649817275366
3.905510701720437         913.4947941343345        914.9793867680526        918.2825266986295
4.02916058510007          912.8325405492981        914.3217987688743        917.6000716697223
4.152810468479701         912.1702869642615        913.664210769696         916.9176166408151
4.276368644024048         911.5522593377906        913.042184194228         916.2634470415472
4.399926819568393         910.9342317113197        912.4201576187597        915.6092774422791
4.52348499511274          910.3162040848488        911.7981310432917        914.9551078430111
4.647043170657086         909.6981764583779        911.1761044678236        914.3009382437431
4.770601346201431         909.080148831907         910.5540778923555        913.6467686444751
4.894067881927539         908.504922653561         909.9683877053873        913.0367635152004
5.017534417653646         907.9296964752149        909.382697518419         912.4267583859255
5.141000953379753         907.354470296869         908.7970073314508        911.8167532566507
5.264467489105861         906.7792441185229        908.2113171444825        911.2067481273759
5.387934024831969         906.2040179401769        907.6256269575142        910.5967429981011
5.511308988707016         905.6691251962872        907.0790028756286        910.0341268794697
5.634683952582063         905.1342324523974        906.532378793743         909.4715107608379
5.758058916457111         904.5993397085077        905.9857547118573        908.9088946422064
5.881433880332159         904.0644469646179        905.4391306299717        908.3462785235747
6.004808844207206         903.5295542207282        904.8925065480861        907.7836624049431
6.12808858023752          903.0372555491631        904.3885723990661        907.26955728033
6.2513683162678335        902.544956877598         903.8846382500461        906.7554521557169
6.374648052298148         902.0526582060328        903.380704101026         906.2413470311037
6.49792778832846          901.5603595344677        902.876769952006         905.7272419064905
6.621207524358775         901.0680608629026        902.3728358029861        905.2131367818773
6.744363473744812         900.6133118837193        901.9079582665194        904.7411006155427
6.867519423130851         900.1585629045361        901.4430807300527        904.269064449208
6.990675372516888         899.7038139253528        900.9782031935861        903.7970282828733
7.113831321902927         899.2490649461696        900.5133256571194        903.3249921165386
7.236987271288964         898.7943159669863        900.0484481206527        902.852955950204
7.360013831761713         898.3759913736722        899.6219595447437        902.4214532107255
7.483040392234461         897.9576667803578        899.1954709688347        901.9899504712471
7.606066952707209         897.5393421870436        898.7689823929257        901.5584477317688
7.729093513179958         897.1210175937294        898.3424938170167        901.1269449922903
7.852120073652706         896.7026930004153        897.9160052411078        900.6954422528119
7.975017381149587         896.3245364940341        897.5328962952223        900.3088551514879
8.097914688646467         895.946379987653         897.1497873493369        899.9222680501639
8.220811996143347         895.5682234812718        896.7666784034514        899.5356809488399
8.343709303640226         895.1900669748908        896.383569457566         899.1490938475159
8.466606611137108         894.8119104685096        896.0004605116804        898.7625067461919
8.589374801452458         894.4689582053485        895.6552293188136        898.4147281028453
8.712142991767806         894.1260059421874        895.3099981259467        898.0669494594986
8.834911182083156         893.7830536790261        894.9647669330798        897.719170816152
8.957679372398506         893.440101415865         894.6195357402129        897.3713921728053
9.080447562713855         893.0971491527039        894.274304547346         897.0236135294587
9.203086771499576         892.7879067697096        893.9618229252014        896.7087629017137
9.325725980285293         892.4786643867153        893.6493413030569        896.3939122739686
9.448365189071016         892.169422003721         893.3368596809122        896.0790616462236
9.571004397856735         891.8601796207267        893.0243780587676        895.7642110184786
9.693643606642455         891.5509372377325        892.7118964366231        895.4493603907335
9.816186163985492         891.2731337640624        892.430825017012         895.1660547400777
9.938728721328525         890.9953302903924        892.149753597401         894.8827490894217
10.06127127867156         890.7175268167224        891.86868217779          894.5994434387658
