phase,simulation_id,residual_W,relative_residual,solar_deposited_W,integrated_gas_removal_W,distributed_tube_flange_loss_W,source_power_error,independent_exchange_residual_W,independent_exchange_relative_residual
heating_training,E67,-2.842170943040401e-14,1.6443308409383662e-16,172.84666031189113,108.02922036239207,22.945168516758855,6.661338147750939e-16,3.730349362740526e-14,4.254917964453088e-15
heating_validation,E68,-6.394884621840902e-14,3.699744392111324e-16,172.84666031189113,98.08553879185195,28.447526251004597,6.661338147750939e-16,-1.5543122344752192e-15,1.5543122344752192e-15
heating_training,E69,1.5631940186722204e-13,9.043819625161014e-16,172.84666031189113,88.54016366851187,31.933995975588548,6.661338147750939e-16,-2.6645352591003757e-14,3.332882491002221e-15
heating_validation,E70,7.105427357601002e-15,4.1108271023459154e-17,172.84666031189113,79.77258262695356,35.99284893414496,6.661338147750939e-16,-9.769962616701378e-14,6.503051820387481e-15
heating_training,E71,-8.526512829121202e-14,4.932992522815099e-16,172.84666031189113,64.01623828743357,40.166966163530375,6.661338147750939e-16,-3.552713678800501e-14,1.456653573365391e-15
heating_training,E72,7.993605777301127e-15,5.921846969080626e-17,134.98501091023877,91.09040310884859,14.19663820841637,6.661338147750939e-16,1.0302869668521453e-13,7.56449107714485e-15
heating_validation,E73,-6.927791673660977e-14,5.132267373203209e-16,134.98501091023877,80.57760862445463,20.13660028600929,6.661338147750939e-16,3.9968028886505635e-15,1.1123156266755906e-15
heating_training,E74,7.815970093361102e-14,5.790250369767723e-16,134.98501091023877,64.63640267128173,27.306918942817727,6.661338147750939e-16,-2.4868995751603507e-14,2.5483869578246547e-15
heating_validation,E75,-1.4210854715202004e-14,1.0527727945032224e-16,134.98501091023877,51.944685040088046,31.157601707347403,6.661338147750939e-16,0.0,0.0
heating_training,E76,1.4210854715202004e-14,1.0527727945032224e-16,134.98501091023877,31.95518848467376,34.815085290413734,6.661338147750939e-16,-7.105427357601002e-15,2.5458930828842436e-16
heating_training,E77,-2.5757174171303632e-14,3.317967382899315e-16,77.62937726288445,48.43670971283561,9.591130409994962,6.661338147750939e-16,-6.128431095930864e-14,1.1289224822452574e-14
heating_validation,E78,-4.618527782440651e-14,5.9494587555436e-16,77.62937726288445,42.058328974945205,13.809408402976679,6.661338147750939e-16,4.440892098500626e-16,4.440892098500626e-16
heating_training,E79,3.552713678800501e-15,4.576506735033538e-17,77.62937726288445,36.79972497663216,15.77336830952941,6.661338147750939e-16,-1.2434497875801753e-14,2.5092463561161267e-15
heating_validation,E80,-4.973799150320701e-14,6.407109429046953e-16,77.62937726288445,31.68143583435718,17.824331272468644,6.661338147750939e-16,4.440892098500626e-14,5.031673106865561e-15
heating_training,E81,-4.973799150320701e-14,6.407109429046953e-16,77.62937726288445,21.470574006714255,20.399937444599463,6.661338147750939e-16,-5.329070518200751e-15,3.5907184909343695e-16
cooling_training,C69,3.552713678800501e-15,3.552713678800501e-15,0.0,13.747752573659927,25.05692777350246,6.661338147750939e-16,-2.4868995751603507e-14,1.5104062373223678e-15
cooling_training,C80,-1.4210854715202004e-14,1.4210854715202004e-14,0.0,5.167611672947587,13.394386168144976,6.661338147750939e-16,-1.7763568394002505e-15,1.718775831243419e-16
cooling_validation,C81,-8.881784197001252e-15,8.881784197001252e-15,0.0,3.4166145003472597,11.105665094615956,6.661338147750939e-16,5.329070518200751e-15,5.803224625793928e-16
