phase,simulation_id,sensor,rmse_K,steady_error_K,t90_error_s
heating_training,E67,T8,176.74811018026514,-142.32726689957906,300.0
heating_training,E67,T12,168.21759609284268,-154.72480948686473,150.0
heating_training,E67,T11,39.27528770298172,-51.3943618092037,-500.0
heating_training,E67,T9,198.5294692140804,-205.59291243670236,-150.0
heating_training,E67,T10,60.39207979604752,-48.37634901454078,-1100.0
heating_training,E67,T3,87.09189215131316,-99.13045209031736,-1550.0
heating_training,E67,T2,6.936558164792564,0.1438132721879697,-650.0
heating_validation,E68,T8,135.67880462671107,-108.60334658588658,350.0
heating_validation,E68,T12,112.46535287293564,-105.13097956483512,100.0
heating_validation,E68,T11,60.21163348033227,23.83908817475003,-950.0
heating_validation,E68,T9,159.2118274150605,-168.04043214362525,-250.0
heating_validation,E68,T10,88.76141408193527,13.083979158146008,-1550.0
heating_validation,E68,T3,85.29386074132954,-52.89554456138717,-2000.0
heating_validation,E68,T2,8.691397123189406,-3.697173005546972,-1400.0
heating_training,E69,T8,91.40633605318688,-50.658057145774706,350.0
heating_training,E69,T12,57.014745361171975,-33.39058925969903,50.0
heating_training,E69,T11,123.58319122260593,109.09332306559065,-950.0
heating_training,E69,T9,103.05147132175514,-110.65524661076267,-250.0
heating_training,E69,T10,125.75163306145694,84.74463458381967,-1450.0
heating_training,E69,T3,74.25386173993223,-6.06224114566885,-2000.0
heating_training,E69,T2,10.118654344590807,-3.1100581002359604,-1550.0
heating_validation,E70,T8,96.76926859763255,-53.44919074256222,400.0
heating_validation,E70,T12,25.883517591522562,1.7365791453114525,-100.0
heating_validation,E70,T11,195.9840191131829,170.19865304604923,-1400.0
heating_validation,E70,T9,80.62172018347583,-87.59557537041121,-300.0
heating_validation,E70,T10,188.72834434095375,134.02174495918962,-1950.0
heating_validation,E70,T3,117.9712034480718,21.71021248794773,-2450.0
heating_validation,E70,T2,11.455846299196562,-4.5962233489740925,-2050.0
heating_training,E71,T8,59.19410946055657,43.43890529100213,350.0
heating_training,E71,T12,135.68878995476493,140.4199115905385,-300.0
heating_training,E71,T11,340.4412154963062,323.23740477360263,-1750.0
heating_training,E71,T9,53.339718821981116,27.789683071617674,-500.0
heating_training,E71,T10,310.0116728784006,266.3759083357385,-2200.0
heating_training,E71,T3,176.1335483648594,98.54788775575128,-2750.0
heating_training,E71,T2,17.11503789505174,3.5992163039470597,-2150.0
heating_training,E72,T8,121.95765133776591,-122.58885976005331,150.0
heating_training,E72,T12,144.69448451893777,-143.79778469653866,150.0
heating_training,E72,T11,66.54052974339919,-81.11455636366168,-350.0
heating_training,E72,T9,150.1129886563655,-166.21708941805844,-200.0
heating_training,E72,T10,48.69418651967359,-64.3256510542775,-1000.0
heating_training,E72,T3,73.41339558480907,-101.80731864797895,-1300.0
heating_training,E72,T2,5.876193085309576,4.671596280427593,-400.0
heating_validation,E73,T8,99.01269617517944,-85.60526766241128,200.0
heating_validation,E73,T12,114.19410135948822,-111.87726610374307,50.0
heating_validation,E73,T11,23.38322309227034,-22.67997580127087,-750.0
heating_validation,E73,T9,137.9775458939144,-151.90028280041452,-250.0
heating_validation,E73,T10,49.660766337800624,-22.547292073127892,-1300.0
heating_validation,E73,T3,61.90871819307395,-70.73590463111111,-1750.0
heating_validation,E73,T2,4.361028705954338,-1.2597061628131314,-1050.0
heating_training,E74,T8,46.14158405844815,-3.092052942611872,300.0
heating_training,E74,T12,22.800533510904295,-2.851976398672832,-50.0
heating_training,E74,T11,142.95846014057318,121.15391782139545,-1250.0
heating_training,E74,T9,62.822836870072265,-68.61634909640838,-450.0
heating_training,E74,T10,143.88454424413814,96.60143088466452,-1700.0
heating_training,E74,T3,95.01359417849342,12.465778800764042,-2300.0
heating_training,E74,T2,10.463695059896603,1.8620038463536162,-1650.0
heating_validation,E75,T8,70.75037326568295,77.77983006976854,300.0
heating_validation,E75,T12,107.90582972021653,110.369005259971,-300.0
heating_validation,E75,T11,264.8974866073069,250.4327530817178,-1550.0
heating_validation,E75,T9,44.334961955479166,22.746474571409976,-600.0
heating_validation,E75,T10,244.6450383825376,207.37637145019926,-2000.0
heating_validation,E75,T3,147.4310872708336,81.32223998269694,-2550.0
heating_validation,E75,T2,15.599059300109468,8.460308104800504,-1800.0
heating_training,E76,T8,199.93588382479436,223.1858824472631,300.0
heating_training,E76,T12,303.8204243524006,317.1868850865412,-550.0
heating_training,E76,T11,459.66312694048315,465.4596416704999,-1850.0
heating_training,E76,T9,200.95875972623023,193.15922524921928,-800.0
heating_training,E76,T10,408.01807284477195,390.65656995182985,-2250.0
heating_training,E76,T3,221.37998804893127,173.3236855430498,-2950.0
heating_training,E76,T2,26.863091694916506,23.11300873951012,-2150.0
heating_training,E77,T8,18.09591238289828,-15.525522574945853,-200.0
heating_training,E77,T12,54.60024102562951,-57.697520652593994,-200.0
heating_training,E77,T11,14.400506611312503,-15.372530001879795,-650.0
heating_training,E77,T9,58.69230248044516,-72.87841547970629,-550.0
heating_training,E77,T10,28.850757963093397,-8.612659132556473,-1100.0
heating_training,E77,T3,31.23463689697152,-41.96391909526426,-1350.0
heating_training,E77,T2,5.604461415741113,1.401272423363821,-541.0
heating_validation,E78,T8,20.796587233241834,18.579521972399448,-150.0
heating_validation,E78,T12,22.753456403397884,-27.74487226738836,-400.0
heating_validation,E78,T11,50.24492213533687,29.828678499715124,-1300.0
heating_validation,E78,T9,42.26559445820885,-54.89892457060489,-750.0
heating_validation,E78,T10,61.952300049592054,25.807788086729033,-1750.0
heating_validation,E78,T3,43.01172201808895,-19.103718529163984,-2100.0
heating_validation,E78,T2,6.912696795632266,3.6948238243836613,-1350.0
heating_training,E79,T8,46.776696115265665,50.26651539592456,-100.0
heating_training,E79,T12,20.038439707684034,10.819171968566593,-400.0
heating_training,E79,T11,94.72038837519378,78.7402649010287,-1250.0
heating_training,E79,T9,24.374216007499864,-26.965216128092038,-750.0
heating_training,E79,T10,97.69865230117472,66.44081151875776,-1700.0
heating_training,E79,T3,60.134666207406,8.916859788706688,-2100.0
heating_training,E79,T2,6.797288394136897,5.49554906077725,-1300.0
heating_validation,E80,T8,82.59980030266055,90.3439798294479,-100.0
heating_validation,E80,T12,62.616304801289616,59.17485209217398,-500.0
heating_validation,E80,T11,145.1628855905855,132.85325688087676,-1500.0
heating_validation,E80,T9,34.17631167478453,10.883209288245325,-850.0
heating_validation,E80,T10,139.3370862984157,111.92423105043974,-1900.0
heating_validation,E80,T3,84.17680640099098,38.206379383076865,-2300.0
heating_validation,E80,T2,10.915145814814364,8.515477199499571,-1550.0
heating_training,E81,T8,165.6650996713545,184.6086612018977,-50.0
heating_training,E81,T12,168.15706252945913,177.71400151972364,-600.0
heating_training,E81,T11,250.9145968998208,254.34979917063424,-1550.0
heating_training,E81,T9,114.5788984363174,106.97098882551097,-850.0
heating_training,E81,T10,228.20621527134014,215.52895091667335,-1900.0
heating_training,E81,T3,131.95354512839464,98.69425223232872,-2400.0
heating_training,E81,T2,13.982941315587611,13.896261745920981,-1550.0
cooling_training,C69,T8,96.10418837410957,40.42999473461498,100.0
cooling_training,C69,T12,49.90896875508002,40.92345347700336,-150.0
cooling_training,C69,T11,30.759619261591794,54.80190702462551,-500.0
cooling_training,C69,T9,52.92264798285488,23.53127056358676,-450.0
cooling_training,C69,T10,56.936527994541834,28.13203923407434,-850.0
cooling_training,C69,T3,92.87840294393268,14.90583289847541,-1000.0
cooling_training,C69,T2,18.53681752746151,-8.174687831620588,-200.0
cooling_training,C80,T8,47.34470451828407,37.28166813492203,-150.0
cooling_training,C80,T12,24.49240078703415,36.94837603112893,-550.0
cooling_training,C80,T11,24.757066102570068,44.30232286801788,-750.0
cooling_training,C80,T9,32.3091512870864,27.19430018093476,-750.0
cooling_training,C80,T10,28.196320049998103,31.58328450448215,-950.0
cooling_training,C80,T3,48.340422645267196,17.187423431322486,-1350.0
cooling_training,C80,T2,11.081547722324357,-1.9717940205554214,-500.0
cooling_validation,C81,T8,57.56797769956852,49.29636522452313,100.0
cooling_validation,C81,T12,39.078412207327396,51.8257871193519,-550.0
cooling_validation,C81,T11,41.4160161306166,59.04778360621185,-450.0
cooling_validation,C81,T9,35.201426341919216,41.02466305471643,-750.0
cooling_validation,C81,T10,32.18402233663621,47.18405856234642,-700.0
cooling_validation,C81,T3,39.20403383937836,30.87230979398805,-1400.0
cooling_validation,C81,T2,9.023560163010783,3.0689794701972346,-1500.0
