capacity_areal_J_m2_K,stem_conductance_areal_W_m2_K,objective,T3_rmse_K,final_bias_K,t90_mae_s,max_abs_final_bias_K
200.0,0.0,2.473731591978895,74.26497217722564,8.569658574458714,1225.0,12.466150354164881
200.0,20.0,3.079980194401302,88.34217472122367,-1.092103974250648,1350.0,6.6663381629920195
200.0,60.0,4.141445145297389,107.93684638661585,-13.171715748811351,1550.0,21.39973273348835
200.0,120.0,5.186118874503008,125.53621823958355,-23.07232200033735,1675.0,33.92051023649725
200.0,200.0,5.995463178234511,138.94626001578592,-30.129638734318945,1825.0,43.081117777966654
600.0,0.0,2.4737179490318715,74.26447082603613,8.569948536769544,1225.0,12.466579532233766
600.0,20.0,3.0799769572698468,88.34208418401884,-1.092032812022552,1350.0,6.666299184411287
600.0,60.0,4.1414449599656225,107.93684335198826,-13.171710365329005,1550.0,21.399729691378695
600.0,120.0,5.1861188705767765,125.53621821856935,-23.07232185283374,1675.0,33.92051015575703
600.0,200.0,5.9954631781959975,138.94626001573332,-30.129638732859405,1825.0,43.081117777229224
1200.0,0.0,2.4722361407023565,74.2216585870646,8.577705659027856,1225.0,12.475271219934939
1200.0,20.0,3.0792645267795526,88.32363873557792,-1.0888517411337375,1350.0,6.663413366006409
1200.0,60.0,4.141302384738399,107.93336120452639,-13.171097771015894,1550.0,21.399154461929754
1200.0,120.0,5.186106818737838,125.5359310859904,-23.07225501413734,1675.0,33.920446371437606
1200.0,200.0,5.9954626914287426,138.94624970051254,-30.129633981195752,1825.0,43.0811132946655
2400.0,0.0,2.4537906025935223,73.7171915948656,8.630918801378812,1225.0,12.523169894553916
2400.0,20.0,3.0660991776994933,87.99003357451778,-1.0587778203488085,1350.0,6.629385408251778
2400.0,60.0,4.135339678023729,107.78371175826703,-13.160477077237971,1550.0,21.386770616470187
2400.0,120.0,5.1844029344569975,125.49119110803687,-23.069657807981258,1675.0,33.91736292584068
2400.0,200.0,5.995145445503184,138.93749620555985,-30.12915704424674,1825.0,43.08054440479981
3000.0,0.0,2.4379748116469164,73.29104943343489,8.66855691031978,1225.0,12.554682097973625
3000.0,20.0,3.0532882498247265,87.6684829455745,-1.0351080326423983,1350.0,6.601005754519406
3000.0,60.0,4.127773002687261,107.59452645523683,-13.150076008374725,1550.0,21.373892703499337
3000.0,120.0,5.181227282511623,125.40752770089708,-23.066189559538316,1675.0,33.912990245980154
3000.0,200.0,5.994204188228702,138.91123215392372,-30.12825076878181,1825.0,43.07939657712171
