stage,power_group,power_scale,objective,side_rmse_K,air_rmse_K,felt_rmse_K,side_final_bias_K,air_final_bias_K,felt_final_bias_K
training,456,1.05,4.74798279073138,150.91096919250506,111.36465066957093,11.256961512028008,17.900656506163056,-1.3702808457655304,1.213901553229152
training,456,1.1225,5.150111532690333,158.8279982310663,123.67447934312959,12.906499416814647,61.333705267901074,23.330016015607573,4.644963826758473
training,456,1.195,6.030127468916235,173.22847108444333,138.42917080440094,14.874493387380397,103.92231946358964,47.23041255545804,8.104758918310653
training,456,1.2675,7.136610899414086,192.56493454934085,154.89273188082882,17.101641861994597,145.65787061317658,70.34278260567483,11.658916921211313
training,456,1.34,8.353386819210613,216.79948806951515,172.42943777861248,19.523725294410514,186.61048257293578,92.72507237151346,15.24580377469392
holdout,456,1.05,2.9272553465840327,117.14472163395132,100.05560685011076,10.12157110539162,-12.23693246610421,-14.736707161993543,-2.8743110232770377
training,304,1.23,6.9742979980010915,182.10628464061207,129.47797956729673,14.48127794345262,84.76810619121683,28.704496279882076,10.660557578838356
training,304,1.3175,7.794992248158749,198.0309137025578,139.41721689703178,16.672378296663165,123.22385067181415,49.950857696508024,13.645702288086795
training,304,1.405,8.769592838333617,216.36593924221083,150.39126096162767,18.918367604475836,160.80985428285626,70.49670617265161,16.63639098393328
training,304,1.4925,9.788336531951122,235.99601588086693,162.5424974791031,21.206994981422735,197.5859199388152,90.39077873643616,19.632463083599376
training,304,1.58,10.860136920150131,256.9731783741452,175.92519517181722,23.526573267910816,233.57958231338458,109.66711255394091,22.637373133335476
holdout,304,1.23,4.555193006128851,129.8594376141517,104.16099984583873,9.942371135770456,35.455014308864925,6.450552317844128,4.413988545033622
training,256,0.84,3.445319323986301,99.55708799401985,74.24082151217738,8.777481816441965,73.99468650969304,22.929563016345153,7.254889566482298
training,256,0.9075,4.3204304560168145,118.02140591101484,85.68376905692763,10.011456353808873,105.46992891339515,41.33874523017912,9.230577843030298
training,256,0.975,5.353341442777456,140.88635850018557,99.08605382030555,11.28333414595591,136.43494159079765,59.288090337424734,11.209948333185103
training,256,1.0425,6.510575517053606,166.76723784227593,113.60840643370966,12.592279013069195,166.86479157282983,76.76904018261425,13.196291037122327
training,256,1.11,7.779501581977477,193.58346263565616,128.57386819227693,13.929249826766005,196.8279755396019,93.83863425509786,15.182749214949775
holdout,256,0.84,1.9200014207044487,69.42503117324547,63.019186962155054,8.959498231869857,50.46938739690086,10.781562573592254,6.703861616787481
