stage,nu_prefactor,reynolds_exponent,objective,effectiveness_rmse,log_Nu_rmse,effectiveness_min,effectiveness_max
anchor,0.0002,1.3,20.385832972143007,0.37302859621549433,1.3070917614988211,0.3008294269406457,0.3352820465066031
anchor,0.0002,1.445,13.319229659651057,0.25877565756096205,0.8780975510508021,0.39295060791051756,0.4706769728646469
anchor,0.0002,1.54,8.350225975786701,0.1708345083895054,0.5961333568222245,0.46007926645172803,0.5785037374415161
anchor,0.0002,1.58,6.193711071082315,0.1312143502205477,0.4787238462676455,0.48988410234617363,0.6280068946982684
anchor,0.0002,1.65,2.4962851038938783,0.061150353028519656,0.28630710934887776,0.5440784360789156,0.7187537508214442
anchor,0.00025,1.3,17.689909149131136,0.33189499553355933,1.1404217863786148,0.3436110435419726,0.37646255216689306
anchor,0.00025,1.445,10.363803405496625,0.2079597461534615,0.7073396445807141,0.44249796942571623,0.5237701602618352
anchor,0.00025,1.54,5.258620299874402,0.11415431021178647,0.4235025429777246,0.5138958696403265,0.638773779376678
anchor,0.00025,1.58,3.115237737619573,0.07291832253286744,0.30842434483867404,0.5453738060645135,0.6905134189150737
anchor,0.00025,1.65,0.9136507646518753,0.021856231625741067,0.1697270891493798,0.6021631767080883,0.7831289612551516
anchor,0.00031,1.3,14.987464574080148,0.2887942109365906,0.9779456209345766,0.3882745134567911,0.4198470708440555
anchor,0.00031,1.445,7.417381499957937,0.1555526225681607,0.5401364748511838,0.4936227534426527,0.5786825819479922
anchor,0.00031,1.54,2.3295126814931364,0.05745265004828001,0.25762241194912416,0.5688375782184084,0.6994147901098512
anchor,0.00031,1.58,0.7970250336877523,0.0200181615698615,0.163228595083208,0.6016871448325589,0.7523677424490685
anchor,0.00031,1.65,2.2223391423709917,0.06763619786204307,0.22014643203586282,0.6602777050655435,0.8445631460139692
anchor,0.00038,1.3,12.334557197128651,0.2448565478443051,0.8224571074447745,0.43365658202045576,0.4644017489052136
anchor,0.00038,1.445,4.577007235315926,0.10351169857202325,0.3793558065194878,0.5449072820337602,0.6336615495160974
anchor,0.00038,1.54,0.549228059881546,0.01658318173146894,0.12608724601909854,0.623178973856608,0.7580930793344551
anchor,0.00038,1.58,1.3331138894282064,0.04810934299725263,0.15160682820967025,0.6569116475736756,0.811071375121263
anchor,0.00038,1.65,4.688909427649953,0.12218812987304958,0.38216448272595177,0.7161641385605634,0.900537300447544
anchor,0.00045,1.3,10.06135569522914,0.20615183756562125,0.691771581048084,0.47363413870174464,0.5040280821087918
anchor,0.00045,1.445,2.2907447251070336,0.060070577382426105,0.24416961274347967,0.5894158430527536,0.6810929041837542
anchor,0.00045,1.54,1.3181398472402572,0.052061999678925955,0.14172417743128904,0.6695072808028024,0.806858342596132
anchor,0.00045,1.58,3.1429059562064885,0.09412448826129095,0.2683217806315296,0.7035025579263005,0.858919169074821
anchor,0.00045,1.65,7.439240473493588,0.16684952853252247,0.5586988112211004,0.7622619192418892,0.9444572568214904
training_complete,0.00038,1.54,0.6491782140636708,0.03006986984127795,0.11161980008556771,0.6136035375374153,0.7580930793344551
training_complete,0.00031,1.58,0.8544316440092325,0.02822768473801928,0.1474703039738019,0.5909213125067204,0.7523677424490685
heating_holdout,0.00038,1.54,0.5818111931036403,0.028466612613590125,0.10291482979395677,0.6590371759760825,0.7248451563849918
