stage,candidate,objective,normalized_rmse,observed_peaks,recovered_peaks,false_peaks,inversion_rmse,rear_fall_rmse
anchor,beer_lambert,0.9572110568913529,0.052882854577034344,3,0,0,0.3701729268253699,0.1109621425968183
anchor,near_deep_f0.4_L30mm,0.7316673510604107,0.045256669385485976,3,0,0,0.3008508355702821,0.1168319844517492
anchor,near_deep_f0.4_L60mm,0.6180516005710893,0.04178815828706416,3,0,0,0.26266884315214195,0.1307326652453833
anchor,near_deep_f0.4_L120mm,0.5688909053572119,0.040379490363237985,3,0,0,0.24253269659483673,0.14539098275740403
anchor,near_deep_f0.4_L200mm,0.5546851291856653,0.03999111282957971,3,0,0,0.2350530863497286,0.1531064590906483
anchor,near_deep_f0.6_L30mm,0.6347355777692084,0.041991696893112856,3,0,0,0.2670215582913052,0.11971478289853688
anchor,near_deep_f0.6_L60mm,0.4983995170862645,0.03756844876107749,3,0,0,0.21158046359698462,0.14165289004016648
anchor,near_deep_f0.6_L120mm,0.46360806884098776,0.03619266587011626,3,0,0,0.18350703631313414,0.16572425099993982
anchor,near_deep_f0.6_L200mm,0.4649327439273805,0.036128900574475174,3,0,0,0.17349974005964966,0.17850952919924154
anchor,near_deep_f0.8_L30mm,0.5489793328407889,0.039029185678053205,3,0,0,0.23405277929453194,0.12255999881673259
anchor,near_deep_f0.8_L60mm,0.41955418498901925,0.03397087757679729,3,0,0,0.16505066340158964,0.15311851799861137
anchor,near_deep_f0.8_L120mm,0.4423877175359008,0.03405088771483464,3,0,0,0.13565963921782964,0.1875550413001346
anchor,near_deep_f0.8_L200mm,0.4856734074799762,0.035838782442784045,3,2,1,0.1275646647306301,0.2059207615282605
anchor,near_deep_f0.9_L30mm,0.5105616645855637,0.037643590804390635,3,0,0,0.21802517596231424,0.12397117738406269
anchor,near_deep_f0.9_L60mm,0.3989773927664648,0.03246702682933588,3,0,0,0.14513684595155724,0.15904443010254177
anchor,near_deep_f0.9_L120mm,0.4725410566956974,0.034870345639838464,3,3,2,0.12113193932470866,0.19898354702528
anchor,near_deep_f0.9_L200mm,0.5482316266604786,0.038466631326734176,3,3,2,0.11781398370902167,0.22032173137406577
training_complete,near_deep_f0.9_L120mm,0.4090139256823398,0.0325123165833613,6,5,2,0.10806585307212521,0.19475222169913475
training_complete,near_deep_f0.9_L200mm,0.4882804701322281,0.03635278867391435,6,5,2,0.1030992103463338,0.2167701261143186
heating_holdout,near_deep_f0.9_L120mm,0.3208100028244439,0.029153875759383,4,2,1,0.09082842140901247,0.1864863046773586
