simulation_id,phase,nonconverged_points,max_pressure_relative_error,max_gas_reference_relative_error,max_iterations
E67,heating,0,9.976246859814009e-6,5.416022416713608e-7,20
E68,heating,0,9.578412576824222e-6,5.584433777206071e-7,20
E69,heating,0,9.68830548208656e-6,5.37153713716266e-7,21
E70,heating,0,9.593695996014388e-6,5.448178275039854e-7,22
E71,heating,0,9.574097268598932e-6,5.43887347327984e-7,24
E72,heating,0,9.883135434897994e-6,4.0780035354372146e-7,19
E73,heating,0,9.83278332902693e-6,4.963092041317102e-7,20
E74,heating,0,9.984996806092014e-6,5.61443521686402e-7,22
E75,heating,0,9.821198449437155e-6,5.419523944064736e-7,23
E76,heating,112,2.2937159481101692e-5,1.1894640100437894e-6,24
E77,heating,0,9.657378974775145e-6,3.7879655473798976e-7,19
E78,heating,0,9.947225376927873e-6,4.5033058615956205e-7,20
E79,heating,0,9.921537338439869e-6,4.7653438951196623e-7,21
E80,heating,0,9.971344797343443e-6,4.807904353599323e-7,22
E81,heating,0,9.6389452132251e-6,4.4840852366405495e-7,24
C69,cooling,0,9.88374372952288e-6,4.811270879131101e-7,21
C80,cooling,0,9.932578049808794e-6,3.972256611362268e-7,21
C81,cooling,0,9.996458602261756e-6,3.6569064138518705e-7,22
