simulation_id,primary_history_rms_K,primary_history_max_abs_K,nominal_exchange_energy_relative_residual,refined_exchange_energy_relative_residual,nominal_flow_converged,refined_flow_converged
E67,10.505405559895392,18.35155722887555,8.914308876754892e-15,8.340751014156316e-16,true,true
E71,32.16662909056595,51.243720528003905,1.0197139460230392e-15,4.489846153815063e-16,true,true
E75,26.29619471716469,40.59256107020656,1.9691663869768226e-15,4.0578607946632026e-16,true,true
E80,16.393614438683624,24.36211033818745,6.037059285195123e-16,3.320676370335956e-15,true,true
C69,9.218459335317682,19.930813316298952,1.5104062373223678e-15,8.849294021823495e-16,true,true
C81,4.679346722365001,12.162228264984662,3.868796320350021e-16,0.0,true,true
