requested_points,actual_points,final_T3_K,T3_t90_s,T3_rmse_K
61,61,337.2194734898581,2550.0,38.45020467616052
121,119,337.19230979398804,2500.0,39.20403383937836
241,119,337.19230979398804,2500.0,39.20403383937836
