stage,felt_conductivity_scale,felt_heat_capacity_scale,objective,side_rmse_K,air_rmse_K,felt_rmse_K,side_final_bias_K,air_final_bias_K,felt_final_bias_K
screen,0.7,0.75,1.3057548817411089,46.694866225945816,75.2648859875061,14.712934848133905,36.90375138794457,7.936929801540901,-2.390668170190027
screen,0.7,1.0,1.406333165692496,47.73861853182832,74.25722551850136,17.656799982442767,38.73324403756894,9.156732909850895,4.975689125651719
screen,0.7,1.5,1.7526194966869497,49.54153740377384,72.87985455874505,23.429111637016604,42.07422619115355,11.403250750851964,17.524920566636553
screen,1.0,0.75,1.3440044917193155,46.2737353258004,75.3068192506016,13.853292991656527,36.453074542245574,7.530715211327246,-8.348966628251619
screen,1.0,1.0,1.3100974477830638,47.48694469663687,73.97950924312143,14.427410593339964,38.17612549750971,8.668556910319817,-3.4997556431558485
screen,1.0,1.5,1.4721855402043043,49.73328309265793,72.07774661292842,18.591422754395218,41.73502529561512,11.04908488086898,6.853910799509331
screen,1.3,0.75,1.3962339401558077,45.769322215268645,75.61533703111476,14.637206955714685,36.15780832467833,7.232600501100627,-10.82372222465949
screen,1.3,1.0,1.3379292000432823,47.05970142281292,74.04890191983372,13.844701046211217,37.66316158852476,8.219405538353278,-7.749715291672553
screen,1.3,1.5,1.3471498193717015,49.58270832971445,71.71312290039232,15.710804964204478,41.114465810718386,10.514045915607891,0.10123282690595913
nominal_rerank,0.7,0.75,1.3422959591504366,49.493064552736385,70.95031344584244,14.62668753648199,41.269999505957344,12.13171589484324,-4.998765416715678
nominal_rerank,1.0,1.0,1.37077141751376,51.27194956264975,68.9315978215907,14.482627035861569,43.50661628491374,13.623833123600047,-5.8371065213716635
nominal_rerank,1.3,1.0,1.4145024648471125,50.862648740078136,68.95025735085792,14.419098701792455,43.40758574634047,13.580000154990978,-9.284125550855517
