simulation_id,flow_lpm,irradiance,power_scale,delivered_power_W,core_solar_W,perim_solar_W,suction_gas_heat_W,core_gas_heat_W,rear_tube_gas_heat_W,gas_heat_W,front_rad_loss_W,cavity_amb_loss_W,flange_loss_W,dE_stored_dt_W,instantaneous_residual_W,steady_flux_gap_W,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T9_minus_T10_model,T9_minus_T10_experiment,macro_htc
E67,15.2805125,456000.0,1.34,221.83807200000004,167.32570083777287,54.512371162227154,2.200364416429555,126.96240535330773,-24.27718899849317,104.88558077124411,12.420702326284532,6.582348051394527,70.45021699795761,27.499223853119254,2.842170943040401e-14,27.499223853119275,905.3102411443684,931.6279999999999,847.0809704584395,991.103,764.572274931883,878.055,854.2410535948572,966.6659999999999,762.9473156036685,824.995,352.30918391814146,763.414,320.97950876452296,326.43699999999995,-58.229270685928896,59.47500000000002,91.29373799118878,141.67099999999994,23.11038615771788
E68,12.499871559633025,456000.0,1.34,221.83807200000004,167.32570083777287,54.512371162227154,2.506307469513047,114.1423687133203,-25.25257639311506,91.39609978971828,18.0369393877535,9.84551161696695,74.79180931176195,27.76771189379932,5.684341886080802e-14,27.767711893799373,994.8952370885117,1012.649,920.1755963415546,1047.717,818.6619112287137,898.751,927.998161236575,1020.928,815.3800891009323,850.0989999999999,358.3905847301804,773.207,334.1601030325729,338.52,-74.71964074695711,35.0680000000001,112.6180721356427,170.82900000000006,18.11475217111492
E69,10.499733944954128,456000.0,1.34,221.83807200000004,167.32570083777287,54.512371162227154,2.7794715481928916,103.69815776349353,-25.690379255029182,80.78725005665723,24.114715312593464,17.959496349483693,78.01494127168608,20.961669009579563,2.842170943040401e-14,20.961669009579595,1070.188608082521,1058.429,979.3087762265661,1070.73,861.5810569279208,896.755,987.3582095725596,1044.378,856.6569322384346,852.837,363.6859737751657,769.76,357.68005476663933,344.308,-90.87983185595476,12.30099999999993,130.70127733412505,191.54099999999994,14.746991953959757
E70,9.107139705882352,456000.0,1.34,221.83807200000004,167.32570083777287,54.512371162227154,2.9776785664368863,92.9064637154787,-25.39368440597855,70.49045787593704,29.780275604408438,14.436023752628401,79.00648528834152,28.124829478684628,0.0,28.12482947868463,1127.68319857615,1152.474,1020.4260473241407,1120.277,888.0921641169789,912.173,1028.6053033040512,1093.725,881.7926704715775,871.483,366.35547124496,779.518,348.92098878168537,352.421,-107.25715125200941,-32.19699999999989,146.8126328324737,222.24199999999996,12.231665455746509
E71,7.126846153846151,456000.0,1.34,221.83807200000004,167.32570083777287,54.512371162227154,3.294032289468169,76.43385919095267,-24.47123713075131,55.25665434966953,40.56035456223014,16.34191950009218,80.3803444911628,29.298799096845357,2.842170943040401e-14,29.298799096845386,1216.7798348441686,1203.298,1081.759878776459,1120.348,926.9712455446349,882.823,1089.6381549729222,1095.306,918.297546918372,847.476,370.3945426318369,753.56,355.95540603721355,356.00399999999996,-135.0199560677097,-82.95000000000005,171.34060805455022,247.83000000000004,8.976442410400242
E72,18.707575757575754,304000.0,1.58,174.38017600000003,131.529655384916,42.85052061508404,1.5457935081736205,106.1302034771132,-17.076300540154342,90.59969644513248,4.966449387263012,3.5563285750689637,53.96774799791217,21.289953594623412,2.842170943040401e-14,21.289953594623427,720.9317370761686,737.656,681.3895292709884,797.899,624.3536715599713,733.977,686.5820602630118,771.112,623.8187429598354,684.1869999999999,332.07618648968275,652.9549999999999,310.10663501928104,309.928,-39.54220780518017,60.24300000000005,62.76331730317645,86.92500000000007,26.966668099441762
E73,13.170870967741934,304000.0,1.58,174.38017600000003,131.529655384916,42.85052061508404,1.9655485236267378,91.77881045465442,-18.55684569861128,75.18751327966987,9.189353574714195,8.874860523982072,61.27870881090578,19.849739810728103,2.842170943040401e-14,19.849739810728124,841.1429044974049,837.694,781.6753849509746,894.482,698.3796946067434,791.76,788.0447095126448,867.5509999999999,695.8137739492109,747.4,337.3723021088741,694.626,329.43286441731334,325.12,-59.46751954643025,56.78800000000001,92.23093556343383,120.15099999999995,18.283361436751964
E74,9.023245901639344,304000.0,1.58,174.38017600000003,131.529655384916,42.85052061508404,2.468296809342444,72.35579995665253,-18.830574973779772,55.993521792215205,17.123519311235636,10.674981401268695,66.35186109683274,24.236292398447787,-2.842170943040401e-14,24.236292398447773,981.4977282037747,948.538,886.8752163787848,962.509,768.9454671657178,804.0,893.8764937271005,935.491,763.2781087738161,767.8009999999999,341.95144444549305,697.672,335.050942887322,333.964,-94.62251182498994,13.971000000000004,130.59838495328438,167.69000000000005,11.362664207755168
E75,6.944410852713178,304000.0,1.58,174.38017600000003,131.529655384916,42.85052061508404,2.787424606708441,59.062929727981505,-18.21349886792524,43.63685546676471,24.314524207720115,12.35851280270875,68.22446143883218,25.845822083974276,2.842170943040401e-14,25.845822083974298,1069.3285614874635,1008.725,946.6977947394494,979.689,805.8882145989206,788.678,953.4780038808055,954.178,797.9356347786709,757.393,343.8748860460378,681.066,340.61778693001315,336.517,-122.63076674801414,-29.036000000000058,155.54236910213467,196.78499999999997,8.133797529913522
E76,4.526673611111114,304000.0,1.58,174.38017600000003,131.529655384916,42.85052061508404,3.206120032775255,39.923297655855066,-16.092162028883056,27.037255659747263,36.84728461439962,15.277617709006538,68.82602608327643,26.391991933570168,2.842170943040401e-14,26.391991933570182,1181.418565498031,1067.693,1014.6540674624365,970.472,842.6674790340796,751.1579999999999,1020.2465318389774,947.353,831.3841004596947,726.308,344.04851572126944,647.019,349.50279184569115,338.123,-166.76449803559456,-97.221,188.86243137928273,221.04499999999996,4.709162505595446
E77,13.84748387096774,256000.0,1.11,103.16428800000001,77.81368020106956,25.350607798930458,1.1609806453060374,53.61778021027008,-9.664203600563548,45.11455725501257,2.557520459675648,4.983782388633139,38.47490781867937,12.033520077999288,0.0,12.033520077999285,616.8361940773294,565.544,579.4178683236712,623.3499999999999,525.497041495137,574.299,583.3778528552575,602.429,523.8692352129046,543.727,315.0010913040681,525.356,315.996742425961,308.37,-37.41832575365822,57.805999999999926,59.508617642352874,58.702,17.14449683941449
E78,10.009137614678897,256000.0,1.11,103.16428800000001,77.81368020106956,25.350607798930458,1.4537785548033573,44.32870352594556,-9.9193026645659,35.86317941618302,4.319723519255566,4.870039680157923,42.54160963854275,15.569735745860742,0.0,15.56973574586074,699.6289005442019,631.689,641.8370361740004,685.819,566.0201594430661,612.092,646.4067017641322,663.635,562.6808944125147,583.704,315.9204140128846,554.4549999999999,316.5186787444946,312.95899999999995,-57.79186437020144,54.129999999999995,83.7258073516175,79.93100000000004,11.334632519964556
E79,8.033490566037736,256000.0,1.11,103.16428800000001,77.81368020106956,25.350607798930458,1.6627795309704865,38.333044441447534,-9.831937190362124,30.163886782055897,5.96053810701464,6.7940579552577915,44.66918649572774,15.57661865994395,0.0,15.576618659943946,755.8104093870227,676.213,681.0809182000629,716.108,589.8058526334867,622.325,685.7522092978791,694.063,585.1168884595235,595.766,316.16015933559714,560.0329999999999,322.0451692196331,314.96,-74.72949118695976,39.89499999999998,100.6353208383556,98.29700000000003,8.57018461961055
E80,6.605050847457628,256000.0,1.11,103.16428800000001,77.81368020106956,25.350607798930458,1.8398069949578684,32.82098739065573,-9.563578577323755,25.097215808289846,7.712195673889478,6.789000967717804,45.919984439297934,17.645891110804953,0.0,17.645891110804953,803.7591383929791,710.3340000000001,712.1935462375673,735.351,607.3494525780827,626.4849999999999,716.7589012536173,713.233,601.446542575528,601.77,316.04203157633333,561.2539999999999,321.9081401118555,316.11899999999997,-91.56559215541188,25.01699999999994,115.31235867808925,111.46299999999997,6.620069202372654
E81,4.527140495867768,256000.0,1.11,103.16428800000001,77.81368020106956,25.350607798930458,2.1449343028780317,23.371022405700394,-8.776501734763686,16.739454973814738,11.660112509320722,8.529727762814685,47.62115740116846,18.61383535288141,0.0,18.61383535288141,886.5870615318917,760.0609999999999,762.6832471393419,749.902,634.5342265386098,618.9749999999999,766.5876266497321,728.5039999999999,626.4247872406731,597.766,315.43841910771005,550.499,329.0040480414232,319.315,-123.90381439254975,-10.158999999999878,140.16283940905896,130.73799999999994,4.0304044443513085
