simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
E80,1.6949999999999998,0.9375,1168.1975701484491,296.5685,309.5416951064904
E80,1.6949999999999998,2.8125,1156.8767134166055,1075.5803257541124,261.87264730284414
E80,1.6949999999999998,4.6875,1139.100362875194,1143.715889618519,223.1169025453987
E80,1.6949999999999998,6.5625,1117.3974792005836,1140.0820711755784,198.43944463406197
E80,1.6949999999999998,8.4375,1093.8884466894756,1123.114493576543,180.99989410414
E80,1.6949999999999998,10.312499999999998,1070.0066697730626,1102.1833852011353,167.72066553446237
E80,1.6949999999999998,12.1875,1046.6530385091608,1079.9990016803615,157.10624600809487
E80,1.6949999999999998,14.062499999999998,1024.349421781932,1057.7778513093283,152.45683578815536
E80,1.6949999999999998,17.772727272727273,982.9417205575274,1035.8438824228124,149.26948746593604
E80,1.6949999999999998,23.31818181818182,932.4726405967552,985.322742384519,144.07835214493568
E80,1.6949999999999998,28.863636363636363,890.7974219886106,935.0818869428776,139.22975786264433
E80,1.6949999999999998,34.40909090909091,855.0284004021071,893.1828964971407,135.03464064632263
E80,1.6949999999999998,39.95454545454545,823.0304017562474,857.2460477893878,131.2871731922262
E80,1.6949999999999998,45.5,793.4477840123984,825.1599861004943,127.81891943837549
E80,1.6949999999999998,51.04545454545455,765.4857123804329,795.5515676962118,124.52127155976753
E80,1.6949999999999998,56.59090909090909,738.7046927658448,767.6058815826117,121.33040788630507
E80,1.6949999999999998,62.13636363636364,712.8765267864184,740.8676524060409,118.2116864218161
E80,1.6949999999999998,67.68181818181819,687.8933568957441,715.0976496731381,115.14830147736735
E80,1.6949999999999998,73.22727272727273,663.7130731847359,690.1806578270039,112.13391146542227
E80,1.6949999999999998,78.77272727272727,640.327511985605,666.0697213562748,109.1680913138351
E80,1.6949999999999998,84.31818181818181,617.7443314121793,642.7534526814475,106.25360452784244
E80,1.6949999999999998,89.86363636363637,595.9768964946724,620.2373036895601,103.39479251005831
E80,1.6949999999999998,95.40909090909092,575.0387888827073,598.5330659579193,100.59663253934002
E80,1.6949999999999998,100.95454545454547,554.9409685422668,577.6531443126632,97.8641910956832
E80,1.6949999999999998,106.50000000000001,535.6904592654049,557.607577158222,95.20231104368231
