simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s
E67,heating,T8,207.09095854504363,-187.60881338214438,150.0
E67,heating,T9_pair,254.33911939292656,-252.11498125507762,250.0
E67,heating,T10_pair,103.44767320075437,-131.72968326078308,-500.0
E67,heating,T3,54.73175323047546,-40.34183665205592,-1100.0
E68,heating,T8,199.82682370358071,-187.14346360650075,300.0
E68,heating,T9_pair,236.65171129343796,-236.81011560733975,300.0
E68,heating,T10_pair,62.75190477268098,-87.87183436298903,-800.0
E68,heating,T3,85.39136065766961,15.954436205213483,-1500.0
E69,heating,T8,173.38752074373696,-163.1127754807926,300.0
E69,heating,T9_pair,203.22267373317905,-201.22110543051838,350.0
E69,heating,T10_pair,25.656607607727896,-34.597233674411655,-650.0
E69,heating,T3,107.91836107663164,69.07002175137563,-1400.0
E70,heating,T8,207.23533328878125,-189.02353396090723,500.0
E70,heating,T9_pair,196.8340405800777,-195.192735788949,300.0
E70,heating,T10_pair,37.221036550980145,-2.7285804918360554,-1050.0
E70,heating,T3,154.70950432793384,100.62679822271912,-1850.0
E71,heating,T8,148.93242100036912,-124.86862955333663,600.0
E71,heating,T9_pair,108.81074253246184,-103.53977394835852,200.0
E71,heating,T10_pair,126.09823421843383,103.61994911806266,-1250.0
E71,heating,T3,223.5143702696034,179.8515180828432,-2050.0
E72,heating,T8,165.3307379180906,-179.06780723484746,-100.0
E72,heating,T9_pair,216.14664105875414,-231.5424313255445,50.0
E72,heating,T10_pair,130.63401680636878,-159.6497455611966,-550.0
E72,heating,T3,68.73769193295469,-102.07563302791198,-950.0
E73,heating,T8,191.88887850586042,-193.10164860758255,150.0
E73,heating,T9_pair,240.0073823555074,-250.4987471502768,200.0
E73,heating,T10_pair,115.52127120692134,-145.0592997709099,-700.0
E73,heating,T3,45.39812753874921,-67.6270889418305,-1300.0
E74,heating,T8,188.3603571417628,-176.73290410421976,500.0
E74,heating,T9_pair,206.69833327642206,-209.8723015669823,300.0
E74,heating,T10_pair,40.854106439342736,-61.68019048239944,-900.0
E74,heating,T3,74.13937743778918,19.04285987203582,-1650.0
E75,heating,T8,148.82588888445113,-130.97857375531225,650.0
E75,heating,T9_pair,141.39530579430544,-140.2407842731335,250.0
E75,heating,T10_pair,50.74158887428754,28.428780530431595,-1050.0
E75,heating,T3,127.91268791700946,86.89746668230987,-1800.0
E76,heating,T8,65.53979573217912,-26.008362217851072,750.0
E76,heating,T9_pair,38.53916720181099,7.249895924864177,250.0
E76,heating,T10_pair,185.2181140502146,186.39675407235336,-1100.0
E76,heating,T3,179.97265970592682,156.09444414319387,-1900.0
E77,heating,T8,47.21772984558813,-55.04321997120309,-250.0
E77,heating,T9_pair,96.22734644728035,-107.98671292593167,-150.0
E77,heating,T10_pair,41.4702527050472,-57.183587997581014,-500.0
E77,heating,T3,16.9985444054038,-21.970580439935134,-900.0
E78,heating,T8,47.55035695723418,-50.876544307809354,50.0
E78,heating,T9_pair,95.51524811092357,-106.8432282929275,-100.0
E78,heating,T10_pair,21.511335109544948,-36.08863431072905,-1050.0
E78,heating,T3,40.82624846674634,7.362557689681239,-1550.0
E79,heating,T8,39.26364215306717,-37.90937823464003,200.0
E79,heating,T9_pair,81.16624823355292,-87.47085074279335,50.0
E79,heating,T10_pair,16.568053685651282,-1.7178848155111837,-850.0
E79,heating,T3,66.11586292808146,38.906232744746944,-1450.0
E80,heating,T8,20.917430740467314,-10.190399392895756,400.0
E80,heating,T9_pair,54.5085647662297,-54.25542195735602,50.0
E80,heating,T10_pair,50.00075744106056,40.28641039899037,-900.0
E80,heating,T3,90.84521897834688,67.30708740382931,-1550.0
E81,heating,T8,53.26902539754587,71.26222418306622,650.0
E81,heating,T9_pair,36.84456091970532,44.09581438102009,300.0
E81,heating,T10_pair,134.1151565799197,148.2274193156286,-600.0
E81,heating,T3,122.1966948987034,111.60650703957117,-1400.0
C69,cooling,T8,25.882737153737537,-13.559558052315197,250.0
C69,cooling,T9_pair,40.64282764487993,-30.609931296848174,50.0
C69,cooling,T10_pair,62.47306404008979,-49.43753207483712,-250.0
C69,cooling,T3,73.07723148725181,-59.68558128960211,-400.0
C80,cooling,T8,16.311740528529434,-8.392269135882998,150.0
C80,cooling,T9_pair,20.528626466528223,-15.786583035533567,-200.0
C80,cooling,T10_pair,33.78475296300017,-22.864665768374948,-500.0
C80,cooling,T3,39.67504577446842,-26.190673351806083,-700.0
C81,cooling,T8,22.358155483681276,-5.85326352286819,400.0
C81,cooling,T9_pair,18.08714138105264,-8.768388323116085,-300.0
C81,cooling,T10_pair,29.73489123652791,-12.220891061632926,-800.0
C81,cooling,T3,30.734938287095048,-13.647552388261886,-1100.0
