irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-40.327408996004,-34.14928244526689
456000.0,T12_wall,-32.48880178521633,-16.81065855368442
456000.0,T11_wall,-22.41502221783253,-1.3657133576718719
456000.0,T9_active,-33.014384443176915,-16.731949144758126
456000.0,T10_active,-22.65177711763141,-3.5441256722753445
456000.0,T3,-18.378672598624636,0.5430107656374393
304000.0,T8,-31.398743059570695,-23.65036823444102
304000.0,T12_wall,-23.775989315023768,-13.173548257550575
304000.0,T11_wall,-15.72561378785091,-1.9289615808695002
304000.0,T9_active,-24.156458558934894,-13.384545690629912
304000.0,T10_active,-15.900932861942197,-3.67897996265457
304000.0,T3,-12.59315041570592,-0.13175631351821884
256000.0,T8,-22.504391817706814,-20.88606484778701
256000.0,T12_wall,-16.056342551622688,-13.987976018518863
256000.0,T11_wall,-10.53710278987717,-5.174190237226035
256000.0,T9_active,-16.309128845962526,-13.924381477027032
256000.0,T10_active,-10.654954557199565,-6.148389808009175
256000.0,T3,-8.542404944203344,-3.039355302230513
