variant,simulation_id,z_mm,Twall_K,Tactive_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_ETC_W_m_K,UA_over_mcp,effectiveness,Qgas_W,Qactive_wall_W
fitted_active_etc,E78,2.74,576.292178958402,595.1436083342533,298.15999999999997,595.1436083342523,84.6607793655114,2083.254396717331,0.004600053393144907,33.440179225692226,0.999999999999997,60.832826976411816,3.267616753296432
fitted_active_etc,E78,8.220000000000002,577.8275818253891,589.6814474190347,595.1436083342523,589.6814474193213,49.36537437620451,1515.3623039853246,0.0044745559605641515,23.670721296672983,0.999999999947527,-1.1497443570442303,2.0546924603361356
fitted_active_etc,E78,13.700000000000001,576.4299769937311,584.8267905359058,589.6814474193213,584.8267905361047,50.1602833062133,1529.5653043410953,0.004364950557685422,23.918306748681346,0.9999999999590351,-1.0207701029509841,1.4554635649997039
fitted_active_etc,E78,19.180000000000003,573.6002705602116,580.273684061355,584.8267905361047,580.2736840615031,50.9043895757051,1542.7837461135507,0.004263793639394022,24.148581236989063,0.999999999967461,-0.9564296907713753,1.1567376310437505
fitted_active_etc,E78,24.66,570.0729924633472,575.8706570831276,580.2736840615031,575.8706570832422,51.630459081204116,1555.6117357948356,0.0041674692252091075,24.371915403823472,0.9999999999739737,-0.9240483677583619,1.004939501609179
fitted_active_etc,E78,30.14,566.2043354925294,571.5410785734281,575.8706570832422,571.5410785735183,52.35560333606753,1568.3557796042537,0.004074177082029854,24.593651740281587,0.9999999999791497,-0.9078184355316444,0.9250455629386999
fitted_active_etc,E78,35.620000000000005,562.1650772440443,567.2444900298156,571.5410785735183,567.2444900298872,53.08915507383409,1581.180259943887,0.00398298260203159,24.81664928918134,0.9999999999833173,-0.9001063292542743,0.8804411583217108
fitted_active_etc,E78,41.1,558.0352705335177,562.9578082992464,567.2444900298872,562.9578082993035,53.8366563145228,1594.1803853118727,0.003893364754330066,25.04255846032046,0.9999999999866908,-0.89724658473742,0.8532491914185661
fitted_active_etc,E78,46.580000000000005,553.8504638619653,558.6661637141088,562.9578082993035,558.6661637141542,54.601869605931896,1607.4186658840374,0.0038049999646738125,25.272457877307815,0.9999999999894242,-0.8975054266322119,0.8347304176238821
fitted_active_etc,E78,52.06,549.6242123645109,554.3584135774826,558.6661637141542,554.3584135775186,55.387798427372864,1620.9432409826366,0.003717658394185582,25.507174023798584,0.9999999999916368,-0.9000938128534417,0.8206038326621098
fitted_active_etc,E78,57.54,545.3590327698575,550.0249257523577,554.3584135775186,550.0249257523863,56.197215200413616,1634.7972314028477,0.0036311539705329065,25.747444091379414,0.999999999993423,-0.9046886866412911,0.8087636101608531
fitted_active_etc,E78,63.02,541.0517372312175,545.6564638796999,550.0249257523863,545.6564638797224,57.032946968876324,1649.0236823129312,0.003545320191111936,25.99400180396989,0.9999999999948602,-0.9112008296577623,0.7981613298886571
fitted_active_etc,E78,68.50000000000001,536.6960452645715,541.2436040001653,545.6564638797224,541.2436040001829,57.898044368551204,1663.6683722731082,0.0034599982808298526,26.2476259457943,0.9999999999960116,-0.9196629244619603,0.7882521168427302
fitted_active_etc,E78,73.98000000000002,532.2839035126553,536.7764001566892,541.2436040001829,536.776400156703,58.79589799097838,1678.7816372868601,0.00337503119747981,26.509171627895395,0.9999999999969295,-0.9301770764784212,0.7787079168106921
fitted_active_etc,E78,79.46000000000002,527.8062462561718,532.2441513422038,536.776400156703,532.2441513422144,59.73033676041452,1694.4198184496915,0.003290260204640416,26.77959488234027,0.999999999997657,-0.9428933495315137,0.7692452768188562
fitted_active_etc,E78,84.94000000000001,523.2536269646786,527.6351775991947,532.2441513422144,527.6351775992028,60.705730537256976,1710.6467090525707,0.0032055221225163622,27.059977094557823,0.9999999999982299,-0.9580075780064742,0.7594770652830078
fitted_active_etc,E78,90.42000000000002,518.6170765144097,522.9365198346543,527.6351775992028,522.9365198346605,61.72711755699118,1727.5353319924739,0.0031206457290772426,27.351554966437206,0.9999999999986776,-0.9757769150256592,0.7487116799867655
fitted_active_etc,E78,95.90000000000002,513.8896518692759,518.1334409023497,522.9365198346605,518.1334409023543,62.80038582894745,1745.1704988422089,0.0030354453649867456,27.655763738336116,0.9999999999990244,-0.9965606600701443,0.735598127094346
fitted_active_etc,E78,101.38000000000001,509.0694784709155,513.2085075295424,518.1334409023543,513.208507529546,63.932560963888506,1763.6529529863571,0.002949708452439942,27.974307381247872,0.9999999999992906,-1.0209064687770455,0.7174395333478213
fitted_active_etc,E78,106.86000000000001,504.1658226345551,508.1398270100898,513.208507529546,508.13982701009235,65.13230387962805,1783.1066688255337,0.0028631708081942953,28.309282593219553,0.9999999999994925,-1.0497241477517174,0.6888349427659262
fitted_active_etc,E78,112.34,499.21120984458526,502.89760173807986,508.13982701009235,502.89760173808173,66.41082858193195,1803.6924801786151,0.0027754681304666684,28.663410710287188,0.9999999999996438,-1.0846312591667164,0.6389815684655579
fitted_active_etc,E78,117.82000000000002,494.2855474262037,497.43735613175045,502.89760173808173,497.43735613175176,67.78367231315052,1825.6345084139207,0.0026860416378056114,29.040487734153942,0.9999999999997558,-1.1286360476241792,0.5463194712769615
fitted_active_etc,E78,123.30000000000003,489.56406617804134,491.68661126362963,497.43735613175176,491.68661126363054,69.27421424659126,1849.27265969255,0.0025939565600179423,29.446278124839452,0.9999999999998372,-1.1874803959387448,0.36791183008010553
fitted_active_etc,E78,128.78,485.4126827568453,485.51871796211697,491.68661126363054,485.5187179621176,70.92081850136394,1875.1685877584764,0.0024975574359726743,29.89031734756508,0.9999999999998955,-1.272267561664415,0.01837963616853211
fitted_active_etc,E78,134.26000000000002,482.57875462779157,478.701658838478,485.5187179621176,478.70165883847847,72.79159112714797,1904.3223691370642,0.0023938247265124927,30.389592411837718,0.9999999999999366,-1.4045734763488638,-0.6720372711644297
