variant,simulation_id,z_mm,Twall_K,Tactive_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_ETC_W_m_K,UA_over_mcp,effectiveness,Qgas_W,Qactive_wall_W
initial_active_etc,E67,2.74,828.7345304354075,935.3687399870668,296.33849999999995,847.2698387859408,6.1607450140072375,194.74941741753722,0.5612948159048435,1.9814917164947725,0.8621365693070974,178.03819887445306,7.393321195758703
initial_active_etc,E67,8.220000000000002,844.0524413649055,909.0275652548993,847.2698387859408,895.3347696765094,3.810488514287423,156.6085520771254,0.5151973669487406,1.5063492683586406,0.778282065074523,16.430467645324804,4.504951672382552
initial_active_etc,E67,13.700000000000001,850.8901223343624,898.8272166497313,895.3347696765094,898.0332424279943,3.702562044622659,154.58863935541086,0.49804790705205804,1.4813069135788568,0.7726596200816429,0.9259389873367654,3.3236457320312724
initial_active_etc,E67,19.180000000000003,852.899577161362,891.8922312821821,898.0332424279943,893.28448412677,3.714386438561534,154.81156529583882,0.48660841976048647,1.4840662236844653,0.7732860580236285,-1.6287783780622542,2.7034965364533106
initial_active_etc,E67,24.66,852.0137685117874,885.7841541090432,893.28448412677,887.4725200764734,3.7449727778150894,155.38633684218254,0.4766791943358339,1.4911858439132426,0.7748944428525428,-1.9912958310791962,2.3414184685654775
initial_active_etc,E67,30.14,849.3526691887412,879.9489907310871,887.4725200764734,881.6295609525465,3.7782486568234086,156.00861603657998,0.4673206461834465,1.4989022023443812,0.7766247535819093,-1.9995853372591612,2.121349551165258
initial_active_etc,E67,35.620000000000005,845.5813658704851,874.2137197960329,881.6295609525465,875.8574423239136,3.8118143224935004,156.63316152720301,0.4582424623054689,1.5066549052817275,0.7783498199072301,-1.9730449572076088,1.985180835045854
initial_active_etc,E67,41.1,841.0937663554804,868.4964313676628,875.8574423239136,870.1153636077973,3.8456140671192443,157.2589143148708,0.44931052385667786,1.5144304605872256,0.7800665900707924,-1.960500184296375,1.8999222192076641
initial_active_etc,E67,46.580000000000005,836.1184460919392,862.7435879968539,870.1153636077973,864.352189591705,3.879932377881408,157.8910882837185,0.4404409561515157,1.522293374387721,0.7817891265622379,-1.9654083778125322,1.846013833771847
initial_active_etc,E67,52.06,830.7819260156353,856.9124210911357,864.352189591705,858.5228959447026,3.9150694262466943,158.53508026676033,0.4315705390898193,1.5303106572323297,0.7835315906074809,-1.9856080102106706,1.8117182460453551
initial_active_etc,E67,57.54,825.146811590828,850.9636663461594,858.5228959447026,852.5865810921587,3.9513137829357508,159.19596589769404,0.4226447981926749,1.5385455215424981,0.7853068590068978,-2.01962363250752,1.789972470119421
initial_active_etc,E67,63.02,819.2347832530697,844.8573922566441,852.5865810921587,846.5027244554012,3.9889611841407464,159.87884219609882,0.4136115912684949,1.547061611539637,0.7871274419901457,-2.067255543508808,1.7765047355182095
initial_active_etc,E67,68.50000000000001,813.0404899863335,838.5500304037091,846.5027244554012,840.2279971255792,4.028337166826356,160.5892274322611,0.40441700918240764,1.5559279698597603,0.7890065038383898,-2.1293820458369788,1.768665296576131
initial_active_etc,E67,73.98000000000002,806.5401256211669,831.9918728451762,840.2279971255792,833.7135625581908,4.069819023830778,161.33343340978254,0.39500239419067196,1.565223679067677,0.7909587502083764,-2.2077835955031637,1.7646582931643493
initial_active_etc,E67,79.46000000000002,799.6971672449747,825.1246010809394,833.7135625581908,826.902505305126,4.113858902612438,162.11894144382572,0.38530184037003795,1.5750425611686467,0.7930012576147186,-2.3050895679523045,1.7629725612784344
initial_active_etc,E67,84.94000000000001,792.46708842292,817.8784824568468,826.902505305126,819.7270142055123,4.161011060101225,162.95483194016677,0.3752397375319579,1.5854985520844653,0.7951543585665845,-2.4248497396201647,1.7618604659304042
initial_active_etc,E67,90.42000000000002,784.8026596204893,810.1688319488178,819.7270142055123,812.1049114610142,4.211967159252568,163.85232883843608,0.36472797064124957,1.596732510110758,0.7974427082261979,-2.57173999036712,1.7587250875568643
initial_active_etc,E67,95.90000000000002,776.6616621403183,801.8911998261264,812.1049114610142,803.9349973152617,4.267605158523925,164.82554330800502,0.35366234180972234,1.6089215038200826,0.7998966916048197,-2.751940003256454,1.7492517318404517
initial_active_etc,E67,101.38000000000001,768.0195169817805,792.914481354885,803.9349973152617,795.090433738416,4.32906048719336,165.89254582451932,0.3419176539469542,1.622292176803799,0.8025544002336695,-2.9737606818972067,1.7260545986245088
initial_active_etc,E67,106.86000000000001,758.8906221803575,783.0706982423701,795.090433738416,785.408963110195,4.397833884841174,167.07697648090124,0.3293406938857146,1.6371407787053323,0.8054645321775862,-3.2486559693488757,1.676488901788402
initial_active_etc,E67,112.34,749.3644074220832,772.1394875379917,785.408963110195,774.6780605809481,4.475960511565883,168.4105462604618,0.31574011665783835,1.653864198706005,0.8086907783850785,-3.59283685823026,1.5790756387093114
initial_active_etc,E67,117.82000000000002,739.6658105004485,759.8242370500503,774.6780605809481,762.6120234858503,4.56628358166196,169.93703604259153,0.3008720908025094,1.6730094201906647,0.812318597295776,-4.029824360846656,1.397653932156868
initial_active_etc,E67,123.30000000000003,730.2561124622868,745.7152017962028,762.6120234858503,748.8163461898537,4.6729106349350165,171.71886003383648,0.2844208732713063,1.695354335930322,0.8164658152514629,-4.594437533655964,1.071832513413049
initial_active_etc,E67,128.78,722.0010262903298,729.2327666657958,748.8163461898537,732.7323658133978,4.801998166201101,173.8481181144632,0.2659751116281786,1.722043003038556,0.821299311328509,-5.338894571108911,0.5014017511355436
initial_active_etc,E67,134.26000000000002,716.4536146531608,709.5415317268383,732.7323658133978,713.5521257162628,4.963148141029708,176.46573270121468,0.24500555970202756,1.7548177607434672,0.8270612443496009,-6.3418243708884106,-0.47923878669785147
