variant,simulation_id,z_mm,Tsolid_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_axial_redist_W_mK,UA_over_mcp,effectiveness,Qgas_W
fitted_axial_redistribution,E76,2.74,1108.5274782645613,296.4675,1022.9988309533445,1.918173143018802,66.8941616781575,0.0,2.2507228261961996,0.8946769332309683,70.99902037448724
fitted_axial_redistribution,E76,8.220000000000002,1114.8562863038783,1022.9988309533445,1093.2735192013843,0.9715249392187955,46.271455177557904,0.0,1.448342800192425,0.7650406597904029,7.381974310159707
fitted_axial_redistribution,E76,13.700000000000001,1104.9671063855792,1093.2735192013843,1102.0980577256698,0.9269272820383749,45.106138028683446,0.0,1.4050600901876522,0.7546476872565591,0.9314607488103626
fitted_axial_redistribution,E76,19.180000000000003,1089.0922768112227,1102.0980577256698,1092.2675667434373,0.9319827353199,45.23944872900438,0.0,1.4099949989363898,0.7558554958674207,-1.0370668444471158
fitted_axial_redistribution,E76,24.66,1071.1746704253896,1092.2675667434373,1076.2238068589597,0.9522639136991649,45.771120902638074,0.0,1.4297190909946342,0.7606238442821207,-1.6888022318264964
fitted_axial_redistribution,E76,30.14,1052.6658717205032,1076.2238068589597,1058.1644697741617,0.9784047303233031,46.449097101078806,0.0,1.454969551851164,0.7665925293816376,-1.8956448907933603
fitted_axial_redistribution,E76,35.620000000000005,1034.090691328572,1058.1644697741617,1039.5565132578763,1.0072492304644778,47.18784862375296,0.0,1.4826087077629693,0.7729553779163523,-1.9473056431609965
fitted_axial_redistribution,E76,41.1,1015.6336726813764,1039.5565132578763,1020.9104362116994,1.037683692673083,47.95696987294006,0.0,1.511520733195205,0.779425711865233,-1.9451670725843389
fitted_axial_redistribution,E76,46.580000000000005,997.354730793697,1020.9104362116994,1002.3979858425748,1.0693321575762227,48.74583535477112,0.0,1.541316342752825,0.7859009119283881,-1.9250474998794724
fitted_axial_redistribution,E76,52.06,979.2681136499571,1002.3979858425748,984.0711585456726,1.102094801372476,49.551115895694124,0.0,1.571874880546165,0.792344512078692,-1.8995667614626732
fitted_axial_redistribution,E76,57.54,961.3712942841394,984.0711585456726,965.9397797350575,1.1359787394646548,50.37223722229858,0.0,1.6031772060016787,0.7987439308762788,-1.8731491126584436
fitted_axial_redistribution,E76,63.02,943.6555276580884,965.9397797350575,947.9988330132918,1.1710359727606723,51.20972544748249,0.0,1.6352445832891236,0.8050953049623661,-1.847340253461447
fitted_axial_redistribution,E76,68.50000000000001,926.1096920275063,947.9988330132918,930.2380265068118,1.2073411236252254,52.064611470145735,0.0,1.6681166165922363,0.8113980588828743,-1.822681204294479
fitted_axial_redistribution,E76,73.98000000000002,908.7216744080262,930.2380265068118,912.6451176241443,1.2449840006393917,52.938223692780184,0.0,1.7018435690679548,0.8176529553845919,-1.7993646706261648
fitted_axial_redistribution,E76,79.46000000000002,891.4788632675662,912.6451176241443,895.2070580625539,1.2840677462385437,53.83212347641744,0.0,1.736483990491411,0.8238613817929035,-1.7774635083154442
fitted_axial_redistribution,E76,84.94000000000001,874.368322280006,895.2070580625539,877.9103849039664,1.324709167645693,54.74809392754835,0.0,1.7721043324198562,0.830025071534005,-1.75700947770109
fitted_axial_redistribution,E76,90.42000000000002,857.3768556683365,877.9103849039664,860.7413570614649,1.3670400204635946,55.68814974224483,0.0,1.8087793448089624,0.8361459759537916,-1.7380197704013132
fitted_axial_redistribution,E76,95.90000000000002,840.4910421378557,860.7413570614649,843.6860115754329,1.4112088187851721,56.654556667790935,0.0,1.8465928231346074,0.8422261851418319,-1.720505369092994
fitted_axial_redistribution,E76,101.38000000000001,823.6972652640117,843.6860115754329,826.7302004869707,1.4573830473132283,57.64985675787915,0.0,1.8856385596957914,0.8482678615403652,-1.704473133537591
fitted_axial_redistribution,E76,106.86000000000001,806.9817500729142,826.7302004869707,809.8596290870759,1.5057517688986954,58.67689842419432,0.0,1.926021458804473,0.8542731731440933,-1.689925772090745
fitted_axial_redistribution,E76,112.34,790.3306088321882,809.8596290870759,793.0599022666086,1.5565286729898284,59.73887139080025,0.0,1.9678588170020286,0.8602442212257251,-1.6768611582369526
fitted_axial_redistribution,E76,117.82000000000002,773.7298965537178,793.0599022666086,776.316580694246,1.6099556404657769,60.839347152267315,0.0,2.0112817879024756,0.8661829603700966,-1.66527150698531
fitted_axial_redistribution,E76,123.30000000000003,757.1656757442018,776.316580694246,759.6152467470444,1.6663069248410718,61.982325829643685,0.0,2.056437062043025,0.8720911095725071,-1.65514259435463
fitted_axial_redistribution,E76,128.78,740.6240895429394,759.6152467470444,742.9415794411469,1.7258940757546566,63.17229056357605,0.0,2.1034888009887864,0.8779700534674812,-1.6464530866389793
fitted_axial_redistribution,E76,134.26000000000002,724.0914421908338,742.9415794411469,726.2814373224089,1.78907176155216,64.4142708441451,0.0,2.152620874250382,0.8838207328416838,-1.6391740057730388
