variant,simulation_id,z_mm,Tsolid_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_axial_redist_W_mK,UA_over_mcp,effectiveness,Qgas_W
initial_axial_redistribution,E80,2.74,665.1061406807036,296.5685,571.0590139715327,2.1618678829203817,56.438584251225755,0.08071891952376602,1.3657468474794265,0.7448099832205414,37.296240235544246
initial_axial_redistribution,E80,8.220000000000002,663.5774715784896,571.0590139715327,632.3897322061504,1.4576031240128813,46.15935146456996,0.2404908858305079,1.0873831175617459,0.6629025150329131,8.560260321125673
initial_axial_redistribution,E80,13.700000000000001,658.2290185485801,632.3897322061504,649.1427478041737,1.3632791634247952,44.633674502673195,0.39120423306984703,1.0451314953371167,0.6483544234158609,2.3524289108027796
initial_axial_redistribution,E80,19.180000000000003,651.5353031075445,649.1427478041737,650.6878823941951,1.347505829432394,44.374060471169955,0.5311465507074634,1.037919957058248,0.6458093519696173,0.21720180601534209
initial_axial_redistribution,E80,24.66,644.4443153697871,650.6878823941951,646.6469835940733,1.3561604823264977,44.516673611937165,0.6608473734156163,1.0418822028831782,0.6472099657655241,-0.5676934309217209
initial_axial_redistribution,E80,30.14,637.2816414429332,646.6469835940733,640.5589639233909,1.3739572675045262,44.80867147788383,0.7810689535723325,1.049989098226692,0.6500584359260371,-0.8542502877127043
initial_axial_redistribution,E80,35.620000000000005,630.1534077844111,640.5589639233909,633.7594348735022,1.395506988208873,45.16001885973688,0.8924516303735862,1.0597332706423581,0.6534517674088847,-0.9527263737755918
initial_axial_redistribution,E80,41.1,623.0909459729414,633.7594348735022,626.7497024229726,1.4187834771832102,45.53685010553037,0.9955155504862729,1.0701711120405653,0.6570501704473967,-0.9807154416372077
initial_axial_redistribution,E80,46.580000000000005,616.100166047772,626.7497024229726,619.7132750081993,1.443025162933565,45.9264411995731,1.0907001333937596,1.0809477487701755,0.6607261731279599,-0.9829741864069784
initial_axial_redistribution,E80,52.06,609.1782163538365,619.7132750081993,612.7134277995534,1.467961636383334,46.32423283725771,1.178390311666003,1.091935502339343,0.6644336247475127,-0.9764086508992542
initial_axial_redistribution,E80,57.54,602.319127893939,612.7134277995534,605.7683982143475,1.4935153490537731,46.72883888376616,1.2589304209486354,1.1030948625518646,0.6681575140481262,-0.9673375285769888
initial_axial_redistribution,E80,63.02,595.5157452613837,605.7683982143475,598.8796946145742,1.5196857419692917,47.14011783642201,1.3326314216516233,1.1144208103090765,0.671894740939412,-0.9580998189016354
initial_axial_redistribution,E80,68.50000000000001,588.7603912712384,598.8796946145742,592.042619532997,1.5465046699396852,47.55843456707419,1.399774996807142,1.1259222820577066,0.6756468157543483,-0.9495575583179777
initial_axial_redistribution,E80,73.98000000000002,582.0450924374866,592.042619532997,585.2501284223547,1.574019650929803,47.9843830173929,1.4606162460938363,1.1376144539262134,0.6794171244299652,-0.9420320989898849
initial_axial_redistribution,E80,79.46000000000002,575.3616493403414,585.2501284223547,578.4942213836277,1.602287909388821,48.41868601206816,1.515385743867713,1.1495159442140215,0.6832099236591078,-0.9356501117787963
initial_axial_redistribution,E80,84.94000000000001,568.7016513780302,578.4942213836277,571.7664321627482,1.6313745987916117,48.862162738672396,1.5642912974313021,1.161647890716207,0.6870299846755089,-0.9304699741960084
initial_axial_redistribution,E80,90.42000000000002,562.056471512227,571.7664321627482,565.0579904861899,1.66135266750699,49.31572219735093,1.6075195566748317,1.1740337446422044,0.6908824781074931,-0.9265274165545017
initial_axial_redistribution,E80,95.90000000000002,555.417254040965,565.0579904861899,558.3598676051349,1.6923034133765467,49.78036696692609,1.6452375484914088,1.18669934657955,0.6947729480119229,-0.923851801644508
initial_axial_redistribution,E80,101.38000000000001,548.7749002985885,558.3598676051349,551.6627807949391,1.7243173797806624,50.25720154045828,1.6775941769033922,1.1996731247997285,0.6987073190767964,-0.9224718234928859
initial_axial_redistribution,E80,106.86000000000001,542.1200542096547,551.6627807949391,544.9571839618008,1.7574954783990122,50.747443223138205,1.7047217162746695,1.2129863597423054,0.7026919165303116,-0.9224174207315964
initial_axial_redistribution,E80,112.34,535.4430885355798,544.9571839618008,538.2332540843843,1.7919503139585988,51.25243499808871,1.7267373193070854,1.22667349748198,0.7067334913296377,-0.9237203376386962
initial_axial_redistribution,E80,117.82000000000002,528.7340922673,538.2332540843843,531.4808770424546,1.827807723342931,51.77366031240604,1.7437445591305898,1.2407725099415312,0.7108392479203174,-0.9264141942848472
initial_axial_redistribution,E80,123.30000000000003,521.9828594990114,531.4808770424546,524.6896342338555,1.865208559551275,52.31275996707792,1.755835023744032,1.2553253058173404,0.7150168735250771,-0.9305343658557342
initial_axial_redistribution,E80,128.78,515.1788801042838,524.6896342338555,517.848790661465,1.9043107631343064,52.87155141645622,1.7630899804878803,1.270378199333344,0.719274568471952,-0.9361177720789225
initial_axial_redistribution,E80,134.26000000000002,508.311332559153,517.848790661465,510.9472849556401,1.9452917750138647,53.45205087360512,1.7655821276615469,1.2859824461771476,0.7236210772083939,-0.9432026078590574
