quantity,value,sd,ci_lo,ci_hi,n,rho_mfc
Nu_a,0.00031034120540280333,1.052909104360688e-05,0.0002899458574850616,0.0003315404790189743,4000,1.0
Nu_b,1.4429631485647443,0.0029467811980383113,1.4372490163138443,1.4487589182149272,4000,1.0
Nu_b_grouped,1.4695703002761522,0.0031358642271194087,1.463466803543574,1.4757739097702933,4000,1.0
NTU_corr_b,0.3407125514339807,0.0029248760020683076,0.33499242132506,0.34634651739365246,4000,1.0
eps_star_456,0.6655481696300213,0.002400990270660823,0.66074954450226,0.6701536413972815,4000,1.0
eps_star_304,0.655095392962274,0.0027374464847206227,0.6497836679858788,0.6605467468046162,4000,1.0
eps_star_256,0.6416693307879625,0.0031680151442172993,0.6354461365537375,0.6478981246408326,4000,1.0
Lam107_slope,0.0008511385646008003,3.5976419310347494e-05,0.000782031240543667,0.000922981557534451,4000,1.0
Lam107_int,0.0365533783109314,0.003124790742733306,0.030314212584304494,0.04276977290098335,4000,1.0
C_cool,303.03647056259155,40.84750520573573,237.507672458913,400.8223624248796,4000,1.0
K_cool,0.09797063411795535,0.024980751491267685,0.05823628200469735,0.15636327340101439,4000,1.0
C_deep,284.7628709659526,35.83424271181329,226.3462207877584,365.3309965673576,4000,1.0
K_deep,0.11690719293405945,0.028028467907449527,0.07069421471901442,0.18088808392740116,4000,1.0
C_all,271.9485784813637,30.25651803812107,221.0098944113115,338.40303005601794,4000,1.0
K_all,0.10071985952115878,0.02236866505975859,0.06293140306359848,0.15005146512910733,4000,1.0
C_match,279.65045166443286,37.0140061263932,221.11485071912168,367.40887395124696,4000,1.0
K_match,0.08211233603072036,0.022672803266083806,0.04607151908684168,0.13415558483060985,4000,1.0
Nu_a,0.0003101949001117348,1.0203978044911441e-05,0.000290580198817212,0.0003307912954070977,4000,0.0
Nu_b,1.4429311812556802,0.0031109393143011954,1.4369747812365057,1.4490145336168774,4000,0.0
Nu_b_grouped,1.469544700523162,0.003140501372324663,1.463419987558682,1.4757147447649173,4000,0.0
NTU_corr_b,0.34068801151645917,0.0029955465552281486,0.33484067257839056,0.3464338316529473,4000,0.0
eps_star_456,0.6655481696300213,0.002400990270660823,0.66074954450226,0.6701536413972815,4000,0.0
eps_star_304,0.655095392962274,0.0027374464847206227,0.6497836679858788,0.6605467468046162,4000,0.0
eps_star_256,0.6416693307879625,0.0031680151442172993,0.6354461365537375,0.6478981246408326,4000,0.0
Lam107_slope,0.0008497965188766323,3.071667109120191e-05,0.0007880766751227758,0.000908803789265708,4000,0.0
Lam107_int,0.03655627428089113,0.003125181675988308,0.030310088987471305,0.04277223569478485,4000,0.0
C_cool,303.36198817862413,40.38710901081702,238.69857370975691,399.86771624128085,4000,0.0
K_cool,0.09807881797223576,0.024905505335331736,0.058069665840461755,0.15654186242887907,4000,0.0
C_deep,285.07836715473593,35.39194844117672,226.66418208737113,366.22870500205187,4000,0.0
K_deep,0.11704557257795375,0.027964876854392796,0.07103830172567159,0.18075744425401546,4000,0.0
C_all,272.2489695349437,29.76314521229421,221.81095082484103,339.39981638269035,4000,0.0
K_all,0.10083915431053561,0.022305462449709473,0.06301447915461834,0.15129306673231446,4000,0.0
C_match,279.9557141760774,36.58481675532284,221.17600339612417,365.31216513451153,4000,0.0
K_match,0.08220700551838632,0.02261440638974331,0.0457836102479942,0.13476182121881508,4000,0.0
