ID,Io_kWm2,q_slpm,Tamb,dur_s,mfc_rss,mfc_f1,mfc_f2,mfc_f3,mfc_f4,mdot_gs,Tw_K,Q_gas_W,Q_nom_W,dp1_mbar,dp2_mbar,T2_ss,T3_ss,T8_ss,T9_ss,T10_ss,T11_ss,T12_ss,Tg_bar,mdot_ch,Re,Pr,Gz_L,Pe_LD,eps,NTU,h_app,T_film,Nu,Bi,N_rc,Lam58,Lam107,I_vol,eta_nom
E67,456.0,15.283090909090909,296.3313305785124,3929.0,0.5449238692219271,0.23992431542665316,0.34656137015250477,0.33671199305233357,0.07680232136850859,0.3055642457054323,935.1354691138324,148.48345983732617,164.61599999999999,2.7433719008264466,-0.2952148760330579,326.0204545454545,763.5706942148762,940.2152231404957,967.6360495867768,825.4468181818182,880.2960743801652,993.749958677686,529.9510123966943,3.0556424570543225e-06,72.1739534942878,0.6994060344282109,0.5526886708297001,4610.40607235673,0.731428203811691,1.3146370034281356,5.06197200982059,732.5432407552634,0.1417446281180349,2.530986004910295e-05,4.322326984751194,0.037443664448830474,0.09392562955303495,53.53473553719027,0.9019989541558912
E68,456.0,12.504024793388428,298.70152066115696,5362.0,0.5567938658165335,0.2931862600273498,0.42352049290575533,0.189417357849076,0.09387588921781878,0.2500006658993977,979.4671550642456,123.42510855049366,164.61599999999999,2.0040495867768593,-0.27466942148760337,338.21966942148754,772.8737933884297,1012.4708842975208,1020.8657851239668,849.889826446281,898.5926446280993,1047.5719917355373,535.7876570247934,2.500006658993977e-06,58.59803382411402,0.6996380244468333,0.4488767805237794,3744.430352733695,0.696527922040363,1.1924656728478475,3.761020780518802,757.6274060445195,0.10267020967130897,1.8805103902594008e-05,4.797387405595331,0.035661983805097726,0.08118609566975712,35.10110743801647,0.7497758939015264
E69,456.0,10.499570247933885,296.73804545454544,5363.0,0.5289062027749258,0.3492594738234072,0.27350824276160857,0.26542999005075374,0.1118022933642306,0.2099243721132819,998.7056136212825,103.29750353840448,164.61599999999999,1.532636363636364,-0.30113223140495865,344.1470247933884,769.5725454545454,1059.374694214876,1044.5582727272727,852.7100247933885,896.7010909090909,1070.917347107438,533.1552954545455,2.0992437211328193e-06,49.37465655474126,0.699531692881902,0.37816573450949614,3154.5745204483264,0.6735845378652715,1.11958428527789,2.9635263968126253,765.930454537914,0.08023715235071296,1.4817631984063127e-05,5.012170699891724,0.034047764289083994,0.0733229595539069,11.542652892562046,0.6275058532488001
E70,456.0,9.110834710743802,298.9885867768595,6702.0,0.5490321239182862,0.40240618063498995,0.3151347365002707,0.15355978849993332,0.12889929436480588,0.18215852753184328,1045.0380076612173,91.16055372282597,164.61599999999999,1.30796694214876,-0.2725702479338843,352.19410743801654,779.3104380165289,1150.9603884297521,1093.4349008264462,871.3563140495867,912.0663388429751,1119.884545454545,539.1495123966943,1.821585275318433e-06,42.50978370523293,0.6997778010881711,0.3257014923282664,2716.929470892992,0.6438204196583944,1.032320236154957,2.3739822662560623,792.0937600289558,0.06266855725200013,1.1869911331280311e-05,5.55102479104261,0.032220459058788,0.06640271100393513,-31.075842975207024,0.5537769944770009
E71,456.0,7.131661157024793,300.7610454545454,7084.0,0.5326154514400331,0.23647429516380802,0.40269036574187284,0.19620572212610282,0.16462961696821649,0.14258769217794545,1046.802980877119,67.06218417788622,164.61599999999999,0.8226859504132231,-0.26414876033057855,355.79656198347107,753.3298099173553,1203.833173553719,1095.2575950413222,847.2744214876031,882.6296033057852,1120.3427190082643,527.0454276859504,1.4258769217794545e-06,33.80934242697644,0.6992957552116259,0.25886200341986443,2159.3693076388604,0.6066264414566263,0.9329955879363453,1.6754160468962356,786.9242042815347,0.0444464137450069,8.377080234481178e-06,5.572157710129528,0.030607229000341848,0.06076145779167691,-83.49045454545467,0.40738557720930063
E72,304.0,18.320363636363634,296.39256611570244,3214.0,0.5073491276523586,0.23676855091475688,0.30471128185048113,0.27033594915832265,0.18818421807643934,0.366290309263604,757.4578034023043,134.21580719872298,109.744,2.489735537190083,-0.2967768595041322,309.56932231404954,652.6506033057852,737.4617851239669,771.5355702479337,684.161958677686,734.2306942148759,798.2023884297521,474.5215847107438,3.66290309263604e-06,93.56040527185968,0.6979845371072558,0.7150041915902872,5964.406076425824,0.7726846623412424,1.4814170727989293,6.767709888198339,615.9896940565241,0.21622428370862842,3.38385494409917e-05,2.6911040708152756,0.05314128380119545,0.11435444362636456,60.74060330578516,1.222989932923194
E73,304.0,13.17414049586777,296.92679338842976,4572.0,0.540427211578504,0.1507354440297829,0.21795014149307027,0.42186263974440286,0.20945177473274398,0.2633987017012828,840.242857724558,108.09357403677355,109.744,1.8305289256198345,-0.29642975206611566,324.8786198347108,694.2926033057851,839.235,868.630652892562,747.3663801652891,791.9014380165288,895.854909090909,495.6096983471074,2.6339870170128282e-06,65.22704407612378,0.6983446229507914,0.4987330894328683,4160.320602473558,0.7313713619031165,1.314425380707233,4.3341999801048035,667.9262780358326,0.13017345767370744,2.1670999900524017e-05,3.3974696853538067,0.04545496443494865,0.08997442259835604,56.619909090909005,0.9849611280504952
E74,304.0,9.026578512396695,296.51763636363637,6015.0,0.5180474396989341,0.21991712262043406,0.31812571872230405,0.30877134193236505,0.1531858167248969,0.18047394148527154,895.7818348012306,74.75829426706716,109.744,1.0636859504132232,-0.298198347107438,333.76536363636353,697.4969256198348,948.4470247933884,935.3189421487601,767.7254876033057,803.9379256198347,962.2098347107438,497.00728099173557,1.8047394148527156e-06,44.60265558053194,0.6983768076635055,0.3410524841348182,2844.984033211735,0.6691193805697627,1.1059976350347391,2.499419912912015,696.3945578964831,0.07272369015767785,1.2497099564560077e-05,3.923652931456005,0.040395384877204434,0.0713657667682365,13.762809917355412,0.681206209606604
E75,304.0,6.948636363636362,296.6999132231404,6351.0,0.5503416512280725,0.2856687500371677,0.4132554695909181,0.20136063321776676,0.09971514715414762,0.13892836480301884,910.9105414429632,55.036240170402756,109.744,0.6401570247933885,-0.30376033057851237,336.3386611570248,680.8034958677686,1008.7651487603307,954.102818181818,757.1450082644628,788.4407933884296,979.6317355371903,488.75170454545446,1.3892836480301884e-06,34.7460245013542,0.6982012063384295,0.26561733090120576,2215.7207483043258,0.6253613418541488,0.9817932958294429,1.7054203573526845,699.8311229942088,0.04943630695082085,8.527101786763424e-06,4.074364740686756,0.03738135568038106,0.06364283789756771,-29.13341322314045,0.5014965753973134
E76,304.0,4.529809917355371,296.44899999999996,7144.0,0.51819254523427,0.2197271700598606,0.3187114924640628,0.3087134446376346,0.15284789283844213,0.09056727849222841,907.7341481570851,32.61177916110909,109.744,0.15878512396694214,-0.30138016528925626,337.9849008264463,646.7431818181817,1068.2751404958678,947.273041322314,726.0451983471075,750.908561983471,970.407694214876,471.59609090909083,9.056727849222841e-07,23.23589875497958,0.6979541051549729,0.17756486412047431,1481.2066376343034,0.5730454647462903,0.8510777462380261,0.9608677288839838,689.6651195330879,0.02816447283924572,4.804338644419919e-06,4.042458034820014,0.03432651450473903,0.0547097381510652,-97.86744628099189,0.29716229735665817
