ID,phase,q,x,lam,lam_sd,n,Tamb_e,T3_e,mfc_f1,mfc_f2,mfc_f3,mfc_f4,x_matched
E67,heat,15.283090909090909,0.23828379848398998,0.0013357826493693426,0.00016278669447920022,3,296.3313305785124,763.5706942148762,0.23992431542665316,0.34656137015250477,0.33671199305233357,0.07680232136850859,
E67,heat6,15.283090909090909,0.23828379848398998,0.0035193600070046152,0.0024592239063746238,6,296.3313305785124,763.5706942148762,0.23992431542665316,0.34656137015250477,0.33671199305233357,0.07680232136850859,
E68,heat,12.504024793388428,0.18589543995954189,0.0009890373600291808,7.532375924416118e-05,3,298.70152066115696,772.8737933884297,0.2931862600273498,0.42352049290575533,0.189417357849076,0.09387588921781878,
E68,heat6,12.504024793388428,0.18589543995954189,0.0025346000855658623,0.0018697016483159973,6,298.70152066115696,772.8737933884297,0.2931862600273498,0.42352049290575533,0.189417357849076,0.09387588921781878,
E69,heat,10.499570247933885,0.15038913993164027,0.000956821853570832,5.8578423371671434e-05,3,296.73804545454544,769.5725454545454,0.3492594738234072,0.27350824276160857,0.26542999005075374,0.1118022933642306,
E69,heat6,10.499570247933885,0.15038913993164027,0.002164570050385149,0.0014666825473874307,6,296.73804545454544,769.5725454545454,0.3492594738234072,0.27350824276160857,0.26542999005075374,0.1118022933642306,
E70,heat,9.110834710743802,0.1272714848704288,0.0007790561511355977,3.212860178452069e-05,3,298.9885867768595,779.3104380165289,0.40240618063498995,0.3151347365002707,0.15355978849993332,0.12889929436480588,
E70,heat6,9.110834710743802,0.1272714848704288,0.0018766985062099789,0.0015232519129772513,6,298.9885867768595,779.3104380165289,0.40240618063498995,0.3151347365002707,0.15355978849993332,0.12889929436480588,
E71,heat,7.131661157024793,0.09561338280530418,0.000685439704254161,1.632928016096201e-05,3,300.7610454545454,753.3298099173553,0.23647429516380802,0.40269036574187284,0.19620572212610282,0.16462961696821649,
E71,heat6,7.131661157024793,0.09561338280530418,0.001467755042299566,0.0011557846903297835,6,300.7610454545454,753.3298099173553,0.23647429516380802,0.40269036574187284,0.19620572212610282,0.16462961696821649,
E72,heat,18.320363636363634,0.29749072632947066,0.0013851633976188717,0.0001490012476228633,3,296.39256611570244,652.6506033057852,0.23676855091475688,0.30471128185048113,0.27033594915832265,0.18818421807643934,
E72,heat6,18.320363636363634,0.29749072632947066,0.002290025005597378,0.0009427807492203686,6,296.39256611570244,652.6506033057852,0.23676855091475688,0.30471128185048113,0.27033594915832265,0.18818421807643934,
E73,heat,13.17414049586777,0.19664796552832278,0.0010883279142727975,7.801066842136029e-05,3,296.92679338842976,694.2926033057851,0.1507354440297829,0.21795014149307027,0.42186263974440286,0.20945177473274398,
E73,heat6,13.17414049586777,0.19664796552832278,0.002242624691668887,0.0012968899854388146,6,296.92679338842976,694.2926033057851,0.1507354440297829,0.21795014149307027,0.42186263974440286,0.20945177473274398,
E74,heat,9.026578512396695,0.12483607507099644,0.0008353598650250067,4.1099088330489035e-05,3,296.51763636363637,697.4969256198348,0.21991712262043406,0.31812571872230405,0.30877134193236505,0.1531858167248969,
E74,heat6,9.026578512396695,0.12483607507099644,0.0017299617648984357,0.001178159936674153,6,296.51763636363637,697.4969256198348,0.21991712262043406,0.31812571872230405,0.30877134193236505,0.1531858167248969,
E75,heat,6.948636363636362,0.0921498975052002,0.0007181246441634861,1.969987199892791e-05,3,296.6999132231404,680.8034958677686,0.2856687500371677,0.4132554695909181,0.20136063321776676,0.09971514715414762,
E75,heat6,6.948636363636362,0.0921498975052002,0.001335094989279866,0.0008803928135223962,6,296.6999132231404,680.8034958677686,0.2856687500371677,0.4132554695909181,0.20136063321776676,0.09971514715414762,
E76,heat,4.529809917355371,0.05701702459234557,0.0006176541125828893,8.275414390286653e-06,3,296.44899999999996,646.7431818181817,0.2197271700598606,0.3187114924640628,0.3087134446376346,0.15284789283844213,
E76,heat6,4.529809917355371,0.05701702459234557,0.0010267765187541497,0.0006025983369984046,6,296.44899999999996,646.7431818181817,0.2197271700598606,0.3187114924640628,0.3087134446376346,0.15284789283844213,
E77,heat,13.851438016528924,0.20649562130406166,0.001344504834596248,5.933807993654555e-05,3,297.1420371900826,524.9628181818181,0.2859249032233429,0.4130722471754581,0.2012077392686501,0.09979511033254895,
E77,heat6,13.851438016528924,0.20649562130406166,0.0016833278840792361,0.0003500558944640242,6,297.1420371900826,524.9628181818181,0.2859249032233429,0.4130722471754581,0.2012077392686501,0.09979511033254895,
E78,heat,10.01276859504132,0.13954064192935553,0.0007985206517889002,1.933278684587912e-05,3,298.1450165289256,554.1598842975206,0.2966707798719817,0.28690968969373815,0.2783528469846353,0.13806668344964487,
E78,heat6,10.01276859504132,0.13954064192935553,0.0011081203007948382,0.0003690889488471003,6,298.1450165289256,554.1598842975206,0.2966707798719817,0.28690968969373815,0.2783528469846353,0.13806668344964487,
E79,heat,8.036214876033059,0.10786251062023695,0.0008292801286447561,2.218765663970836e-05,3,296.73842148760326,559.6755454545454,0.12387827006258859,0.357238204738467,0.34686470954830506,0.1720188156506394,
E79,heat6,8.036214876033059,0.10786251062023695,0.0011485076023783928,0.00037392871777440126,6,296.73842148760326,559.6755454545454,0.12387827006258859,0.357238204738467,0.34686470954830506,0.1720188156506394,
E80,heat,6.606479338842975,0.08620168967548067,0.0007277836323374155,1.1361262086092551e-05,3,296.61314876033055,560.9812396694215,0.15059095503537723,0.2183168539775627,0.4218660868869029,0.20922610410015718,
E80,heat6,6.606479338842975,0.08620168967548067,0.0009891888242414078,0.0003275230098261183,6,296.61314876033055,560.9812396694215,0.15059095503537723,0.2183168539775627,0.4218660868869029,0.20922610410015718,
E81,heat,4.5281900826446275,0.05657177302174512,0.0006839079953746934,6.348998759508334e-06,3,297.83462396694216,550.2411983471076,0.21974554261549775,0.3183637488570224,0.30892973493870346,0.15296097358877628,
E81,heat6,4.5281900826446275,0.05657177302174512,0.0008971678715363488,0.0002773063884702171,6,297.83462396694216,550.2411983471076,0.21974554261549775,0.3183637488570224,0.30892973493870346,0.15296097358877628,
C69,cool,10.513307165861514,0.14657638815297688,0.0007987930357605286,3.0137747341395375e-05,6,296.3635537190082,363.4591570247934,0.34885612915615155,0.2735610551078678,0.2656506371516353,0.1119321785843453,0.14287437303466075
C80,cool,6.603099375509095,0.08523210328287978,0.0006380186437688473,1.7423389130942085e-05,6,295.6885867768595,325.294909090909,0.15059264865251615,0.2183248513572498,0.4218244297770303,0.20925807021320386,0.09040593668058064
C81,cool,4.52712568212824,0.05595454346950668,0.0004835946298510329,2.3244762015396688e-05,6,291.2077438016529,306.75415702479336,0.21966251259790864,0.31860505106685055,0.3088514304688673,0.15288100586637354,0.057220337990724124
