reference,eps_min,eps_max,NTU_min,NTU_max,Nu_min,Nu_max,Nu_prefactor,Nu_exponent,eps_star_456,eps_star_304,eps_star_256
"wall quadrature (T8,T12,T11)",0.5730454647462903,0.7809054670563477,0.8510777462380261,1.518251985025886,0.02816447283924572,0.21622428370862842,0.00031394282845040214,1.4444975121632575,0.6655233222329529,0.6550800660308858,0.6416395172633556
"interior probes (T9,T10)",0.648440614043591,0.8263701119196215,1.0453766319125195,1.7508293252131872,0.03601534157525456,0.2597980661587779,0.00045582108549219674,1.3939056206209333,0.719231392577745,0.7111665842894875,0.7024407009868919
front wall only (T8),0.4538511504587439,0.8510694536964267,0.6048637221833945,1.904275213900843,0.01841662987265332,0.2493917048650187,5.9144352851403276e-05,1.8471603484827608,0.6047724544693824,0.5907960473663417,0.5720822519354832
mid wall only (T12),0.5197561583892835,0.7099463209931439,0.7334613007145626,1.2376892731068714,0.023468066895633685,0.17620757244008628,0.0002696064070395385,1.4275693173747874,0.6038124243229787,0.5895427172035979,0.5703861545604345
rear wall only (T11),0.7707928518201629,0.8225070798549452,1.473129107106769,1.7288245573688878,0.053452559548798254,0.24885439247764732,0.0017573181148845115,1.0918059908807105,0.7868477023563871,0.7873045949475791,0.7906258164360803
wall+interior mean,0.6084161898973215,0.8029947653670495,0.9375557121255768,1.6245249788563054,0.03164799605092538,0.2358641646023641,0.0003748631945835625,1.4205521024975045,0.6913295348949987,0.6819608700755787,0.6706492421545607
