ID,Io,signal,tstar,theta
E67,456.0,wall,0.0,0.0
E67,456.0,wall,0.010047704773614156,-6.039959717431335e-05
E67,456.0,wall,0.020095409547228313,-9.737299546340707e-05
E67,456.0,wall,0.03014311432084247,-9.187640928598694e-05
E67,456.0,wall,0.040190819094456626,0.02055841504095117
E67,456.0,wall,0.05023852386807078,0.04239095818443478
E67,456.0,wall,0.06028622864168494,0.07976371602750039
E67,456.0,wall,0.07033393341529909,0.11887228664346745
E67,456.0,wall,0.08038163818891325,0.1444855725976036
E67,456.0,wall,0.0904293429625274,0.18324391011282426
E67,456.0,wall,0.10047704773614156,0.2077235737343752
E67,456.0,wall,0.11052475250975571,0.24324339352382077
E67,456.0,wall,0.12057245728336988,0.2772919908862115
E67,456.0,wall,0.13062016205698404,0.29909713109070657
E67,456.0,wall,0.14066786683059818,0.33061802445227373
E67,456.0,wall,0.15071557160421234,0.35091075782933256
E67,456.0,wall,0.1607632763778265,0.37974904287837513
E67,456.0,wall,0.17081098115144064,0.4077885573962132
E67,456.0,wall,0.1808586859250548,0.42579137983225324
E67,456.0,wall,0.19090639069866897,0.45183999312615925
E67,456.0,wall,0.20095409547228313,0.4679543268233445
E67,456.0,wall,0.21100180024589726,0.491005112300752
E67,456.0,wall,0.22104950501951143,0.5132741426665356
E67,456.0,wall,0.2310972097931256,0.5274316574023131
E67,456.0,wall,0.24114491456673975,0.5480103446758604
E67,456.0,wall,0.2511926193403539,0.5610762385395415
E67,456.0,wall,0.2612403241139681,0.5799026575638974
E67,456.0,wall,0.2712880288875822,0.5919054019576879
E67,456.0,wall,0.28133573366119635,0.6088705237750166
E67,456.0,wall,0.2913834384348105,0.6249632139499149
E67,456.0,wall,0.3014311432084247,0.6357117882198818
E67,456.0,wall,0.31147884798203884,0.6507105377576231
E67,456.0,wall,0.321526552755653,0.660055071367972
E67,456.0,wall,0.33157425752926717,0.6735408369938657
E67,456.0,wall,0.3416219623028813,0.6822344479565101
E67,456.0,wall,0.35166966707649544,0.6945729926270511
E67,456.0,wall,0.3617173718501096,0.7059818428831549
E67,456.0,wall,0.37176507662372377,0.7133648322963697
E67,456.0,wall,0.38181278139733793,0.7238730366246542
E67,456.0,wall,0.3918604861709521,0.7305157581530995
E67,456.0,wall,0.40190819094456626,0.7402516578412126
E67,456.0,wall,0.41195589571818036,0.7493783563704652
E67,456.0,wall,0.42200360049179453,0.7556536293988372
E67,456.0,wall,0.4320513052654087,0.7640817872458712
E67,456.0,wall,0.44209901003902285,0.7691836705406236
E67,456.0,wall,0.452146714812637,0.7771976474776621
E67,456.0,wall,0.4621944195862512,0.7847172002029628
E67,456.0,wall,0.47224212435986535,0.7895785078625794
E67,456.0,wall,0.4822898291334795,0.7967728935199407
E67,456.0,wall,0.4923375339070936,0.8011644144725985
E67,456.0,wall,0.5023852386807078,0.8073262818435383
E67,456.0,wall,0.512432943454322,0.8114173475112268
E67,456.0,wall,0.5224806482279362,0.8174384519954024
E67,456.0,wall,0.5325283530015502,0.8232150155317532
E67,456.0,wall,0.5425760577751644,0.8268100628634381
E67,456.0,wall,0.5526237625487785,0.8328025302479037
E67,456.0,wall,0.5626714673223927,0.8361515853501744
E67,456.0,wall,0.5727191720960069,0.8410700529350703
E67,456.0,wall,0.582766876869621,0.8456129242736466
E67,456.0,wall,0.5928145816432352,0.8486468627186705
E67,456.0,wall,0.6028622864168494,0.852831461770688
E67,456.0,wall,0.6129099911904635,0.855672208353101
E67,456.0,wall,0.6229576959640777,0.8603378044053003
E67,456.0,wall,0.6330054007376918,0.8642976776455255
E67,456.0,wall,0.643053105511306,0.8667862141845545
E67,456.0,wall,0.6531008102849202,0.8704118869860018
E67,456.0,wall,0.6631485150585343,0.8730019846677582
E67,456.0,wall,0.6731962198321484,0.8769103488389711
