reference,Re,Nu,eps,NTU,Io
wall quadrature,72.5506737314823,0.1406884798491474,0.731428203811691,1.3146370034281356,456.0
wall quadrature,58.91721408082491,0.10220572178069215,0.696527922040363,1.1924656728478475,456.0
wall quadrature,49.63879316185782,0.0799444856650832,0.6735845378652715,1.11958428527789,456.0
wall quadrature,42.74609579570762,0.0625986521408547,0.6438204196583944,1.032320236154957,456.0
wall quadrature,33.981447210539244,0.04437469393775241,0.6066264414566263,0.9329955879363453,456.0
wall quadrature,93.9897708010034,0.21261611629763552,0.7726846623412424,1.4814170727989293,304.0
wall quadrature,65.46249439142161,0.12842542918081,0.7313713619031165,1.314425380707233,304.0
wall quadrature,44.75991718892577,0.07183544232159247,0.6691193805697627,1.1059976350347391,304.0
wall quadrature,34.884622229371836,0.0488487937392364,0.6253613418541488,0.9817932958294429,304.0
wall quadrature,23.344629866458074,0.02782801947211034,0.5730454647462903,0.8510777462380261,304.0
wall quadrature,78.75868976123613,0.19150238416873627,0.7809054670563477,1.518251985025886,256.0
wall quadrature,55.502129514172104,0.11760412624651936,0.7420004946670593,1.354797611376541,256.0
wall quadrature,44.39410130096231,0.0838641285844768,0.7069281357518017,1.2273374295672879,256.0
wall quadrature,36.460202757955074,0.06314352925524876,0.6795347710219907,1.1379814984350782,256.0
wall quadrature,25.188971196810794,0.037309800854807854,0.6277793952827624,0.9882685770444657,256.0
interior probes,72.5506737314823,0.16416557807540783,0.7784596778077267,1.5071506645643848,456.0
interior probes,58.91721408082491,0.11937647762445362,0.7447619517270805,1.3655586466460818,456.0
interior probes,49.63879316185782,0.09434753322391862,0.7253218689331655,1.292155299290837,456.0
interior probes,42.74609579570762,0.07562233887788193,0.7028342359945112,1.213465167910312,456.0
interior probes,33.981447210539244,0.05525582521032359,0.6749670614908028,1.1238287525288204,456.0
interior probes,93.9897708010034,0.25508589744501325,0.8257107872245063,1.7470392172096012,304.0
interior probes,65.46249439142161,0.14945697505791702,0.7775147634378466,1.5028945321069165,304.0
interior probes,44.75991718892577,0.08524540626235434,0.7224792457225507,1.2818595584032881,304.0
interior probes,34.884622229371836,0.059555883445302674,0.687219698285685,1.1622542463530254,304.0
