variant,simulation_id,z_mm,Tperim_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_source_W,Qperim_source_W,Qcore_perim_W,Qrear_core_sink_W,Qrear_perim_sink_W,active_flow_fraction,flange_scale,rear_sink_shape,k_core_axial_scale
fitted_energy_accounting,E80,2.74,611.8535818162978,622.2104451826001,296.5685,622.2100316178669,22.208537928428917,559.021376622417,2.385198189589333,0.9999987300016497,44.087183035784875,44.99505726587945,1.932257357480426,-0.910614144012841,0.0,0.0,1.0,0.1013817714666468,0.9997676098325551,0.0
fitted_energy_accounting,E80,8.220000000000002,615.3120894422756,619.5335067220277,622.2100316178669,619.5335889659806,13.878377422714571,441.4042124228243,2.4258743074687623,0.9999692721136211,-0.37384920968161944,0.0,1.913270376014375,-0.3711627880724823,0.0,0.0,1.0,0.1013817714666468,0.9997676098325551,0.0
fitted_energy_accounting,E80,13.700000000000001,616.4197452675841,617.7632015250832,619.5335889659806,617.7634808891445,11.719036282535573,371.72051015282574,2.4389987389325998,0.9998422017380014,-0.24713371170767123,0.0,1.8944699667271425,-0.11812169637399317,0.12533280729319077,0.0,1.0,0.1013817714666468,0.9997676098325551,0.0
fitted_energy_accounting,E80,19.180000000000003,615.6887648031203,615.2907340067279,617.7634808891445,615.2917297156474,10.48732281570825,331.79157240129337,2.430332174900911,0.9995973267920742,-0.34493748693230364,0.0,1.8758542963005087,0.03499635556909094,0.37667756502745126,0.0,1.0,0.1013817714666468,0.9997676098325551,0.0
fitted_energy_accounting,E80,24.66,613.4261144716857,611.8221809658716,615.2917297156474,611.8248267593113,9.659665586841907,304.49592332829604,2.4036361806234767,0.9992374243365391,-0.4835068027081364,0.0,1.8574215494311757,0.14102382978253855,0.6220701666900865,0.0,1.0,0.1013817714666468,0.9997676098325551,0.0
fitted_energy_accounting,E80,30.14,609.837992851432,607.2662282325379,611.8248267593113,607.2718332373282,9.053915148859316,283.9917595893616,2.3617035526785344,0.9987704543935036,-0.634435964052606,0.0,1.8391699286534753,0.2261191592675138,0.858899533546397,0.0,1.0,0.1013817714666468,0.9997676098325551,0.0
fitted_energy_accounting,E80,35.620000000000005,605.0822597564825,601.6378014009555,607.2718332373282,601.6479206438361,8.586940664381805,267.64248480095506,2.3068811015966983,0.9982039074015744,-0.7828187065947618,0.0,1.821097654164193,0.3028496549651737,1.0846322287223717,0.0,1.0,0.1013817714666468,0.9997676098325551,0.0
fitted_energy_accounting,E80,41.1,599.294488296581,595.0078339738778,601.6479206438361,595.0241449166982,8.214259282532893,254.05943200195978,2.241314502756398,0.9975435647708971,-0.9208043486001168,0.0,1.80320296364918,0.3768986727630213,1.2970237963535873,0.0,1.0,0.1013817714666468,0.9997676098325551,0.0
fitted_energy_accounting,E80,46.580000000000005,592.6005225306228,587.4768301987949,595.0241449166982,587.5010306418661,7.909443931897697,242.43341869227933,2.1670455549756302,0.9967935028581956,-1.0442757400812872,0.0,1.7854841121112128,0.4504941836070998,1.4942067924066063,0.0,1.0,0.1013817714666468,0.9997676098325551,0.0
fitted_energy_accounting,E80,52.06,585.1221051018296,579.1604486553758,587.5010306418661,579.1941745104784,7.655577785978927,232.2579770103336,2.086034405854572,0.9959564146534123,-1.1511671695120511,0.0,1.7679393717000573,0.5241711211088754,1.6747230941593751,0.0,1.0,0.1013817714666468,0.9997676098325551,0.0
