variant,simulation_id,z_mm,Tperim_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_source_W,Qperim_source_W,Qcore_perim_W,Qrear_core_sink_W,Qrear_perim_sink_W,active_flow_fraction,flange_scale,cool_core_mult
initial_energy_accounting,E76,2.74,1048.6407959701417,1112.029150242737,296.4675,1112.0290932105981,14.020985402472594,489.8674515099633,3.8945031092861724,0.9999999300701073,79.72992744868645,112.78364811631873,4.378920943313946,-12.408024117753161,0.0,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,8.220000000000002,1068.966431944534,1098.6076298107055,1112.0290932105981,1098.6076588675548,8.575487537264946,419.12461636609225,4.125380481974755,0.9999978350461046,-1.4180537815098397,0.0,4.3695397537796925,-5.8021493415164445,0.0,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,13.700000000000001,1075.6292703349363,1088.044808512026,1098.6076588675548,1088.0449914354363,7.255909535458935,351.64512633203407,4.2030024428514245,0.9999826823817435,-1.1139083527205997,0.0,4.360178662053972,-2.4302933701942786,0.0,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,19.180000000000003,1074.8203899732246,1078.3444971831934,1088.0449914354363,1078.3450501140346,6.503648850630539,312.92994567604643,4.193527514302665,0.9999429997248871,-1.0212789609180004,0.0,4.350837625080983,-0.6898302970100304,0.0,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,24.66,1069.5347662707268,1068.436742010768,1078.3450501140346,1068.4380120056821,5.996778428066911,286.52837386041705,4.131963968691337,0.9998718252500012,-1.041436313919303,0.0,4.341516599896374,0.21493398362822097,0.0,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,30.14,1061.2473286453771,1057.7234534100564,1068.4380120056821,1057.725967127735,5.624393930423306,266.7518808664823,4.03665503508398,0.9997653923252156,-1.124165657104483,0.0,4.332215543627245,0.6897848888737553,0.0,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,35.620000000000005,1050.6739903230525,1045.847135497315,1057.725967127735,1045.8516313865878,5.3360883705324795,251.01804404530637,3.917200045137905,0.9996215209195237,-1.2438147294851667,0.0,4.3229344134939645,0.944838082293237,0.0,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,41.1,1038.14088973138,1032.5713803681256,1045.8516313865878,1032.5788355315917,5.105035647498945,237.9559867289286,3.77868507507725,0.9994386278199352,-1.3873681424177833,0.0,4.313673166806989,1.0902098231818165,0.0,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,46.580000000000005,1023.7713241468053,1017.7185490240811,1032.5788355315917,1017.7302121130224,4.915422232316142,226.7577525015621,3.6239374180054167,0.9992151504659498,-1.548363689532842,0.0,4.304431760969363,1.1848072183594809,0.0,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,52.06,1007.5844379336031,1001.1369248225055,1017.7302121130224,1001.1543613225114,4.757242812529613,216.90923763633612,3.4547463013181448,0.9989491835041182,-1.7237580686761829,0.0,4.295210153474902,1.2620756462297886,0.0,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,57.54,989.5521681667507,982.6827890261617,1001.1543613225114,982.7079434804966,4.6238404815489735,208.0630793575552,3.2725620585372135,0.9986382071904147,-1.9123343405740374,0.0,4.286008301908872,1.3446542827704953,0.0,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,63.02,969.6408351738962,962.209182595339,982.7079434804966,962.2444644016153,4.510629313202074,199.97252107403884,3.0789631965393602,0.9982788322438612,-2.1139762143522396,0.0,4.276826163946629,1.4547171241100705,0.12557594800900496,0.0,1.0,0.10148436787927062,5.0
