variant,simulation_id,z_mm,Tperim_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_source_W,Qperim_source_W,Qcore_perim_W,Qrear_core_sink_W,Qrear_perim_sink_W,active_flow_fraction,flange_scale,cool_core_mult
fitted_energy_accounting,E70,2.74,1052.2451501517855,1098.2508506286165,299.03999999999996,1098.2374435616243,18.858405631589488,654.99547346922,2.728044541034381,0.9999832246184075,156.5327931891073,162.9279008683626,6.305059040751214,-7.100016973115149,0.0,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,8.220000000000002,1083.2110860329572,1098.6821879505817,1098.2374435616243,1098.6821161789633,11.559254449001433,562.2345349711734,2.9760481052701953,0.9998386227680255,0.09414291280894374,0.0,6.292246055380509,-2.387640772109272,0.0,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,13.700000000000001,1101.1947975127969,1100.7271902473606,1098.6821161789633,1100.7258986335473,9.74629734918839,474.4697528849117,3.1267496609079344,0.9993684268784568,0.43277965749797737,0.0,6.279459108242266,0.07216539443892811,0.0,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,19.180000000000003,1111.775006658052,1103.0163122293566,1100.7258986335473,1103.013164353507,8.70734698382011,424.5388505032016,3.217743179691706,0.9986256299493276,0.4845027932052786,0.0,6.266698146422334,1.3517211663233946,0.0,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,24.66,1117.728783711721,1104.7523680528925,1103.013164353507,1104.7483231403946,8.003456666355564,390.772316126697,3.269715481566559,0.9976742732900138,0.3676677078033674,0.0,6.253963117114376,2.0026381616399638,0.0,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,30.14,1120.4404606300104,1105.434732721046,1104.7483231403946,1105.4323740062268,7.483269540459951,365.68448094892864,3.2935708388900373,0.9965636918750257,0.14497281667317566,0.0,6.2412539676181495,2.315820034111873,0.0,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,35.620000000000005,1120.5717731722082,1104.713326987563,1105.4323740062268,1104.7166867901597,7.077989855216398,345.87516434299215,3.2947289669564044,0.9953274229507866,-0.151677155285093,0.0,6.228570645342261,2.4474192526406133,0.0,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,41.1,1118.3970200404842,1102.3085969718272,1104.7166867901597,1102.3230773060423,6.751025060597151,329.53601505612187,3.275583405611931,0.9939867964621856,-0.507159369528229,0.0,6.215913097801068,2.482911371290796,0.0,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,46.580000000000005,1113.9766508684042,1097.9660828497938,1102.3230773060423,1097.9985248450075,6.48082592138054,315.59773132246846,3.236897317693529,0.9925540425769654,-0.9158056624327758,0.0,6.203281272615019,2.4708960738158336,0.0,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,52.06,1107.2507085173643,1091.4288112690283,1097.9985248450075,1091.4877129029494,6.2537803700718095,303.3761975871821,3.178619615717894,0.9910343680527648,-1.3776091739782583,0.0,6.190675117512721,2.441778689287493,0.0,0.0,1.0,0.10139749224843751,1.0
