source,Nu_prefactor,Nu_exponent,Nu_r2,effectiveness_min,effectiveness_max,middle_peak_count,lambda_58_intercept,lambda_58_slope,lambda_58_r2,lambda_58_positive_count,lambda_107_intercept,lambda_107_slope,lambda_107_r2,lambda_107_positive_count
measured,0.0003046900474047653,1.444917063715293,0.9704080591194868,0.5730454029457592,0.780905466829855,10,0.03191356634765248,0.00022845643569799912,0.20428394306853104,15,0.03777425822427561,0.0008250301984376482,0.8970129437981085,15
model,0.006106695655948846,0.793259753668423,0.9319925500654226,0.7117540535380028,0.8894060370979009,0,-0.03464158919502374,0.001618488101110967,0.9595637665450408,13,-0.05471293947835551,0.001064641182408299,0.9749402122697731,6
