phase,simulation_id,flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T11_minus_T12_K,observed_T11_minus_T12_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,core_to_side_flow_ratio,dp1_model_mbar,dp1_observed_mbar
heating_training,E67,15.280245901639345,919.031471349493,931.6279999999999,767.2661848812327,991.103,693.6357170741427,878.055,727.5955425404444,966.6659999999999,685.1709314104585,824.995,669.8605114174343,763.414,323.9945377510817,326.43699999999995,-151.76528646826034,59.47500000000002,-73.63046780708999,-113.048,39.67064234078828,24.437000000000012,8.46478566368421,53.059999999999945,4.5146756971689825,1.4392869050212058,2.712
heating_validation,E68,12.499459016393443,969.8084264846119,1012.649,826.0047532809155,1047.717,752.736690337846,898.751,791.2250647726246,1020.928,750.004379354621,850.0989999999999,739.7326948237645,773.207,328.80520667414976,338.52,-143.80367320369646,35.0680000000001,-73.26806294306948,-148.96600000000012,34.77968850829086,26.7890000000001,2.73231098322492,48.652000000000044,3.826054232406184,1.3094315786463735,2.004
heating_training,E69,10.49962295081967,1016.544371304931,1058.429,880.9426730880739,1070.73,806.1388485221751,896.755,851.9674133207101,1044.378,809.2475240184949,852.837,800.3482440967364,769.76,332.25353204701753,344.308,-135.60169821685713,12.30099999999993,-74.80382456589882,-173.97500000000002,28.97525976736381,26.35200000000009,-3.1086754963198473,43.918000000000006,3.322981161070964,1.195331657127364,1.542
heating_validation,E70,9.10716393442623,1062.8865205115806,1152.474,936.0225084373795,1120.277,861.5023632818591,912.173,913.0551399710452,1093.725,868.9560530986639,871.483,858.5237391175649,779.518,336.3629652769598,352.421,-126.86401207420101,-32.19699999999989,-74.52014515552048,-208.10400000000004,22.967368466334392,26.552000000000135,-7.453689816804854,40.690000000000055,2.9590288108647917,1.1188613005963546,1.314
heating_training,E71,7.126836065573771,1150.493270624556,1203.298,1037.6968366139822,1120.348,957.7100386661278,882.823,1026.4189505573152,1095.306,971.9470758832031,847.476,953.4392167595496,753.56,343.6161039681203,356.00399999999996,-112.79643401057388,-82.95000000000005,-79.98679794785437,-237.52499999999998,11.277886056667057,25.041999999999916,-14.237037217075226,35.34699999999998,2.4561856829952715,0.9737312994333887,0.825
heating_training,E72,18.707836065573773,768.839940710848,737.656,641.2804753012863,797.899,582.2595578796959,733.977,605.8081851550972,771.112,570.1739259943427,684.1869999999999,548.4370910315449,652.9549999999999,315.2505348580065,309.928,-127.55946540956177,60.24300000000005,-59.02091742159041,-63.922000000000025,35.47229014618904,26.787000000000035,12.085631885353223,49.79000000000008,5.356963873228114,1.2439460118372825,2.485
heating_validation,E73,13.169885245901638,831.3287136636195,837.694,709.475633355045,894.482,648.9710897711345,791.76,678.0572193959969,867.5509999999999,643.4515630736436,747.4,631.9771656274827,694.626,320.73325456319867,325.12,-121.85308030857448,56.78800000000001,-60.504543583910504,-102.72199999999998,31.418413959048166,26.93100000000004,5.51952669749096,44.360000000000014,4.168684650487347,0.9963681214230002,1.827
heating_training,E74,9.02337704918033,922.6316878045251,948.538,813.0995676329175,962.509,750.3066398035861,804.0,792.0099360807453,935.491,755.0100704107003,767.8009999999999,746.8541230465052,697.672,327.55645196250555,333.964,-109.53212017160763,13.971000000000004,-62.79292782933135,-158.50900000000001,21.089631552172136,27.01800000000003,-4.703430607114228,36.19900000000007,3.0846847376852087,0.7809955942544984,1.071
heating_validation,E75,6.944114754098361,1002.7126594581669,1008.725,903.5859384256834,979.689,835.1573690623562,788.678,892.6894272181114,954.178,846.4872815267415,757.393,832.0860753508596,681.066,333.4762949123009,336.517,-99.12672103248349,-29.036000000000058,-68.42856936332714,-191.01099999999997,10.896511207571962,25.510999999999967,-11.329912464385302,31.284999999999968,2.5243407133151012,0.6485039396861092,0.651
heating_training,E76,4.526344262295081,1158.7893282036093,1067.693,1069.1697056415524,970.472,981.6278169585894,751.1579999999999,1073.5955935103536,947.353,997.9337551533758,726.308,965.1451051717852,647.019,344.8956795362266,338.123,-89.61962256205697,-97.221,-87.54188868296296,-219.31400000000008,-4.425887868801283,23.119000000000028,-16.30593819478645,24.84999999999991,1.9100074948391075,0.41836738915293126,0.174
heating_training,E77,13.847590163934424,616.9319858563522,565.544,540.6755459736021,623.3499999999999,502.38252414878855,574.299,518.4475960232339,602.429,495.78059660589895,543.727,483.3339545566806,525.356,309.35322781391005,308.37,-76.2564398827501,57.805999999999926,-38.293021824813536,-49.05099999999993,22.227949950368156,20.920999999999935,6.601927542889598,30.572000000000003,4.61823746496962,0.541349332465715,0.978
heating_validation,E78,10.008721311475409,665.0005024979519,631.689,592.1314395321199,685.819,553.4178955460769,612.092,573.2954931128269,663.635,551.3665150172664,583.704,544.6923236246593,554.4549999999999,313.6914220441487,312.95899999999995,-72.86906296583197,54.129999999999995,-38.713543986042964,-73.72699999999998,18.83594641929301,22.18399999999997,2.0513805288105686,28.388000000000034,3.663868046319899,0.36150520328810754,0.637
heating_training,E79,8.033426229508198,702.5018796754915,676.213,632.2948083079292,716.108,591.3260707339408,622.325,617.6183949133897,694.063,593.4459956225722,595.766,587.886816396437,560.0329999999999,315.80120438042627,314.96,-70.20707136756232,39.89499999999998,-40.96873757398839,-93.7829999999999,14.676413394539509,22.04499999999996,-2.119924888631431,26.559000000000083,3.118672337211227,0.2596452095334304,0.403
heating_validation,E80,6.605344262295083,743.5840079028949,710.3340000000001,676.3622448894292,735.351,632.7606489934045,626.4849999999999,666.398979301832,713.233,638.2738467642059,601.77,630.8479944419206,561.2539999999999,318.3876673543557,316.11899999999997,-67.22176301346565,25.01699999999994,-43.60159589602472,-108.8660000000001,9.96326558759722,22.118000000000052,-5.513197770801412,24.714999999999918,2.7006782176112614,0.18351590537396623,0.238
heating_training,E81,4.5272131147540975,840.6398270180191,760.0609999999999,776.0334535498306,749.902,720.5245081610556,618.9749999999999,776.1658631189015,728.5039999999999,730.6381167005062,597.766,712.921111521436,550.499,324.4620552883579,319.315,-64.60637346818851,-10.158999999999878,-55.50894538877503,-130.92700000000013,-0.1324095690708873,21.39800000000014,-10.113608539450638,21.208999999999946,2.0888108602001103,0.04953398819236876,-0.023
cooling_training,C69,10.49813725490196,348.75353081348374,312.268,366.82959793108984,327.582,404.054356774844,345.55899999999997,356.4223256723858,333.303,386.97759155479685,354.515,375.9364043746158,360.51599999999996,314.40777571922456,323.99,18.0760671176061,15.314000000000021,37.22475884375416,17.976999999999975,10.40727225870404,-5.721000000000004,17.07676522004715,-8.956000000000017,4.458877719683854,-0.047555162511183635,-0.058
cooling_training,C80,6.608229508196721,331.1124069491362,305.84999999999997,340.88094661430335,313.269,359.5118105158811,320.183,335.834600750569,314.292,352.27710737231365,322.157,351.7884203573745,324.48199999999997,303.44441082473605,306.22999999999996,9.768539665167168,7.41900000000004,18.630863901577754,6.913999999999987,5.046345863734359,-1.0229999999999677,7.234703143567458,-1.9739999999999895,3.3640890089408026,-0.27029883792622245,-0.265
cooling_validation,C81,4.53016393442623,331.24849844775827,298.193,340.59022091415545,300.909,357.21525713657337,304.457,336.74646695782184,301.79999999999995,352.1353912930205,305.42499999999995,355.61896758538796,306.32,301.16414590659656,298.727,9.341722466397187,2.716000000000008,16.62503622241792,3.548000000000002,3.8437539563336145,-0.8909999999999627,5.079865843552852,-0.9679999999999609,2.774690656933643,-0.36586626942208283,-0.405
