simulation_id,phase,model_inversion_K,observed_inversion_K,model_middle_peak,observed_middle_peak,inversion_error_K,side_rmse_K,air_rmse_K,felt_rmse_K,primary_rmse_K
E67,heating_training,-1.1220109756523016,59.47500000000002,false,true,-60.597010975652324,205.19920612279213,67.49937162963782,5.124132554761507,161.80393350293255
E68,heating_validation,12.527019146933412,35.0680000000001,true,true,-22.540980853066685,191.43275360874225,95.02855490275186,9.22433353083736,154.3081410935079
E69,heating_training,25.608408558437645,12.30099999999993,true,true,13.307408558437714,164.25704690855838,127.29162213462759,17.45847681384702,139.6059367331386
E70,heating_validation,37.18939584730708,-32.19699999999989,true,false,69.38639584730697,177.54026218643114,199.90647657858162,13.789529937432414,164.14285522412388
E71,heating_training,53.004470562037795,-82.95000000000005,true,false,135.95447056203784,161.64868872962035,325.77216539569247,12.220138699517271,192.18102468269385
E72,heating_training,-12.410366600968246,60.24300000000005,false,true,-72.6533666009683,141.28641336754333,58.98957887669195,3.010768287965338,112.58275795922414
E73,heating_validation,1.55181179716908,56.78800000000001,true,true,-55.23618820283093,153.68926859823674,50.86078689097244,6.593519885938885,121.23651924600776
E74,heating_training,23.526684437927543,13.971000000000004,true,true,9.555684437927539,125.79612128564033,147.0799889936187,7.38858965105088,117.61046450969334
E75,heating_validation,37.648166097528815,-29.036000000000058,true,false,66.68416609752887,114.04629775810858,252.0016113942655,6.692247198779476,143.22658441425563
E76,heating_training,43.12853055084497,-97.221,true,false,140.34953055084497,225.05581742479214,431.3387742023246,8.02153726737398,260.0260933293888
E77,heating_training,-6.577950508901608,57.805999999999926,false,true,-64.38395050890153,63.44650970514345,23.402049472553383,6.203549896596972,50.3239877834219
E78,heating_validation,2.2815095737665843,54.129999999999995,true,true,-51.84849042623341,60.417679133238174,52.71414595499671,3.0734065019727153,52.41968116429522
E79,heating_training,8.794058113122333,39.89499999999998,true,true,-31.10094188687765,52.52284691733043,88.80819878927609,2.2248619685247704,56.86439048803486
E80,heating_validation,14.537937793296123,25.01699999999994,true,true,-10.479062206703816,50.75840893584259,132.22169847800944,3.9037482639659467,71.03107071136228
E81,heating_training,19.104824315724272,-10.158999999999878,true,false,29.26382431572415,107.00876485184419,226.16457651535313,3.8908122231625506,130.7808711971876
