simulation_id,Re,measured_Nu,model_Nu,measured_effectiveness,model_effectiveness,measured_axial_inversion_K,model_axial_inversion_K,measured_lambda_58,model_lambda_58,measured_lambda_107,model_lambda_107
E67,72.54805197713264,0.1397003239847824,0.17304792174035558,0.7314281865511008,0.7723278053046025,53.534735537190386,-157.70555093106998,0.037443664448830474,0.0873081488739689,0.09392562955303495,0.025664268190044304
E68,58.91874763420601,0.10068255088995567,0.158539667206035,0.6965278952154176,0.8249508674438473,35.10110743801647,-143.7705657656801,0.035661983805097726,0.06581874950788227,0.08118609566975712,0.006131904246543555
E69,49.63869912379634,0.07927417015654423,0.14326757706181606,0.6735845032794066,0.8548858380910304,11.542652892562046,-136.36004532429502,0.0340477642890837,0.04959399752259662,0.0733229595539069,-0.005959807385722778
E70,42.748721346106834,0.06160653479354243,0.12915740178326743,0.643820375492817,0.875624684280195,-31.075842975206797,-125.74285504940792,0.032220459058788,0.0359150546665547,0.0664027110039353,-0.013217587083365645
E71,33.97915586310068,0.043414037695437946,0.10090683342309617,0.6066263867417975,0.8894060370979009,-83.49045454545467,-113.3368885560285,0.030607229000341848,0.015362384739685894,0.06076145779167691,-0.02166537365550552
E72,93.95360818131805,0.21107915095402482,0.19559848385097714,0.7726846574404191,0.7117540535380028,60.74060330578516,-127.06186210377666,0.05314128380119545,0.1024130926017782,0.11435444362636456,0.043213818603301556
E73,65.43809938954838,0.1272676677612195,0.1678352458907918,0.7313713451688525,0.7967734438741403,56.619909090909005,-122.02117121766548,0.04545496443494865,0.07661271781345329,0.08997442259835604,0.016169265227180717
E74,44.74327180684716,0.0712860682795938,0.13476383747147117,0.6691193446758684,0.8673082468125697,13.762809917355412,-109.74031025425222,0.04039538487720461,0.04060279655929284,0.07136576676823651,-0.010336597389764762
E75,34.87148799267087,0.048445431507969317,0.10515784797009245,0.6253612938146217,0.8852002325807393,-29.13341322314045,-99.22413425562388,0.03738135568038123,0.01798601066574293,0.06364283789756771,-0.021030660508707416
E76,23.33560738406445,0.02762159106833677,0.0617565167567759,0.5730454029457592,0.878934891202499,-97.86744628099189,-90.26606884304874,0.03432651450473903,-0.005707886425400438,0.05470973815106521,-0.023787232756154107
E77,78.72510696930053,0.18963852113322402,0.18388690310921196,0.780905466829855,0.7519028536754986,58.09278512396713,-75.9696547587829,0.06353914405033621,0.09052331777518192,0.11078962807311216,0.03275424802905933
E78,55.47905755567076,0.11606772107777102,0.15687339768471661,0.7420004808494914,0.8284179772458088,53.95803305785125,-73.04102990798071,0.05761757781365577,0.06457866549327351,0.09067713376853952,0.008325272068908545
E79,44.37570972438066,0.08316084493740847,0.13714867040899645,0.7069281103107401,0.8632230031734638,39.59194214876027,-70.51012921880204,0.052837578630574845,0.04407534693479247,0.0816625195056074,-0.0072031319183728446
E80,36.445112793500655,0.06264045137620564,0.11559991069970285,0.6795347374454609,0.88059744422884,25.774719008264242,-66.46404400520134,0.05050307818410642,0.026357411929520735,0.07508425478229099,-0.016279894087332214
E81,25.17846332124386,0.03686074878748799,0.07260786478321722,0.6277793478629998,0.8790470078256785,-9.42705785123951,-63.87443131942814,0.047238966152292165,-0.0003994428775629284,0.06608983025239817,-0.023941891449529462
